Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,0,1,0.00191,0.00191,100000,191,99820,8109136,81.09,81.09
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,1,1,3e-04,3e-04,99809,30,99794,8009316,80.25,80.25
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,2,1,0.00021,0.00021,99779,21,99768,7909522,79.27,79.27
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,3,1,0.00013,0.00013,99758,13,99752,7809754,78.29,78.29
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,4,1,1e-04,1e-04,99745,10,99740,7710002,77.3,77.3
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,5,1,8e-05,8e-05,99735,8,99731,7610262,76.3,76.3
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,6,1,8e-05,8e-05,99727,8,99723,7510531,75.31,75.31
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,7,1,8e-05,8e-05,99719,8,99715,7410808,74.32,74.32
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,8,1,7e-05,7e-05,99711,7,99708,7311093,73.32,73.32
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,9,1,7e-05,7e-05,99704,7,99700,7211386,72.33,72.33
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,10,1,8e-05,8e-05,99697,8,99693,7111685,71.33,71.33
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,11,1,8e-05,8e-05,99689,8,99685,7011992,70.34,70.34
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,12,1,9e-05,9e-05,99681,9,99676,6912307,69.34,69.34
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,13,1,0.00011,0.00011,99672,11,99666,6812631,68.35,68.35
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,14,1,0.00014,0.00014,99661,14,99654,6712964,67.36,67.36
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,15,1,0.00017,0.00017,99647,17,99638,6613310,66.37,66.37
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,16,1,0.00021,0.00021,99630,21,99620,6513672,65.38,65.38
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,17,1,0.00027,0.00027,99609,27,99596,6414052,64.39,64.39
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,18,1,0.00032,0.00032,99582,32,99566,6314457,63.41,63.41
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,19,1,0.00037,0.00037,99550,37,99532,6214891,62.43,62.43
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,20,1,0.00042,0.00042,99513,42,99492,6115359,61.45,61.45
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,21,1,0.00046,0.00046,99471,46,99448,6015867,60.48,60.48
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,22,1,0.00049,0.00049,99425,49,99400,5916419,59.51,59.51
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,23,1,5e-04,5e-04,99376,50,99351,5817019,58.54,58.54
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,24,1,0.00051,0.00051,99326,51,99300,5717668,57.56,57.56
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,25,1,0.00049,0.00049,99275,49,99250,5618367,56.59,56.59
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,26,1,0.00049,0.00049,99226,49,99202,5519117,55.62,55.62
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,27,1,5e-04,5e-04,99177,50,99152,5419915,54.65,54.65
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,28,1,5e-04,5e-04,99127,50,99102,5320763,53.68,53.68
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,29,1,0.00052,0.00052,99077,52,99051,5221661,52.7,52.7
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,30,1,0.00056,0.00056,99025,55,98998,5122610,51.73,51.73
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,31,1,0.00059,0.00059,98970,58,98941,5023613,50.76,50.76
JPN,0,0,0,0,1,3301.05,2017,2017,1,1,32,1,0.00061,0.00061,98912,60,98882,4924672,49.79,49.79
