Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,0,1,0.01526,0.01505,100000,1505,98638,6483424,64.83,64.84
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,1,1,0.00133,0.00133,98495,131,98430,6384786,64.82,64.82
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,2,1,0.00068,0.00068,98364,67,98330,6286357,63.91,63.91
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,3,1,6e-04,6e-04,98297,59,98268,6188026,62.95,62.95
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,4,1,0.00049,0.00049,98238,48,98214,6089759,61.99,61.99
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,5,1,5e-04,5e-04,98190,49,98166,5991545,61.02,61.02
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,6,1,0.00045,0.00045,98141,44,98119,5893379,60.05,60.05
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,7,1,0.00041,0.00041,98097,40,98077,5795260,59.08,59.08
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,8,1,0.00038,0.00038,98057,37,98038,5697183,58.1,58.1
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,9,1,0.00037,0.00037,98020,36,98002,5599145,57.12,57.12
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,10,1,0.00035,0.00035,97984,34,97967,5501143,56.14,56.14
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,11,1,0.00037,0.00037,97950,36,97932,5403176,55.16,55.16
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,12,1,4e-04,4e-04,97914,39,97894,5305244,54.18,54.18
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,13,1,0.00046,0.00046,97875,45,97852,5207349,53.2,53.21
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,14,1,0.00054,0.00054,97830,53,97804,5109497,52.23,52.23
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,15,1,0.00065,0.00065,97777,64,97745,5011693,51.26,51.26
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,16,1,0.00079,0.00079,97713,77,97674,4913948,50.29,50.29
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,17,1,0.00096,0.00096,97636,94,97589,4816274,49.33,49.33
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,18,1,0.00115,0.00115,97542,112,97486,4718685,48.38,48.38
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,19,1,0.00132,0.00132,97430,129,97366,4621199,47.43,47.43
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,20,1,0.00156,0.00156,97301,152,97225,4523833,46.49,46.49
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,21,1,0.00173,0.00173,97149,168,97065,4426608,45.57,45.57
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,22,1,0.0019,0.0019,96981,184,96889,4329543,44.64,44.64
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,23,1,0.0021,0.0021,96797,203,96696,4232654,43.73,43.73
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,24,1,0.00229,0.00229,96594,221,96484,4135959,42.82,42.82
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,25,1,0.00251,0.00251,96373,242,96252,4039475,41.92,41.92
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,26,1,0.00275,0.00275,96131,264,95999,3943223,41.02,41.02
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,27,1,0.00301,0.003,95867,288,95723,3847224,40.13,40.13
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,28,1,0.00329,0.00329,95579,314,95422,3751501,39.25,39.25
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,29,1,0.0036,0.00359,95265,342,95094,3656079,38.38,38.38
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,30,1,0.00391,0.0039,94923,370,94738,3560985,37.51,37.52
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,31,1,0.00422,0.00421,94553,398,94354,3466247,36.66,36.66
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,32,1,0.00453,0.00452,94155,426,93942,3371893,35.81,35.81
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,33,1,0.00487,0.00485,93729,455,93502,3277951,34.97,34.97
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,34,1,0.0052,0.00519,93274,484,93032,3184450,34.14,34.14
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,35,1,0.00554,0.00553,92790,513,92534,3091418,33.32,33.32
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,36,1,0.00588,0.00586,92277,541,92006,2998884,32.5,32.5
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,37,1,0.00625,0.00624,91736,572,91450,2906878,31.69,31.69
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,38,1,0.00657,0.00655,91164,597,90866,2815428,30.88,30.88
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,39,1,0.00686,0.00683,90567,619,90258,2724562,30.08,30.08
KAZ,0,0,0,0,1,1703.52,2012,2012,1,1,40,1,0.00705,0.00703,89948,632,89632,2634305,29.29,29.29
