Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
KIR,,0,0,0,1,861.03,2012,2014,4,1,0,5,0.01619,0.07778,100000,7778,480555,6011967,60.12,59.35
KIR,,0,0,0,1,861.03,2012,2014,4,1,5,5,0.00124,0.0062,92222,572,459680,5531412,59.98,59.22
KIR,,0,0,0,1,861.03,2012,2014,4,1,10,5,0.00058,0.00288,91650,264,457590,5071732,55.34,54.57
KIR,,0,0,0,1,861.03,2012,2014,4,1,15,5,0.00128,0.00637,91386,582,455475,4614142,50.49,49.72
KIR,,0,0,0,1,861.03,2012,2014,4,1,20,5,0.00204,0.01016,90804,923,451712,4158667,45.8,45.03
KIR,,0,0,0,1,861.03,2012,2014,4,1,25,5,0.00307,0.01524,89881,1370,445980,3706955,41.24,40.46
KIR,,0,0,0,1,861.03,2012,2014,4,1,30,5,0.00388,0.0192,88511,1699,438308,3260975,36.84,36.05
KIR,,0,0,0,1,861.03,2012,2014,4,1,35,5,0.00599,0.02951,86812,2562,427655,2822667,32.51,31.71
KIR,,0,0,0,1,861.03,2012,2014,4,1,40,5,0.00614,0.03023,84250,2547,414882,2395012,28.43,27.59
KIR,,0,0,0,1,861.03,2012,2014,4,1,45,5,0.01205,0.05847,81703,4777,396572,1980130,24.24,23.38
KIR,,0,0,0,1,861.03,2012,2014,4,1,50,5,0.02265,0.10717,76926,8244,364020,1583557,20.59,19.67
KIR,,0,0,0,1,861.03,2012,2014,4,1,55,5,0.01985,0.09455,68682,6494,327175,1219537,17.76,16.73
KIR,,0,0,0,1,861.03,2012,2014,4,1,60,5,0.03302,0.15252,62188,9485,287228,892362,14.35,13.22
KIR,,0,0,0,1,861.03,2012,2014,4,1,65,5,0.04171,0.18885,52703,9953,238632,605135,11.48,10.15
KIR,,0,0,0,1,861.03,2012,2014,4,1,70,5,0.08759,0.35927,42750,15359,175352,366502,8.57,6.92
KIR,,0,0,0,1,861.03,2012,2014,4,1,75,99,0.1433,1,27391,27391,191150,191150,6.98,4.4
KIR,,0,0,0,1,861.03,2012,2014,4,2,0,5,0.01072,0.0522,100000,5220,486950,6532697,65.33,63.95
KIR,,0,0,0,1,861.03,2012,2014,4,2,5,5,0.00145,0.00723,94780,685,472188,6045747,63.79,62.34
KIR,,0,0,0,1,861.03,2012,2014,4,2,10,5,0.00048,0.0024,94095,226,469910,5573560,59.23,57.77
KIR,,0,0,0,1,861.03,2012,2014,4,2,15,5,0.00108,0.00537,93869,504,468085,5103650,54.37,52.91
KIR,,0,0,0,1,861.03,2012,2014,4,2,20,5,0.00262,0.01301,93365,1215,463788,4635565,49.65,48.18
KIR,,0,0,0,1,861.03,2012,2014,4,2,25,5,0.00243,0.01207,92150,1112,457970,4171777,45.27,43.78
KIR,,0,0,0,1,861.03,2012,2014,4,2,30,5,0.00411,0.02035,91038,1853,450558,3713807,40.79,39.29
KIR,,0,0,0,1,861.03,2012,2014,4,2,35,5,0.00424,0.02096,89185,1869,441252,3263250,36.59,35.05
KIR,,0,0,0,1,861.03,2012,2014,4,2,40,5,0.00658,0.03235,87316,2825,429518,2821997,32.32,30.75
KIR,,0,0,0,1,861.03,2012,2014,4,2,45,5,0.00883,0.0432,84491,3650,413330,2392480,28.32,26.7
KIR,,0,0,0,1,861.03,2012,2014,4,2,50,5,0.01476,0.07116,80841,5753,389822,1979150,24.48,22.8
KIR,,0,0,0,1,861.03,2012,2014,4,2,55,5,0.01459,0.07037,75088,5284,362230,1589327,21.17,19.35
KIR,,0,0,0,1,861.03,2012,2014,4,2,60,5,0.02249,0.10646,69804,7431,330442,1227097,17.58,15.64
KIR,,0,0,0,1,861.03,2012,2014,4,2,65,5,0.02185,0.10357,62373,6460,295715,896655,14.38,12.2
KIR,,0,0,0,1,861.03,2012,2014,4,2,70,5,0.04231,0.1913,55913,10696,252825,600940,10.75,8.32
KIR,,0,0,0,1,861.03,2012,2014,4,2,75,99,0.12989,1,45217,45217,348115,348115,7.7,4.7
