Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,0,1,0.00303,0.00302,100000,302,99716,7966560,79.67,79.67
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,1,1,0.00021,0.00021,99698,21,99688,7866845,78.91,78.91
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,2,1,0.00016,0.00016,99677,16,99669,7767157,77.92,77.93
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,3,1,0.00013,0.00013,99661,13,99654,7667488,76.94,76.94
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,4,1,0.00013,0.00013,99648,13,99642,7567834,75.95,75.95
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,5,1,0.00013,0.00013,99635,13,99628,7468192,74.96,74.96
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,6,1,0.00013,0.00013,99622,13,99616,7368564,73.97,73.97
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,7,1,0.00011,0.00011,99609,11,99604,7268948,72.97,72.98
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,8,1,9e-05,9e-05,99598,9,99594,7169345,71.98,71.99
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,9,1,8e-05,8e-05,99589,8,99585,7069751,70.99,70.99
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,10,1,8e-05,8e-05,99581,8,99577,6970166,69.99,70
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,11,1,8e-05,8e-05,99573,8,99569,6870589,69,69
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,12,1,9e-05,9e-05,99565,9,99560,6771020,68.01,68.01
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,13,1,9e-05,9e-05,99556,9,99552,6671460,67.01,67.02
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,14,1,0.00013,0.00013,99547,13,99540,6571908,66.02,66.02
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,15,1,0.00016,0.00016,99534,16,99526,6472368,65.03,65.03
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,16,1,0.00022,0.00022,99518,22,99507,6372842,64.04,64.04
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,17,1,0.00027,0.00027,99496,27,99482,6273335,63.05,63.05
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,18,1,0.00032,0.00032,99469,32,99453,6173852,62.07,62.07
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,19,1,0.00033,0.00033,99437,33,99420,6074399,61.09,61.09
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,20,1,0.00034,0.00034,99404,34,99387,5974979,60.11,60.11
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,21,1,0.00037,0.00037,99370,37,99352,5875592,59.13,59.13
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,22,1,4e-04,4e-04,99333,40,99313,5776240,58.15,58.15
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,23,1,0.00043,0.00043,99293,43,99272,5676927,57.17,57.18
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,24,1,0.00047,0.00047,99250,47,99226,5577656,56.2,56.2
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,25,1,5e-04,5e-04,99203,50,99178,5478429,55.22,55.23
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,26,1,0.00053,0.00053,99153,53,99126,5379251,54.25,54.26
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,27,1,0.00057,0.00057,99100,56,99072,5280125,53.28,53.28
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,28,1,0.00059,0.00059,99044,58,99015,5181053,52.31,52.31
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,29,1,0.00062,0.00062,98986,61,98956,5082038,51.34,51.34
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,30,1,0.00064,0.00064,98925,63,98894,4983082,50.37,50.38
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,31,1,0.00066,0.00066,98862,65,98830,4884189,49.4,49.41
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,32,1,0.00067,0.00067,98797,66,98764,4785359,48.44,48.44
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,33,1,7e-04,7e-04,98731,69,98696,4686595,47.47,47.47
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,34,1,0.00074,0.00074,98662,73,98626,4587899,46.5,46.5
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,35,1,8e-04,8e-04,98589,79,98550,4489273,45.54,45.54
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,36,1,0.00087,0.00087,98510,86,98467,4390724,44.57,44.58
KOR,0,0,0,0,1,3440.48,2017,2017,1,1,37,1,0.00097,0.00097,98424,95,98376,4292257,43.61,43.61
