Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,0,1,0.01317,0.01301,100000,1301,98815,7437076,74.37,76.44
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,1,4,0.00042,0.00168,98699,166,394400,7338261,74.35,76.45
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,5,5,0.00021,0.00103,98533,101,492412,6943861,70.47,72.57
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,10,5,0.00034,0.0017,98432,167,491742,6451449,65.54,67.64
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,15,5,0.00082,0.0041,98265,403,490318,5959706,60.65,62.76
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,20,5,0.00089,0.00443,97862,434,488225,5469389,55.89,58
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,25,5,0.00071,0.00355,97428,346,486275,4981164,51.13,53.25
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,30,5,0.00071,0.00353,97082,343,484552,4494889,46.3,48.43
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,35,5,0.00099,0.00496,96739,480,482495,4010336,41.46,43.59
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,40,5,0.0016,0.00796,96259,766,479380,3527841,36.65,38.8
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,45,5,0.00266,0.01322,95493,1262,474310,3048461,31.92,34.09
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,50,5,0.00448,0.02215,94231,2087,465938,2574151,27.32,29.51
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,55,5,0.00753,0.03695,92144,3405,452208,2108214,22.88,25.11
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,60,5,0.01254,0.06077,88739,5393,430212,1656006,18.66,20.97
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,65,5,0.02059,0.09792,83346,8161,396328,1225794,14.71,17.16
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,70,5,0.03368,0.15534,75185,11679,346728,829466,11.03,13.73
KWT,0,0,0,0,1,3700.5,1998,1998,4,1,75,99,0.13155,1,63506,63506,482739,482739,7.6,10.77
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,0,1,0.01105,0.01094,100000,1094,98997,7728440,77.28,78.48
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,1,4,0.00021,0.00086,98906,85,395412,7629444,77.14,78.35
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,5,5,0.00011,0.00054,98821,53,493972,7234032,73.2,74.41
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,10,5,1e-04,0.00048,98768,47,493722,6740059,68.24,69.45
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,15,5,0.00013,0.00066,98721,65,493442,6246337,63.27,64.48
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,20,5,0.00018,9e-04,98656,89,493058,5752894,58.31,59.52
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,25,5,0.00022,0.0011,98567,108,492565,5259837,53.36,54.58
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,30,5,0.00029,0.00146,98459,144,491935,4767272,48.42,49.63
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,35,5,0.00047,0.00237,98315,233,490992,4275337,43.49,44.7
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,40,5,0.00085,0.00423,98082,415,489372,3784344,38.58,39.8
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,45,5,0.00156,0.00776,97667,758,486440,3294972,33.74,34.96
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,50,5,0.00285,0.01414,96909,1370,481120,2808532,28.98,30.21
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,55,5,0.00518,0.02559,95539,2445,471582,2327412,24.36,25.6
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,60,5,0.00945,0.04614,93094,4295,454732,1855829,19.94,21.21
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,65,5,0.01726,0.08271,88799,7345,425632,1401097,15.78,17.1
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,70,5,0.03107,0.14415,81454,11742,377915,975464,11.98,13.4
KWT,0,0,0,0,1,3700.5,1998,1998,4,2,75,99,0.11666,1,69712,69712,597549,597549,8.57,10.2
