Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,0,1,0.02275,0.0223,100000,2230,98031,7082866,70.83,71.12
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,1,4,0.00091,0.00365,97770,357,390218,6984836,71.44,71.74
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,5,5,0.00047,0.00234,97413,228,486495,6594618,67.7,68
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,10,5,4e-04,0.00198,97185,192,485445,6108123,62.85,63.15
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,15,5,0.00077,0.00386,96993,374,484030,5622678,57.97,58.27
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,20,5,0.00107,0.00534,96619,516,481805,5138648,53.18,53.49
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,25,5,0.00106,0.00528,96103,507,479248,4656843,48.46,48.76
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,30,5,0.00119,0.00594,95596,568,476560,4177595,43.7,44.01
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,35,5,0.00157,0.0078,95028,741,473288,3701035,38.95,39.25
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,40,5,0.00242,0.01201,94287,1132,468605,3227748,34.23,34.54
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,45,5,0.00413,0.02045,93155,1905,461012,2759143,29.62,29.93
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,50,5,0.00693,0.03408,91250,3110,448475,2298130,25.18,25.5
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,55,5,0.01182,0.05739,88140,5058,428055,1849655,20.99,21.3
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,60,5,0.01912,0.09124,83082,7580,396460,1421600,17.11,17.44
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,65,5,0.03109,0.14423,75502,10890,350285,1025140,13.58,13.92
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,70,5,0.05082,0.22545,64612,14567,286642,674855,10.44,10.82
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,75,5,0.0824,0.34161,50045,17096,207485,388213,7.76,8.21
LBN,0,0,0,0,1,3700.6,1998,1998,4,1,80,99,0.18231,1,32949,32949,180728,180728,5.49,6.16
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,0,1,0.0185,0.0182,100000,1820,98370,7385357,73.85,74.06
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,1,4,0.00081,0.00324,98180,318,391923,7286987,74.22,74.44
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,5,5,0.00033,0.00163,97862,160,488910,6895064,70.46,70.67
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,10,5,0.00027,0.00135,97702,132,488180,6406154,65.57,65.78
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,15,5,0.00045,0.00222,97570,217,487308,5917974,60.65,60.87
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,20,5,0.00063,0.00316,97353,308,485995,5430666,55.78,56
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,25,5,8e-04,0.00397,97045,385,484262,4944671,50.95,51.17
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,30,5,0.00101,0.00505,96660,488,482080,4460409,46.15,46.36
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,35,5,0.00139,0.00694,96172,667,479192,3978329,41.37,41.58
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,40,5,0.00206,0.01027,95505,981,475072,3499136,36.64,36.86
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,45,5,0.0033,0.01639,94524,1549,468748,3024064,31.99,32.21
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,50,5,0.00511,0.02524,92975,2347,459008,2555316,27.48,27.7
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,55,5,0.00801,0.03926,90628,3558,444245,2096309,23.13,23.35
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,60,5,0.013,0.06295,87070,5481,421648,1652064,18.97,19.2
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,65,5,0.02261,0.107,81589,8730,386120,1230416,15.08,15.31
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,70,5,0.03978,0.18092,72859,13182,331340,844296,11.59,11.82
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,75,5,0.06944,0.29584,59677,17655,254248,512956,8.6,8.84
LBN,0,0,0,0,1,3700.6,1998,1998,4,2,80,99,0.16243,1,42022,42022,258709,258709,6.16,6.47
