Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
LKA,0,0,0,0,1,364.1,2000,2002,1,1,0,1,0.01485,0.01465,100000,1465,98673,6871504,68.72,68.8
LKA,0,0,0,0,1,364.1,2000,2002,1,1,1,1,0.00123,0.00123,98535,121,98474,6772832,68.74,68.8
LKA,0,0,0,0,1,364.1,2000,2002,1,1,2,1,0.00073,0.00073,98414,72,98378,6674357,67.82,67.9
LKA,0,0,0,0,1,364.1,2000,2002,1,1,3,1,0.00056,0.00056,98342,55,98314,6575979,66.87,66.9
LKA,0,0,0,0,1,364.1,2000,2002,1,1,4,1,0.00048,0.00048,98287,47,98264,6477665,65.91,66
LKA,0,0,0,0,1,364.1,2000,2002,1,1,5,1,0.00045,0.00045,98240,44,98218,6379401,64.94,65
LKA,0,0,0,0,1,364.1,2000,2002,1,1,6,1,0.00043,0.00043,98196,42,98175,6281183,63.97,64
LKA,0,0,0,0,1,364.1,2000,2002,1,1,7,1,0.00043,0.00043,98154,42,98133,6183008,62.99,63.1
LKA,0,0,0,0,1,364.1,2000,2002,1,1,8,1,0.00043,0.00043,98112,42,98091,6084875,62.02,62.1
LKA,0,0,0,0,1,364.1,2000,2002,1,1,9,1,0.00044,0.00044,98070,43,98048,5986784,61.05,61.1
LKA,0,0,0,0,1,364.1,2000,2002,1,1,10,1,0.00046,0.00046,98027,45,98004,5888736,60.07,60.2
LKA,0,0,0,0,1,364.1,2000,2002,1,1,11,1,0.00048,0.00048,97982,47,97958,5790731,59.1,59.2
LKA,0,0,0,0,1,364.1,2000,2002,1,1,12,1,0.00052,0.00052,97935,51,97910,5692773,58.13,58.2
LKA,0,0,0,0,1,364.1,2000,2002,1,1,13,1,0.00057,0.00057,97884,56,97856,5594863,57.16,57.2
LKA,0,0,0,0,1,364.1,2000,2002,1,1,14,1,0.00065,0.00065,97828,64,97796,5497007,56.19,56.3
LKA,0,0,0,0,1,364.1,2000,2002,1,1,15,1,0.00078,0.00078,97764,76,97726,5399211,55.23,55.3
LKA,0,0,0,0,1,364.1,2000,2002,1,1,16,1,0.00095,0.00095,97688,93,97642,5301485,54.27,54.3
LKA,0,0,0,0,1,364.1,2000,2002,1,1,17,1,0.00118,0.00118,97595,115,97538,5203844,53.32,53.4
LKA,0,0,0,0,1,364.1,2000,2002,1,1,18,1,0.00144,0.00144,97480,140,97410,5106306,52.38,52.5
LKA,0,0,0,0,1,364.1,2000,2002,1,1,19,1,0.00174,0.00174,97340,169,97256,5008896,51.46,51.5
LKA,0,0,0,0,1,364.1,2000,2002,1,1,20,1,0.00204,0.00204,97171,198,97072,4911641,50.55,50.6
LKA,0,0,0,0,1,364.1,2000,2002,1,1,21,1,0.00233,0.00233,96973,226,96860,4814569,49.65,49.7
LKA,0,0,0,0,1,364.1,2000,2002,1,1,22,1,0.00259,0.00258,96747,250,96622,4717709,48.76,48.8
LKA,0,0,0,0,1,364.1,2000,2002,1,1,23,1,0.00281,0.00281,96497,271,96362,4621087,47.89,48
LKA,0,0,0,0,1,364.1,2000,2002,1,1,24,1,0.00298,0.00297,96226,286,96083,4524725,47.02,47.1
LKA,0,0,0,0,1,364.1,2000,2002,1,1,25,1,0.00309,0.00309,95940,296,95792,4428642,46.16,46.2
LKA,0,0,0,0,1,364.1,2000,2002,1,1,26,1,0.00317,0.00317,95644,303,95492,4332850,45.3,45.4
LKA,0,0,0,0,1,364.1,2000,2002,1,1,27,1,0.0032,0.0032,95341,305,95188,4237358,44.44,44.5
LKA,0,0,0,0,1,364.1,2000,2002,1,1,28,1,0.00321,0.00321,95036,305,94884,4142169,43.59,43.7
LKA,0,0,0,0,1,364.1,2000,2002,1,1,29,1,0.00321,0.00321,94731,304,94579,4047286,42.72,42.8
LKA,0,0,0,0,1,364.1,2000,2002,1,1,30,1,0.0032,0.0032,94427,302,94276,3952707,41.86,41.9
LKA,0,0,0,0,1,364.1,2000,2002,1,1,31,1,0.0032,0.0032,94125,301,93974,3858431,40.99,41.1
LKA,0,0,0,0,1,364.1,2000,2002,1,1,32,1,0.00321,0.00321,93824,301,93674,3764456,40.12,40.2
LKA,0,0,0,0,1,364.1,2000,2002,1,1,33,1,0.00325,0.00324,93523,303,93372,3670783,39.25,39.3
LKA,0,0,0,0,1,364.1,2000,2002,1,1,34,1,0.00331,0.0033,93220,308,93066,3577411,38.38,38.5
LKA,0,0,0,0,1,364.1,2000,2002,1,1,35,1,0.00339,0.00338,92912,314,92755,3484345,37.5,37.6
LKA,0,0,0,0,1,364.1,2000,2002,1,1,36,1,0.00349,0.00349,92598,323,92436,3391590,36.63,36.7
LKA,0,0,0,0,1,364.1,2000,2002,1,1,37,1,0.00365,0.00364,92275,336,92107,3299154,35.75,35.8
