Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
LTU,0,0,0,0,1,266.7,1990,1990,1,1,0,1,0.01093,0.01082,100000,1082,99007,6654425,66.54,66.54
LTU,0,0,0,0,1,266.7,1990,1990,1,1,1,1,0.00168,0.00168,98918,166,98835,6555418,66.27,66.27
LTU,0,0,0,0,1,266.7,1990,1990,1,1,2,1,0.00114,0.00114,98752,113,98696,6456583,65.38,65.38
LTU,0,0,0,0,1,266.7,1990,1990,1,1,3,1,0.00071,0.00071,98639,70,98604,6357887,64.46,64.45
LTU,0,0,0,0,1,266.7,1990,1990,1,1,4,1,0.00052,0.00052,98569,51,98544,6259283,63.5,63.5
LTU,0,0,0,0,1,266.7,1990,1990,1,1,5,1,0.00048,0.00048,98518,47,98494,6160740,62.53,62.53
LTU,0,0,0,0,1,266.7,1990,1990,1,1,6,1,0.00051,0.00051,98471,50,98446,6062245,61.56,61.56
LTU,0,0,0,0,1,266.7,1990,1990,1,1,7,1,0.00056,0.00056,98421,55,98394,5963799,60.59,60.59
LTU,0,0,0,0,1,266.7,1990,1990,1,1,8,1,0.00057,0.00057,98366,56,98338,5865406,59.63,59.63
LTU,0,0,0,0,1,266.7,1990,1990,1,1,9,1,0.00054,0.00054,98310,53,98284,5767068,58.66,58.66
LTU,0,0,0,0,1,266.7,1990,1990,1,1,10,1,0.00049,0.00049,98257,48,98233,5668784,57.69,57.69
LTU,0,0,0,0,1,266.7,1990,1990,1,1,11,1,0.00043,0.00043,98209,42,98188,5570551,56.72,56.72
LTU,0,0,0,0,1,266.7,1990,1990,1,1,12,1,0.00042,0.00042,98167,41,98146,5472363,55.75,55.74
LTU,0,0,0,0,1,266.7,1990,1990,1,1,13,1,0.00046,0.00046,98126,45,98104,5374217,54.77,54.77
LTU,0,0,0,0,1,266.7,1990,1990,1,1,14,1,0.00058,0.00058,98081,57,98052,5276113,53.79,53.79
LTU,0,0,0,0,1,266.7,1990,1990,1,1,15,1,0.00078,0.00078,98024,76,97986,5178061,52.82,52.82
LTU,0,0,0,0,1,266.7,1990,1990,1,1,16,1,0.00101,0.00101,97948,99,97898,5080075,51.87,51.86
LTU,0,0,0,0,1,266.7,1990,1990,1,1,17,1,0.00126,0.00126,97849,123,97788,4982176,50.92,50.91
LTU,0,0,0,0,1,266.7,1990,1990,1,1,18,1,0.00151,0.0015,97726,147,97652,4884389,49.98,49.98
LTU,0,0,0,0,1,266.7,1990,1990,1,1,19,1,0.00172,0.00172,97579,168,97495,4786736,49.05,49.05
LTU,0,0,0,0,1,266.7,1990,1990,1,1,20,1,0.0019,0.0019,97411,185,97318,4689241,48.14,48.14
LTU,0,0,0,0,1,266.7,1990,1990,1,1,21,1,0.00206,0.00206,97226,200,97126,4591923,47.23,47.23
LTU,0,0,0,0,1,266.7,1990,1990,1,1,22,1,0.00218,0.00217,97026,211,96920,4494797,46.33,46.32
LTU,0,0,0,0,1,266.7,1990,1990,1,1,23,1,0.00227,0.00227,96815,220,96705,4397876,45.43,45.42
LTU,0,0,0,0,1,266.7,1990,1990,1,1,24,1,0.00236,0.00236,96595,228,96481,4301171,44.53,44.53
LTU,0,0,0,0,1,266.7,1990,1990,1,1,25,1,0.00242,0.00242,96367,233,96250,4204690,43.63,43.63
LTU,0,0,0,0,1,266.7,1990,1990,1,1,26,1,0.00248,0.00248,96134,238,96015,4108440,42.74,42.73
LTU,0,0,0,0,1,266.7,1990,1990,1,1,27,1,0.00254,0.00253,95896,243,95774,4012425,41.84,41.84
LTU,0,0,0,0,1,266.7,1990,1990,1,1,28,1,0.00263,0.00262,95653,251,95528,3916650,40.95,40.94
LTU,0,0,0,0,1,266.7,1990,1990,1,1,29,1,0.00274,0.00274,95402,261,95272,3821123,40.05,40.05
LTU,0,0,0,0,1,266.7,1990,1990,1,1,30,1,0.00292,0.00291,95141,277,95002,3725851,39.16,39.16
LTU,0,0,0,0,1,266.7,1990,1990,1,1,31,1,0.00316,0.00315,94864,299,94714,3630849,38.27,38.27
LTU,0,0,0,0,1,266.7,1990,1990,1,1,32,1,0.00343,0.00343,94565,324,94403,3536134,37.39,37.39
LTU,0,0,0,0,1,266.7,1990,1990,1,1,33,1,0.00375,0.00375,94241,353,94064,3441731,36.52,36.52
LTU,0,0,0,0,1,266.7,1990,1990,1,1,34,1,0.00409,0.00408,93888,383,93696,3347667,35.66,35.65
LTU,0,0,0,0,1,266.7,1990,1990,1,1,35,1,0.00438,0.00437,93505,409,93300,3253970,34.8,34.8
LTU,0,0,0,0,1,266.7,1990,1990,1,1,36,1,0.00466,0.00465,93096,433,92880,3160670,33.95,33.95
LTU,0,0,0,0,1,266.7,1990,1990,1,1,37,1,0.00493,0.00492,92663,456,92435,3067790,33.11,33.1
LTU,0,0,0,0,1,266.7,1990,1990,1,1,38,1,0.00521,0.00519,92207,479,91968,2975355,32.27,32.27
LTU,0,0,0,0,1,266.7,1990,1990,1,1,39,1,0.00555,0.00554,91728,508,91474,2883388,31.43,31.43
LTU,0,0,0,0,1,266.7,1990,1990,1,1,40,1,0.00599,0.00597,91220,545,90948,2791914,30.61,30.6
LTU,0,0,0,0,1,266.7,1990,1990,1,1,41,1,0.00655,0.00653,90675,592,90379,2700966,29.79,29.78
LTU,0,0,0,0,1,266.7,1990,1990,1,1,42,1,0.00723,0.0072,90083,649,89758,2610587,28.98,28.98
LTU,0,0,0,0,1,266.7,1990,1990,1,1,43,1,0.008,0.00797,89434,713,89078,2520829,28.19,28.18
LTU,0,0,0,0,1,266.7,1990,1990,1,1,44,1,0.00881,0.00877,88721,778,88332,2431751,27.41,27.41
LTU,0,0,0,0,1,266.7,1990,1990,1,1,45,1,0.00955,0.00951,87943,836,87525,2343419,26.65,26.64
LTU,0,0,0,0,1,266.7,1990,1990,1,1,46,1,0.0102,0.01015,87107,884,86665,2255894,25.9,25.89
LTU,0,0,0,0,1,266.7,1990,1990,1,1,47,1,0.01073,0.01067,86223,920,85763,2169229,25.16,25.16
LTU,0,0,0,0,1,266.7,1990,1990,1,1,48,1,0.01118,0.01111,85303,948,84829,2083466,24.42,24.42
LTU,0,0,0,0,1,266.7,1990,1990,1,1,49,1,0.01161,0.01155,84355,974,83868,1998637,23.69,23.69
LTU,0,0,0,0,1,266.7,1990,1990,1,1,50,1,0.01217,0.0121,83381,1009,82876,1914769,22.96,22.96
LTU,0,0,0,0,1,266.7,1990,1990,1,1,51,1,0.01294,0.01286,82372,1059,81842,1831893,22.24,22.24
LTU,0,0,0,0,1,266.7,1990,1990,1,1,52,1,0.01397,0.01387,81313,1128,80749,1750050,21.52,21.52
LTU,0,0,0,0,1,266.7,1990,1990,1,1,53,1,0.01526,0.01514,80185,1214,79578,1669301,20.82,20.81
LTU,0,0,0,0,1,266.7,1990,1990,1,1,54,1,0.0167,0.01656,78971,1308,78317,1589723,20.13,20.13
LTU,0,0,0,0,1,266.7,1990,1990,1,1,55,1,0.01818,0.01801,77663,1399,76964,1511406,19.46,19.46
LTU,0,0,0,0,1,266.7,1990,1990,1,1,56,1,0.01952,0.01933,76264,1474,75527,1434443,18.81,18.8
LTU,0,0,0,0,1,266.7,1990,1990,1,1,57,1,0.02064,0.02043,74790,1528,74026,1358916,18.17,18.17
LTU,0,0,0,0,1,266.7,1990,1990,1,1,58,1,0.02156,0.02133,73262,1563,72480,1284890,17.54,17.53
LTU,0,0,0,0,1,266.7,1990,1990,1,1,59,1,0.02242,0.02218,71699,1590,70904,1212409,16.91,16.9
LTU,0,0,0,0,1,266.7,1990,1990,1,1,60,1,0.02346,0.02319,70109,1626,69296,1141505,16.28,16.28
LTU,0,0,0,0,1,266.7,1990,1990,1,1,61,1,0.02493,0.02462,68483,1686,67640,1072209,15.66,15.65
LTU,0,0,0,0,1,266.7,1990,1990,1,1,62,1,0.02679,0.02644,66797,1766,65914,1004569,15.04,15.03
LTU,0,0,0,0,1,266.7,1990,1990,1,1,63,1,0.02899,0.02857,65031,1858,64102,938655,14.43,14.43
LTU,0,0,0,0,1,266.7,1990,1990,1,1,64,1,0.0314,0.03092,63173,1953,62196,874553,13.84,13.84
LTU,0,0,0,0,1,266.7,1990,1990,1,1,65,1,0.03399,0.03342,61220,2046,60197,812357,13.27,13.26
LTU,0,0,0,0,1,266.7,1990,1990,1,1,66,1,0.03676,0.0361,59174,2136,58106,752160,12.71,12.7
LTU,0,0,0,0,1,266.7,1990,1990,1,1,67,1,0.03973,0.03896,57038,2222,55927,694054,12.17,12.16
LTU,0,0,0,0,1,266.7,1990,1990,1,1,68,1,0.04293,0.04203,54816,2304,53664,638127,11.64,11.63
LTU,0,0,0,0,1,266.7,1990,1990,1,1,69,1,0.04635,0.0453,52512,2379,51322,584463,11.13,11.12
LTU,0,0,0,0,1,266.7,1990,1990,1,1,70,1,0.05003,0.04881,50133,2447,48910,533140,10.63,10.63
LTU,0,0,0,0,1,266.7,1990,1990,1,1,71,1,0.05397,0.05255,47686,2506,46433,484231,10.15,10.15
LTU,0,0,0,0,1,266.7,1990,1990,1,1,72,1,0.0582,0.05655,45180,2555,43902,437798,9.69,9.68
LTU,0,0,0,0,1,266.7,1990,1990,1,1,73,1,0.06274,0.06083,42625,2593,41328,393895,9.24,9.23
LTU,0,0,0,0,1,266.7,1990,1990,1,1,74,1,0.06761,0.0654,40032,2618,38723,352567,8.81,8.8
LTU,0,0,0,0,1,266.7,1990,1990,1,1,75,1,0.07277,0.07021,37414,2627,36100,313844,8.39,8.38
LTU,0,0,0,0,1,266.7,1990,1990,1,1,76,1,0.07839,0.07543,34787,2624,33475,277743,7.98,7.97
LTU,0,0,0,0,1,266.7,1990,1990,1,1,77,1,0.08438,0.08096,32163,2604,30861,244268,7.59,7.58
LTU,0,0,0,0,1,266.7,1990,1990,1,1,78,1,0.09079,0.08684,29559,2567,28276,213407,7.22,7.21
LTU,0,0,0,0,1,266.7,1990,1990,1,1,79,1,0.09769,0.09314,26992,2514,25735,185132,6.86,6.84
LTU,0,0,0,0,1,266.7,1990,1990,1,1,80,1,0.10509,0.09984,24478,2444,23256,159397,6.51,6.49
LTU,0,0,0,0,1,266.7,1990,1990,1,1,81,1,0.11302,0.10697,22034,2357,20856,136141,6.18,6.16
LTU,0,0,0,0,1,266.7,1990,1990,1,1,82,1,0.12151,0.11455,19677,2254,18550,115285,5.86,5.84
LTU,0,0,0,0,1,266.7,1990,1990,1,1,83,1,0.1306,0.1226,17423,2136,16355,96735,5.55,5.53
LTU,0,0,0,0,1,266.7,1990,1990,1,1,84,1,0.14044,0.13122,15287,2006,14284,80380,5.26,5.23
LTU,0,0,0,0,1,266.7,1990,1990,1,1,85,1,0.15086,0.14028,13281,1863,12350,66096,4.98,4.95
LTU,0,0,0,0,1,266.7,1990,1990,1,1,86,1,0.16209,0.14994,11418,1712,10562,53747,4.71,4.68
LTU,0,0,0,0,1,266.7,1990,1990,1,1,87,1,0.17416,0.16021,9706,1555,8928,43185,4.45,4.41
LTU,0,0,0,0,1,266.7,1990,1990,1,1,88,1,0.18701,0.17102,8151,1394,7454,34256,4.2,4.16
LTU,0,0,0,0,1,266.7,1990,1990,1,1,89,1,0.2008,0.18248,6757,1233,6140,26802,3.97,3.92
LTU,0,0,0,0,1,266.7,1990,1990,1,1,90,1,0.21558,0.19461,5524,1075,4986,20662,3.74,3.68
LTU,0,0,0,0,1,266.7,1990,1990,1,1,91,1,0.23147,0.20746,4449,923,3988,15675,3.52,3.46
