Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,0,1,0.00239,0.00238,100000,238,99776,7992439,79.92,79.95
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,1,1,2e-04,2e-04,99762,20,99752,7892664,79.12,79.14
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,2,1,2e-04,2e-04,99742,20,99732,7792912,78.13,78.16
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,3,1,2e-04,2e-04,99723,20,99713,7693179,77.15,77.17
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,4,1,2e-04,2e-04,99703,20,99693,7593467,76.16,76.19
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,5,1,1e-04,1e-04,99683,10,99678,7493774,75.18,75.2
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,6,1,1e-04,1e-04,99673,10,99668,7394096,74.18,74.21
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,7,1,0,0,99663,0,99663,7294427,73.19,73.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,8,1,0,0,99663,0,99663,7194764,72.19,72.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,9,1,0,0,99663,0,99663,7095101,71.19,71.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,10,1,0,0,99663,0,99663,6995438,70.19,70.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,11,1,0,0,99663,0,99663,6895774,69.19,69.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,12,1,0,0,99663,0,99663,6796111,68.19,68.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,13,1,0,0,99663,0,99663,6696448,67.19,67.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,14,1,0,0,99663,0,99663,6596785,66.19,66.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,15,1,0,0,99663,0,99663,6497121,65.19,65.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,16,1,1e-04,1e-04,99663,10,99658,6397458,64.19,64.22
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,17,1,2e-04,2e-04,99653,20,99644,6297800,63.2,63.23
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,18,1,0.00029,0.00029,99634,29,99620,6198156,62.21,62.24
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,19,1,0.00054,0.00054,99605,54,99578,6098536,61.23,61.26
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,20,1,0.00063,0.00063,99551,63,99520,5998958,60.26,60.29
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,21,1,0.00054,0.00054,99488,54,99461,5899439,59.3,59.33
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,22,1,0.00036,0.00036,99434,36,99416,5799978,58.33,58.36
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,23,1,0.00024,0.00024,99398,24,99386,5700562,57.35,57.38
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,24,1,0.00016,0.00016,99374,16,99366,5601176,56.36,56.39
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,25,1,0.00024,0.00024,99359,24,99347,5501809,55.37,55.4
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,26,1,0.00016,0.00016,99335,16,99327,5402463,54.39,54.41
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,27,1,0.00036,0.00036,99319,36,99301,5303136,53.39,53.42
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,28,1,0.00036,0.00036,99283,36,99265,5203835,52.41,52.44
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,29,1,0.00065,0.00065,99247,65,99215,5104570,51.43,51.46
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,30,1,0.00065,0.00065,99182,65,99150,5005355,50.47,50.49
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,31,1,0.00065,0.00065,99118,65,99086,4906205,49.5,49.53
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,32,1,0.00066,0.00066,99053,65,99021,4807119,48.53,48.56
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,33,1,0.00066,0.00066,98988,65,98956,4708098,47.56,47.59
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,34,1,0.00042,0.00042,98923,42,98903,4609143,46.59,46.62
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,35,1,0.00035,0.00035,98882,35,98864,4510240,45.61,45.64
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,36,1,0.00042,0.00042,98847,42,98826,4411375,44.63,44.66
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,37,1,0.00057,0.00057,98806,56,98778,4312549,43.65,43.68
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,38,1,0.00087,0.00087,98750,86,98707,4213771,42.67,42.7
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,39,1,0.00087,0.00087,98664,86,98621,4115065,41.71,41.74
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,40,1,8e-04,8e-04,98578,79,98539,4016443,40.74,40.77
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,41,1,8e-04,8e-04,98499,79,98460,3917905,39.78,39.8
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,42,1,0.0014,0.0014,98420,137,98351,3819445,38.81,38.84
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,43,1,0.0014,0.0014,98282,137,98214,3721094,37.86,37.89
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,44,1,0.0014,0.0014,98145,137,98077,3622880,36.91,36.94
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,45,1,0.00156,0.00155,98008,152,97932,3524803,35.96,35.99
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,46,1,0.00184,0.00184,97856,180,97766,3426871,35.02,35.05
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,47,1,0.00191,0.00191,97676,186,97583,3329105,34.08,34.11
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,48,1,0.00206,0.00206,97490,201,97389,3231522,33.15,33.18
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,49,1,0.00263,0.00262,97289,255,97161,3134133,32.21,32.24
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,50,1,0.00303,0.00303,97034,294,96887,3036972,31.3,31.33
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,51,1,0.00303,0.00303,96740,293,96594,2940085,30.39,30.42
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,52,1,0.00351,0.0035,96447,338,96278,2843491,29.48,29.51
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,53,1,0.00351,0.0035,96109,337,95941,2747213,28.58,28.61
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,54,1,0.00395,0.00394,95773,377,95584,2651272,27.68,27.71
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,55,1,0.00416,0.00416,95396,396,95197,2555687,26.79,26.82
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,56,1,0.00478,0.00477,94999,453,94773,2460490,25.9,25.93
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,57,1,0.00516,0.00515,94546,487,94303,2365717,25.02,25.05
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,58,1,0.00663,0.00661,94059,621,93749,2271415,24.15,24.18
LUX,0,0,0,0,1,3310.04,2016,2018,1,1,59,1,0.00695,0.00692,93438,647,93114,2177666,23.31,23.34
