Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,0,1,0.0032,0.00319,100000,319,99700,6995916,69.96,70.05
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,1,4,0.00018,0.00072,99681,72,398554,6896216,69.18,69.27
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,5,5,2e-04,0.00099,99609,99,497798,6497662,65.23,65.32
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,10,5,0.00022,0.00111,99510,110,497275,5999864,60.29,60.38
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,15,5,0.00078,0.00389,99400,387,496032,5502589,55.36,55.44
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,20,5,0.00094,0.00469,99013,464,493905,5006557,50.56,50.65
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,25,5,0.00153,0.00762,98549,751,490868,4512652,45.79,45.85
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,30,5,0.00269,0.01336,97798,1307,485722,4021784,41.12,41.18
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,35,5,0.00336,0.01668,96491,1609,478432,3536062,36.65,36.71
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,40,5,0.00571,0.02817,94882,2673,467728,3057629,32.23,32.29
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,45,5,0.00746,0.0366,92209,3375,452608,2589902,28.09,28.15
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,50,5,0.01203,0.05841,88834,5189,431198,2137294,24.06,24.12
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,55,5,0.01764,0.08445,83645,7064,400565,1706097,20.4,20.47
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,60,5,0.0249,0.11718,76581,8974,360470,1305532,17.05,17.12
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,65,5,0.03736,0.17083,67607,11549,309162,945062,13.98,14.05
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,70,5,0.05041,0.22386,56058,12549,248918,635899,11.34,11.43
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,75,5,0.0725,0.30688,43509,13352,184165,386982,8.89,9
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,80,5,0.106,0.41897,30157,12635,119198,202817,6.73,6.85
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,85,5,0.1614,0.57499,17522,10075,62422,83619,4.77,4.99
LVA,0,0,0,0,1,3620.19,2018,2018,4,1,90,99,0.35133,1,7447,7447,21197,21197,2.85,3.55
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,0,1,0.00292,0.00291,100000,291,99726,7947253,79.47,79.62
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,1,4,0.00014,0.00056,99709,56,398697,7847527,78.7,78.85
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,5,5,1e-04,5e-04,99653,50,498140,7448830,74.75,74.89
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,10,5,1e-04,5e-04,99603,50,497890,6950690,69.78,69.93
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,15,5,0.00023,0.00115,99553,114,497480,6452800,64.82,64.96
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,20,5,0.00055,0.00275,99439,273,496512,5955320,59.89,60.03
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,25,5,0.00031,0.00155,99166,154,495445,5458807,55.05,55.19
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,30,5,0.00078,0.00389,99012,385,494098,4963362,50.13,50.28
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,35,5,0.00112,0.00559,98627,551,491758,4469265,45.31,45.46
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,40,5,0.00204,0.01016,98076,996,487890,3977507,40.56,40.7
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,45,5,0.00269,0.01336,97080,1297,482158,3489617,35.95,36.09
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,50,5,0.00434,0.02149,95783,2058,473770,3007460,31.4,31.55
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,55,5,0.00596,0.02938,93725,2754,461740,2533690,27.03,27.16
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,60,5,0.00936,0.04571,90971,4158,444460,2071950,22.78,22.9
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,65,5,0.01493,0.07198,86813,6249,418442,1627490,18.75,18.88
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,70,5,0.02214,0.10487,80564,8449,381698,1209047,15.01,15.15
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,75,5,0.03613,0.16568,72115,11948,330705,827350,11.47,11.58
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,80,5,0.06853,0.29254,60167,17601,256832,496645,8.25,8.38
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,85,5,0.12736,0.48301,42566,20560,161430,239812,5.63,5.81
LVA,0,0,0,0,1,3620.19,2018,2018,4,2,90,99,0.28075,1,22006,22006,78382,78382,3.56,3.9
