Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,0,1,0.01466,0.01447,100000,1447,98689,7165502,71.66,71.13
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,1,4,0.00172,0.00685,98553,675,392599,7066813,71.71,71.17
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,5,5,0.00055,0.00275,97878,269,488719,6674214,68.19,67.65
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,10,5,0.00042,0.0021,97609,205,487535,6185495,63.37,62.83
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,15,5,0.00053,0.00265,97405,258,486378,5697960,58.5,57.95
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,20,5,0.00063,0.00314,97147,306,484970,5211581,53.65,53.1
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,25,5,0.00061,0.00305,96841,295,483469,4726611,48.81,48.26
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,30,5,0.00072,0.00359,96546,347,481864,4243142,43.95,43.4
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,35,5,0.00128,0.00638,96199,614,479462,3761278,39.1,38.55
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,40,5,0.00182,0.00906,95586,866,475762,3281816,34.33,33.78
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,45,5,0.00251,0.01248,94719,1182,470642,2806053,29.62,29.06
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,50,5,0.00581,0.02864,93537,2679,460990,2335411,24.97,24.4
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,55,5,0.01301,0.06299,90858,5724,439984,1874422,20.63,20.03
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,60,5,0.01972,0.09398,85135,8001,405672,1434438,16.85,16.19
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,65,5,0.02731,0.12783,77134,9860,361018,1028766,13.34,12.6
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,70,5,0.06106,0.26487,67274,17819,291820,667749,9.93,9.06
MDV,0,0,0,0,1,1517.05,2004,2004,4,1,75,99,0.13155,1,49455,49455,375928,375928,7.6,6.38
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,0,1,0.01325,0.01309,100000,1309,98808,7315487,73.15,72.07
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,1,4,0.00152,0.00606,98691,598,393270,7216679,73.12,72.02
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,5,5,0.00042,0.0021,98093,206,489950,6823409,69.56,68.45
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,10,5,0.00036,0.0018,97887,176,488996,6333459,64.7,63.59
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,15,5,0.00027,0.00135,97711,132,488226,5844463,59.81,58.7
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,20,5,0.00033,0.00165,97579,161,487495,5356236,54.89,53.78
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,25,5,0.00051,0.00255,97418,248,486472,4868741,49.98,48.86
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,30,5,0.00059,0.00295,97170,286,485136,4382269,45.1,43.98
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,35,5,0.00106,0.00529,96884,512,483140,3897133,40.22,39.1
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,40,5,0.0018,0.00896,96372,864,479700,3413993,35.43,34.29
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,45,5,0.00186,0.00926,95508,884,475330,2934293,30.72,29.58
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,50,5,0.00638,0.03141,94624,2972,465688,2458963,25.99,24.83
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,55,5,0.00819,0.04015,91652,3680,449060,1993274,21.75,20.54
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,60,5,0.01841,0.08802,87972,7744,420502,1544215,17.55,16.29
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,65,5,0.02155,0.10224,80229,8203,380637,1123712,14.01,12.61
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,70,5,0.05819,0.25399,72026,18294,314395,743076,10.32,8.74
MDV,0,0,0,0,1,1517.05,2004,2004,4,2,75,99,0.12534,1,53732,53732,428681,428681,7.98,5.82
