Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,0,1,0.00902,0.00894,100000,894,99175,7400245,74,74
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,1,1,0.00031,0.00031,99106,31,99090,7301070,73.67,73.67
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,2,1,0.00028,0.00028,99075,28,99061,7201980,72.69,72.69
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,3,1,0.00036,0.00036,99047,36,99029,7102919,71.71,71.71
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,4,1,0.00025,0.00025,99011,25,98999,7003889,70.74,70.74
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,5,1,0.00017,0.00017,98986,17,98978,6904890,69.76,69.75
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,6,1,0.00022,0.00022,98970,22,98959,6805912,68.77,68.76
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,7,1,8e-05,8e-05,98948,8,98944,6706953,67.78,67.78
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,8,1,8e-05,8e-05,98940,8,98936,6608009,66.79,66.79
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,9,1,0.00014,0.00014,98932,14,98925,6509073,65.79,65.79
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,10,1,0.00012,0.00012,98918,11,98912,6410149,64.8,64.8
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,11,1,2e-04,2e-04,98906,20,98896,6311237,63.81,63.81
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,12,1,2e-04,2e-04,98886,20,98876,6212341,62.82,62.82
MKD,0,0,0,0,1,3670.06,2016,2018,1,1,13,1,0.00028,0.00028,98866,28,98852,6113465,61.84,61.83
