Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,0,1,0.03257,0.03169,100000,3169,97291,6810672,68.11,68.11
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,1,1,0.00293,0.00292,96831,283,96690,6713381,69.33,69.33
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,2,1,0.00135,0.00135,96548,130,96483,6616692,68.53,68.53
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,3,1,0.00099,0.00099,96418,95,96370,6520209,67.62,67.62
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,4,1,0.00087,0.00087,96323,84,96281,6423838,66.69,66.69
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,5,1,0.00073,0.00073,96239,70,96204,6327557,65.75,65.74
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,6,1,0.00068,0.00068,96169,65,96136,6231353,64.8,64.79
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,7,1,0.00065,0.00065,96104,62,96073,6135217,63.84,63.83
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,8,1,6e-04,6e-04,96042,58,96013,6039144,62.88,62.87
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,9,1,0.00058,0.00058,95984,56,95956,5943131,61.92,61.91
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,10,1,0.00056,0.00056,95928,54,95901,5847175,60.95,60.95
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,11,1,0.00056,0.00056,95874,54,95847,5751274,59.99,59.98
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,12,1,0.00057,0.00057,95820,55,95792,5655427,59.02,59.02
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,13,1,6e-04,6e-04,95765,57,95736,5559634,58.05,58.05
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,14,1,0.00063,0.00063,95708,60,95678,5463898,57.09,57.08
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,15,1,7e-04,7e-04,95648,67,95614,5368220,56.12,56.12
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,16,1,0.00074,0.00074,95581,71,95546,5272605,55.16,55.16
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,17,1,0.00097,0.00097,95510,93,95464,5177060,54.2,54.2
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,18,1,0.001,0.001,95417,95,95370,5081596,53.26,53.25
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,19,1,0.00102,0.00102,95322,97,95274,4986227,52.31,52.3
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,20,1,0.00109,0.00109,95225,104,95173,4890953,51.36,51.36
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,21,1,0.00114,0.00114,95121,108,95067,4795780,50.42,50.41
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,22,1,0.00114,0.00114,95013,108,94959,4700713,49.47,49.47
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,23,1,0.0012,0.0012,94905,114,94848,4605754,48.53,48.52
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,24,1,0.00125,0.00124,94791,118,94732,4510906,47.59,47.58
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,25,1,0.00127,0.00127,94673,120,94613,4416174,46.65,46.64
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,26,1,0.00139,0.00139,94553,131,94488,4321561,45.71,45.7
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,27,1,0.00146,0.00146,94422,138,94353,4227074,44.77,44.76
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,28,1,0.00199,0.00198,94284,187,94190,4132721,43.83,43.83
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,29,1,0.00212,0.00211,94097,199,93998,4038530,42.92,42.91
MNE,0,0,0,0,1,1724.05,1970,1972,1,1,30,1,0.00222,0.00222,93898,208,93794,3944533,42.01,42
