Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MNG,0,0,0,0,1,971.1,1996,2000,4,1,0,1,0.04374,0.04222,100000,4222,96524,6145426,61.45,60.1
MNG,0,0,0,0,1,971.1,1996,2000,4,1,1,4,0.00513,0.02028,95778,1942,378307,6048903,63.16,61.74
MNG,0,0,0,0,1,971.1,1996,2000,4,1,5,5,0.00085,0.00425,93836,399,468182,5670596,60.43,58.99
MNG,0,0,0,0,1,971.1,1996,2000,4,1,10,5,0.00066,0.0033,93437,308,466415,5202413,55.68,54.23
MNG,0,0,0,0,1,971.1,1996,2000,4,1,15,5,0.00115,0.00576,93129,536,464305,4735998,50.85,49.4
MNG,0,0,0,0,1,971.1,1996,2000,4,1,20,5,0.00213,0.01062,92593,983,460508,4271693,46.13,44.67
MNG,0,0,0,0,1,971.1,1996,2000,4,1,25,5,0.00297,0.01476,91610,1352,454670,3811186,41.6,40.12
MNG,0,0,0,0,1,971.1,1996,2000,4,1,30,5,0.00382,0.0189,90258,1706,447025,3356516,37.19,35.69
MNG,0,0,0,0,1,971.1,1996,2000,4,1,35,5,0.0046,0.02273,88552,2013,437728,2909491,32.86,31.33
MNG,0,0,0,0,1,971.1,1996,2000,4,1,40,5,0.00634,0.0312,86539,2700,425945,2471763,28.56,27
MNG,0,0,0,0,1,971.1,1996,2000,4,1,45,5,0.0107,0.0521,83839,4368,408275,2045818,24.4,22.79
MNG,0,0,0,0,1,971.1,1996,2000,4,1,50,5,0.01833,0.08765,79471,6966,379940,1637543,20.61,18.9
MNG,0,0,0,0,1,971.1,1996,2000,4,1,55,5,0.02308,0.10912,72505,7912,342745,1257603,17.35,15.48
MNG,0,0,0,0,1,971.1,1996,2000,4,1,60,5,0.03773,0.1724,64593,11136,295125,914858,14.16,12.07
MNG,0,0,0,0,1,971.1,1996,2000,4,1,65,5,0.053,0.23398,53457,12508,236015,619733,11.59,9.06
MNG,0,0,0,0,1,971.1,1996,2000,4,1,70,99,0.10672,1,40949,40949,383718,383718,9.37,6.07
MNG,0,0,0,0,1,971.1,1996,2000,4,2,0,1,0.03775,0.03659,100000,3659,96926,6606267,66.06,66.57
MNG,0,0,0,0,1,971.1,1996,2000,4,2,1,4,0.00439,0.01736,96341,1672,381125,6509342,67.57,68.1
MNG,0,0,0,0,1,971.1,1996,2000,4,2,5,5,0.00069,0.00346,94669,328,472525,6128217,64.73,65.27
MNG,0,0,0,0,1,971.1,1996,2000,4,2,10,5,0.00042,0.00208,94341,196,471215,5655692,59.95,60.49
MNG,0,0,0,0,1,971.1,1996,2000,4,2,15,5,0.00075,0.00376,94145,354,469840,5184477,55.07,55.61
MNG,0,0,0,0,1,971.1,1996,2000,4,2,20,5,0.00141,0.00703,93791,659,467308,4714637,50.27,50.81
MNG,0,0,0,0,1,971.1,1996,2000,4,2,25,5,0.00166,0.00829,93132,772,463730,4247330,45.61,46.15
MNG,0,0,0,0,1,971.1,1996,2000,4,2,30,5,0.00209,0.01038,92360,959,459402,3783600,40.97,41.52
MNG,0,0,0,0,1,971.1,1996,2000,4,2,35,5,0.00269,0.01336,91401,1221,453952,3324197,36.37,36.93
MNG,0,0,0,0,1,971.1,1996,2000,4,2,40,5,0.00393,0.01946,90180,1755,446512,2870245,31.83,32.39
MNG,0,0,0,0,1,971.1,1996,2000,4,2,45,5,0.00699,0.03437,88425,3039,434528,2423732,27.41,27.99
MNG,0,0,0,0,1,971.1,1996,2000,4,2,50,5,0.01261,0.06113,85386,5220,413880,1989205,23.3,23.89
MNG,0,0,0,0,1,971.1,1996,2000,4,2,55,5,0.01683,0.08077,80166,6475,384642,1575325,19.65,20.29
MNG,0,0,0,0,1,971.1,1996,2000,4,2,60,5,0.0277,0.12954,73691,9546,344590,1190682,16.16,16.85
MNG,0,0,0,0,1,971.1,1996,2000,4,2,65,5,0.0372,0.17019,64145,10917,293432,846092,13.19,13.99
MNG,0,0,0,0,1,971.1,1996,2000,4,2,70,99,0.09631,1,53228,53228,552660,552660,10.38,11.34
