Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,0,4,0.0224,0.08575,100000,8575,382850,5076971,50.77,47.47
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,4,5,0.01427,0.06891,91425,6300,441375,4694121,51.34,50.89
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,9,5,0.00241,0.01198,85125,1020,423075,4252746,49.96,50.56
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,14,5,0.00271,0.01346,84105,1132,417695,3829671,45.53,46.14
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,19,5,0.00313,0.01555,82973,1290,411640,3411976,41.12,41.73
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,24,5,0.00301,0.01496,81683,1222,405360,3000336,36.73,37.35
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,29,5,0.00958,0.04678,80461,3764,392895,2594976,32.25,32.88
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,34,5,0.02216,0.105,76697,8053,363352,2202081,28.71,29.37
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,39,5,0.0175,0.08384,68644,5755,328832,1838729,26.79,27.53
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,44,5,0.02492,0.11729,62889,7376,296005,1509896,24.01,24.82
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,49,5,0.01904,0.09086,55513,5044,264955,1213891,21.87,22.78
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,54,5,0.0274,0.1282,50469,6470,236170,948936,18.8,19.81
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,59,5,0.04119,0.18671,43999,8215,199458,712766,16.2,17.36
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,64,5,0.03916,0.17832,35784,6381,162968,513309,14.34,15.77
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,69,5,0.04306,0.19437,29403,5715,132728,350341,11.92,13.64
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,74,5,0.05343,0.23569,23688,5583,104482,217614,9.19,11.33
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,79,5,0.07538,0.31715,18105,5742,76170,113131,6.25,9.06
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,84,1,0.47867,0.38623,12363,4775,9976,36961,2.99,7.1
MOZ,10,0,0,0,1,3591.11,1998,1999,4,1,85,99,0.28119,1,7588,7588,26986,26986,3.56,5
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,0,4,0.0153,0.05937,100000,5937,388126,6024639,60.25,58.12
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,4,5,0.01246,0.06041,94063,5682,456110,5636513,59.92,60.76
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,9,5,0.0033,0.01636,88381,1446,438290,5180403,58.61,60.58
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,14,5,0.00143,0.00712,86935,619,433128,4742113,54.55,56.55
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,19,5,0.0027,0.01343,86316,1159,428682,4308986,49.92,51.94
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,24,5,0.00665,0.03269,85157,2784,418825,3880303,45.57,47.61
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,29,5,0.00732,0.03596,82373,2962,404460,3461478,42.02,44.13
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,34,5,0.00732,0.03593,79411,2853,389922,3057018,38.5,40.69
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,39,5,0.00472,0.02332,76558,1785,378328,2667096,34.84,37.11
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,44,5,0.00623,0.03068,74773,2294,368130,2288768,30.61,32.94
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,49,5,0.01173,0.057,72479,4131,352068,1920638,26.5,28.9
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,54,5,0.01232,0.05978,68348,4086,331525,1568571,22.95,25.49
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,59,5,0.02659,0.12465,64262,8010,301285,1237046,19.25,21.96
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,64,5,0.02402,0.11328,56252,6372,265330,935761,16.64,19.73
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,69,5,0.0226,0.10694,49880,5334,236065,670431,13.44,16.93
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,74,5,0.05055,0.22437,44546,9995,197742,434366,9.75,13.65
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,79,5,0.06015,0.26144,34551,9033,150172,236623,6.85,11.88
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,84,1,0.4106,0.34066,25518,8693,21172,86451,3.39,10.2
MOZ,10,0,0,0,1,3591.11,1998,1999,4,2,85,99,0.25774,1,16825,16825,65279,65279,3.88,9.18
