Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,0,1,0.04227,0.04084,100000,4084,96621,6323838,63.24,63.15
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,1,4,0.00483,0.01908,95916,1830,379144,6227217,64.92,64.82
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,5,5,0.00086,0.00428,94086,403,469422,5848073,62.16,62.06
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,10,5,0.001,0.00496,93683,465,467252,5378651,57.41,57.32
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,15,5,0.00075,0.00374,93218,349,465218,4911398,52.69,52.59
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,20,5,0.00246,0.01222,92869,1135,461508,4446181,47.88,47.78
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,25,5,0.00176,0.00876,91734,804,456660,3984673,43.44,43.34
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,30,5,0.00275,0.01365,90930,1241,451548,3528013,38.8,38.7
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,35,5,0.00518,0.02559,89689,2295,442708,3076466,34.3,34.2
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,40,5,0.0053,0.02616,87394,2286,431255,2633758,30.14,30.02
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,45,5,0.00991,0.04836,85108,4116,415250,2202503,25.88,25.76
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,50,5,0.01629,0.07828,80992,6340,389110,1787253,22.07,21.93
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,55,5,0.01704,0.08173,74652,6101,358008,1398143,18.73,18.58
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,60,5,0.03584,0.16446,68551,11274,314570,1040136,15.17,14.99
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,65,5,0.0476,0.2127,57277,12183,255928,725566,12.67,12.43
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,70,5,0.0502,0.22302,45094,10057,200328,469638,10.41,10.12
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,75,5,0.09627,0.38796,35037,13593,141202,269311,7.69,7.29
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,80,5,0.112,0.43751,21444,9382,83765,128108,5.97,5.34
MTQ,0,0,0,0,1,682.41,1963,1963,4,1,85,99,0.27201,1,12062,12062,44343,44343,3.68,2.58
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,0,1,0.03356,0.03263,100000,3263,97220,6783480,67.83,67.89
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,1,4,0.00487,0.01924,96737,1861,382241,6686261,69.12,69.17
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,5,5,0.00048,0.0024,94876,228,473810,6304019,66.44,66.5
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,10,5,0.00042,0.00208,94648,197,472748,5830209,61.6,61.66
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,15,5,6e-04,0.00298,94451,281,471552,5357462,56.72,56.78
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,20,5,0.00088,0.00441,94170,415,469812,4885909,51.88,51.94
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,25,5,0.00218,0.01086,93755,1018,466230,4416097,47.1,47.16
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,30,5,0.00292,0.01447,92737,1342,460330,3949867,42.59,42.65
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,35,5,0.00532,0.02623,91395,2397,450982,3489537,38.18,38.23
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,40,5,0.00531,0.02621,88998,2333,439158,3038554,34.14,34.19
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,45,5,0.00939,0.04587,86665,3975,423388,2599397,29.99,30.04
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,50,5,0.00928,0.04534,82690,3749,404078,2176009,26.32,26.36
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,55,5,0.01554,0.07478,78941,5903,379948,1771932,22.45,22.49
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,60,5,0.01865,0.0891,73038,6508,348920,1391984,19.06,19.1
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,65,5,0.02195,0.10404,66530,6922,315345,1043064,15.68,15.72
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,70,5,0.03408,0.15703,59608,9360,274640,727719,12.21,12.25
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,75,5,0.06186,0.26789,50248,13461,217588,453079,9.02,9.04
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,80,5,0.10219,0.40699,36787,14972,146505,235492,6.4,6.4
MTQ,0,0,0,0,1,682.41,1963,1963,4,2,85,99,0.24515,1,21815,21815,88987,88987,4.08,3.99
