Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,0,1,0.00798,0.00792,100000,792,99266,7192664,71.93,72.16
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,1,4,0.00042,0.00169,99208,168,396434,7093397,71.5,71.73
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,5,5,3e-04,0.0015,99040,149,494828,6696964,67.62,67.85
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,10,5,0.00036,0.00179,98891,177,494012,6202136,62.72,62.95
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,15,5,0.00091,0.00455,98714,449,492448,5708124,57.82,58.06
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,20,5,0.00101,0.00506,98265,497,490082,5215676,53.08,53.31
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,25,5,0.00096,0.00478,97768,467,487672,4725594,48.33,48.57
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,30,5,0.00145,0.00724,97301,704,484745,4237921,43.55,43.79
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,35,5,0.00222,0.01106,96597,1068,480315,3753176,38.85,39.09
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,40,5,0.00363,0.01799,95529,1719,473348,3272861,34.26,34.5
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,45,5,0.00562,0.0277,93810,2599,462552,2799514,29.84,30.09
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,50,5,0.00892,0.04361,91211,3978,446110,2336961,25.62,25.88
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,55,5,0.01298,0.06288,87233,5485,422452,1890851,21.68,21.94
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,60,5,0.01897,0.09053,81748,7401,390238,1468399,17.96,18.25
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,65,5,0.02749,0.1286,74347,9561,347832,1078161,14.5,14.81
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,70,5,0.03926,0.17876,64786,11581,294978,730329,11.27,11.63
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,75,5,0.06739,0.28836,53205,15342,227670,435351,8.18,8.62
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,80,99,0.18231,1,37863,37863,207681,207681,5.49,6.1
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,0,1,0.00678,0.00674,100000,674,99373,7678437,76.78,77.25
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,1,4,0.00038,0.00152,99326,151,396928,7579064,76.3,76.78
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,5,5,0.00022,0.00108,99175,107,495608,7182136,72.42,72.89
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,10,5,0.00022,0.00108,99068,107,495072,6686528,67.49,67.96
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,15,5,0.00031,0.00155,98961,153,494422,6191456,62.56,63.04
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,20,5,0.00041,0.00202,98808,200,493540,5697033,57.66,58.13
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,25,5,0.00048,0.00241,98608,238,492445,5203493,52.77,53.24
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,30,5,0.00069,0.00345,98370,339,491002,4711048,47.89,48.36
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,35,5,0.00105,0.00524,98031,514,488870,4220046,43.05,43.52
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,40,5,0.00176,0.00877,97517,855,485448,3731176,38.26,38.74
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,45,5,0.00281,0.01395,96662,1348,479940,3245728,33.58,34.06
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,50,5,0.00471,0.02326,95314,2217,471028,2765788,29.02,29.51
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,55,5,0.00744,0.0365,93097,3398,456990,2294761,24.65,25.15
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,60,5,0.01141,0.05549,89699,4977,436052,1837771,20.49,20.99
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,65,5,0.01709,0.08196,84722,6944,406250,1401718,16.54,17.07
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,70,5,0.02574,0.12092,77778,9405,365378,995468,12.8,13.37
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,75,5,0.05051,0.22423,68373,15331,303538,630091,9.22,9.87
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,80,99,0.16243,1,53042,53042,326553,326553,6.16,7
