Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,0,1,0.02289,0.02244,100000,2244,98019,7068891,70.69,70.73
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,1,4,0.00109,0.00436,97756,426,389995,6970872,71.31,71.34
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,5,5,0.00056,0.00279,97330,272,485970,6580876,67.61,67.64
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,10,5,0.00057,0.00286,97058,278,484595,6094906,62.8,62.82
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,15,5,0.00167,0.0083,96780,803,481892,5610311,57.97,58
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,20,5,0.00243,0.01209,95977,1160,476985,5128419,53.43,53.46
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,25,5,0.00282,0.01401,94817,1328,470765,4651434,49.06,49.08
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,30,5,0.00338,0.01677,93489,1568,463525,4180669,44.72,44.75
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,35,5,0.00413,0.02043,91921,1878,454910,3717144,40.44,40.47
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,40,5,0.00502,0.02481,90043,2234,444630,3262234,36.23,36.26
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,45,5,0.00638,0.03141,87809,2758,432150,2817604,32.09,32.12
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,50,5,0.00855,0.04187,85051,3561,416352,2385454,28.05,28.08
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,55,5,0.01172,0.05695,81490,4641,395848,1969101,24.16,24.2
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,60,5,0.01607,0.07726,76849,5937,369402,1573254,20.47,20.51
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,65,5,0.02347,0.11086,70912,7861,334908,1203851,16.98,17.01
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,70,5,0.0339,0.15625,63051,9852,290625,868944,13.78,13.82
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,75,5,0.05081,0.2254,53199,11991,236018,578319,10.87,10.92
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,80,5,0.08454,0.34894,41208,14379,170092,342301,8.31,8.37
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,85,5,0.12476,0.47549,26829,12757,102252,172209,6.42,6.52
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,90,5,0.17171,0.6007,14072,8453,49228,69956,4.97,5.16
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,95,5,0.22046,0.71062,5619,3993,18112,20729,3.69,4.15
NIC,0,0,0,0,1,4000.98,2010,2010,4,1,100,99,0.62148,1,1626,1626,2616,2616,1.61,3.2
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,0,1,0.01734,0.01707,100000,1707,98466,7676202,76.76,76.84
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,1,4,0.00098,0.00392,98293,385,392208,7577736,77.09,77.16
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,5,5,0.00044,0.00222,97908,217,488998,7185528,73.39,73.46
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,10,5,0.00044,0.00218,97691,213,487922,6696531,68.55,68.62
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,15,5,8e-04,0.00401,97478,391,486412,6208608,63.69,63.76
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,20,5,0.00085,0.00422,97087,410,484410,5722196,58.94,59.01
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,25,5,0.00101,0.00504,96677,487,482168,5237786,54.18,54.25
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,30,5,0.00122,0.00608,96190,585,479488,4755618,49.44,49.51
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,35,5,0.00175,0.00869,95605,831,475948,4276131,44.73,44.8
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,40,5,0.00244,0.01213,94774,1150,470995,3800183,40.1,40.17
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,45,5,0.00339,0.01679,93624,1572,464190,3329188,35.56,35.63
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,50,5,0.00515,0.0254,92052,2338,454415,2864998,31.12,31.2
NIC,0,0,0,0,1,4000.98,2010,2010,4,2,55,5,0.00765,0.03753,89714,3367,440152,2410583,26.87,26.94
