Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
NIU,,0,0,0,1,857.01,2012,2016,4,1,0,5,0,0,100000,0,500000,7363412,73.63,71.8
NIU,,0,0,0,1,857.01,2012,2016,4,1,5,10,0,0,100000,0,1000000,6863412,68.63,66.8
NIU,,0,0,0,1,857.01,2012,2016,4,1,15,10,0,0,100000,0,1000000,5863412,58.63,56.8
NIU,,0,0,0,1,857.01,2012,2016,4,1,25,10,0.00219,0.02167,100000,2167,989165,4863412,48.63,46.8
NIU,,0,0,0,1,857.01,2012,2016,4,1,35,10,0.00444,0.04347,97833,4253,957065,3874247,39.6,37.7
NIU,,0,0,0,1,857.01,2012,2016,4,1,45,10,0.01019,0.097,93580,9077,890415,2917182,31.17,29.2
NIU,,0,0,0,1,857.01,2012,2016,4,1,55,10,0.01227,0.11561,84503,9769,796185,2026767,23.98,21.8
NIU,,0,0,0,1,857.01,2012,2016,4,1,65,10,0.00943,0.09009,74734,6733,713675,1230582,16.47,13.9
NIU,,0,0,0,1,857.01,2012,2016,4,1,75,99,0.13155,1,68001,68001,516907,516907,7.6,4.8
NIU,,0,0,0,1,857.01,2012,2016,4,2,0,5,0,0,100000,0,500000,7872385,78.72,75.7
NIU,,0,0,0,1,857.01,2012,2016,4,2,5,10,0.00138,0.01368,100000,1368,993160,7372385,73.72,70.7
NIU,,0,0,0,1,857.01,2012,2016,4,2,15,10,0.00236,0.02334,98632,2302,974810,6379225,64.68,61.6
NIU,,0,0,0,1,857.01,2012,2016,4,2,25,10,0,0,96330,0,963300,5404415,56.1,52.9
NIU,,0,0,0,1,857.01,2012,2016,4,2,35,10,0,0,96330,0,963300,4441115,46.1,42.9
NIU,,0,0,0,1,857.01,2012,2016,4,2,45,10,0,0,96330,0,963300,3477815,36.1,32.9
NIU,,0,0,0,1,857.01,2012,2016,4,2,55,10,0.00681,0.06586,96330,6344,931580,2514515,26.1,22.9
NIU,,0,0,0,1,857.01,2012,2016,4,2,65,10,0.0075,0.07227,89986,6503,867345,1582935,17.59,14.2
NIU,,0,0,0,1,857.01,2012,2016,4,2,75,99,0.11666,1,83483,83483,715590,715590,8.57,4.9
