Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,0,1,0.00347,0.00346,100000,346,99675,8064711,80.65,80.17
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,1,1,0.00046,0.00046,99654,46,99631,7965036,79.93,79.93
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,2,1,0.00022,0.00022,99608,22,99597,7865405,78.96,78.97
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,3,1,9e-05,9e-05,99586,9,99582,7765808,77.98,77.99
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,4,1,0.00014,0.00014,99577,14,99570,7666226,76.99,76.99
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,5,1,4e-05,4e-05,99563,4,99561,7566656,76,76.01
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,6,1,1e-04,1e-04,99559,10,99554,7467095,75,75.01
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,7,1,7e-05,7e-05,99549,7,99546,7367541,74.01,74.02
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,8,1,8e-05,8e-05,99542,8,99538,7267996,73.01,73.02
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,9,1,6e-05,6e-05,99534,6,99531,7168458,72.02,72.03
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,10,1,6e-05,6e-05,99528,6,99525,7068927,71.02,71.03
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,11,1,9e-05,9e-05,99522,9,99518,6969402,70.03,70.04
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,12,1,5e-05,5e-05,99513,5,99510,6869884,69.04,69.04
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,13,1,0.00012,0.00012,99508,12,99502,6770374,68.04,68.05
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,14,1,0.00012,0.00012,99496,12,99490,6670872,67.05,67.05
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,15,1,0.00013,0.00013,99484,13,99478,6571382,66.05,66.06
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,16,1,0.00022,0.00022,99471,22,99460,6471904,65.06,65.07
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,17,1,0.00023,0.00023,99449,23,99438,6372444,64.08,64.08
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,18,1,0.00022,0.00022,99426,22,99415,6273007,63.09,63.1
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,19,1,0.00032,0.00032,99404,32,99388,6173592,62.11,62.11
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,20,1,0.00041,0.00041,99372,41,99352,6074204,61.13,61.13
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,21,1,0.00029,0.00029,99331,29,99316,5974852,60.15,60.16
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,22,1,0.00045,0.00045,99302,45,99280,5875536,59.17,59.17
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,23,1,0.00029,0.00029,99257,29,99242,5776256,58.19,58.2
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,24,1,0.00036,0.00036,99228,36,99210,5677014,57.21,57.22
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,25,1,0.00045,0.00045,99192,45,99170,5577804,56.23,56.24
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,26,1,0.00039,0.00039,99147,39,99128,5478634,55.26,55.26
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,27,1,0.00036,0.00036,99108,36,99090,5379507,54.28,54.29
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,28,1,0.00058,0.00058,99072,57,99044,5280417,53.3,53.31
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,29,1,0.00046,0.00046,99015,46,98992,5181373,52.33,52.34
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,30,1,5e-04,5e-04,98969,49,98944,5082381,51.35,51.36
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,31,1,0.00066,0.00066,98920,65,98888,4983437,50.38,50.39
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,32,1,0.00048,0.00048,98855,47,98832,4884549,49.41,49.42
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,33,1,0.00055,0.00055,98808,54,98781,4785718,48.43,48.44
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,34,1,0.00051,0.00051,98754,50,98729,4686937,47.46,47.47
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,35,1,0.00066,0.00066,98704,65,98672,4588208,46.48,46.49
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,36,1,0.00063,0.00063,98639,62,98608,4489536,45.51,45.52
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,37,1,0.00082,0.00082,98577,81,98536,4390928,44.54,44.55
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,38,1,0.00073,0.00073,98496,72,98460,4292392,43.58,43.59
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,39,1,0.00077,0.00077,98424,76,98386,4193932,42.61,42.62
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,40,1,0.00074,0.00074,98348,73,98312,4095546,41.64,41.65
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,41,1,0.00096,0.00096,98275,94,98228,3997234,40.67,40.68
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,42,1,0.00104,0.00104,98181,102,98130,3899006,39.71,39.72
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,43,1,0.00116,0.00116,98079,114,98022,3800876,38.75,38.76
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,44,1,0.00122,0.00121,97965,119,97906,3702854,37.8,37.8
NLD,0,0,0,0,1,1880.06,2018,2018,1,1,45,1,0.0015,0.0015,97846,147,97772,3604949,36.84,36.85
