Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,0,1,0.00243,0.00242,100000,242,99772,8099992,81,81
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,1,1,0.00013,0.00013,99758,13,99752,8000220,80.2,80.2
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,2,1,3e-05,3e-05,99745,3,99744,7900469,79.21,79.21
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,3,1,0,0,99742,0,99742,7800725,78.21,78.21
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,4,1,7e-05,7e-05,99742,7,99738,7700983,77.21,77.21
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,5,1,3e-05,3e-05,99735,3,99734,7601245,76.21,76.21
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,6,1,0.00012,0.00012,99732,12,99726,7501511,75.22,75.22
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,7,1,0,0,99720,0,99720,7401785,74.23,74.23
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,8,1,9e-05,9e-05,99720,9,99716,7302065,73.23,73.23
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,9,1,9e-05,9e-05,99711,9,99706,7202350,72.23,72.23
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,10,1,3e-05,3e-05,99702,3,99700,7102643,71.24,71.24
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,11,1,6e-05,6e-05,99699,6,99696,7002943,70.24,70.24
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,12,1,0.00012,0.00012,99693,12,99687,6903247,69.25,69.24
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,13,1,0.00012,0.00012,99681,12,99675,6803560,68.25,68.25
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,14,1,0.00016,0.00016,99669,16,99661,6703885,67.26,67.26
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,15,1,0.00016,0.00016,99653,16,99645,6604224,66.27,66.27
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,16,1,0.00012,0.00012,99637,12,99631,6504579,65.28,65.28
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,17,1,0.00012,0.00012,99625,12,99619,6404948,64.29,64.29
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,18,1,0.00035,0.00035,99613,35,99596,6305329,63.3,63.3
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,19,1,0.00052,0.00052,99578,52,99552,6205733,62.32,62.32
NOR,0,0,0,0,1,3370.03,2018,2018,1,1,20,1,0.00058,0.00058,99526,58,99497,6106181,61.35,61.35
