Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
NRU,,0,0,0,1,862.02,2007,2011,4,1,0,1,0.04074,0.0394,100000,3940,96723,5815284,58.15,57.54
NRU,,0,0,0,1,862.02,2007,2011,4,1,1,4,0.00106,0.00424,96060,407,383236,5718562,59.53,58.88
NRU,,0,0,0,1,862.02,2007,2011,4,1,5,5,0.00035,0.00174,95653,166,477850,5335325,55.78,55.12
NRU,,0,0,0,1,862.02,2007,2011,4,1,10,5,0.00143,0.00712,95487,680,475735,4857475,50.87,50.21
NRU,,0,0,0,1,862.02,2007,2011,4,1,15,5,0.00128,0.00637,94807,604,472525,4381740,46.22,45.56
NRU,,0,0,0,1,862.02,2007,2011,4,1,20,5,0.00136,0.00679,94203,640,469415,3909215,41.5,40.83
NRU,,0,0,0,1,862.02,2007,2011,4,1,25,5,0.00211,0.01047,93563,980,465365,3439800,36.76,36.09
NRU,,0,0,0,1,862.02,2007,2011,4,1,30,5,0.00363,0.01801,92583,1667,458748,2974435,32.13,31.45
NRU,,0,0,0,1,862.02,2007,2011,4,1,35,5,0.00624,0.03074,90916,2795,447592,2515688,27.67,26.99
NRU,,0,0,0,1,862.02,2007,2011,4,1,40,5,0.01044,0.0509,88121,4485,429392,2068095,23.47,22.76
NRU,,0,0,0,1,862.02,2007,2011,4,1,45,5,0.0191,0.09114,83636,7623,399122,1638703,19.59,18.85
NRU,,0,0,0,1,862.02,2007,2011,4,1,50,5,0.03033,0.14098,76013,10716,353275,1239580,16.31,15.49
NRU,,0,0,0,1,862.02,2007,2011,4,1,55,5,0.04571,0.20509,65297,13392,293005,886305,13.57,12.63
NRU,,0,0,0,1,862.02,2007,2011,4,1,60,5,0.06302,0.27223,51905,14130,224200,593300,11.43,10.24
NRU,,0,0,0,1,862.02,2007,2011,4,1,65,5,0.09612,0.38748,37775,14637,152282,369100,9.77,8.14
NRU,,0,0,0,1,862.02,2007,2011,4,1,70,99,0.10672,1,23138,23138,216818,216818,9.37,6.7
NRU,,0,0,0,1,862.02,2007,2011,4,2,0,1,0.0265,0.0259,100000,2590,97741,6326578,63.27,63.24
NRU,,0,0,0,1,862.02,2007,2011,4,2,1,4,8e-04,0.00319,97410,311,388857,6228838,63.94,63.91
NRU,,0,0,0,1,862.02,2007,2011,4,2,5,5,7e-04,0.00349,97099,339,484648,5839981,60.14,60.1
NRU,,0,0,0,1,862.02,2007,2011,4,2,10,5,1e-04,0.00051,96760,49,483678,5355333,55.35,55.31
NRU,,0,0,0,1,862.02,2007,2011,4,2,15,5,4e-04,0.002,96711,193,483072,4871656,50.37,50.33
NRU,,0,0,0,1,862.02,2007,2011,4,2,20,5,1e-04,5e-04,96518,48,482470,4388583,45.47,45.43
NRU,,0,0,0,1,862.02,2007,2011,4,2,25,5,0.00361,0.01789,96470,1726,478035,3906113,40.49,40.45
NRU,,0,0,0,1,862.02,2007,2011,4,2,30,5,0.0041,0.02029,94744,1922,468915,3428078,36.18,36.12
NRU,,0,0,0,1,862.02,2007,2011,4,2,35,5,0.003,0.0149,92822,1383,460652,2959163,31.88,31.82
NRU,,0,0,0,1,862.02,2007,2011,4,2,40,5,0.01093,0.05319,91439,4864,445035,2498511,27.32,27.26
NRU,,0,0,0,1,862.02,2007,2011,4,2,45,5,0.01122,0.05458,86575,4725,421062,2053476,23.72,23.65
NRU,,0,0,0,1,862.02,2007,2011,4,2,50,5,0.0266,0.12473,81850,10209,383728,1632413,19.94,19.85
NRU,,0,0,0,1,862.02,2007,2011,4,2,55,5,0.03009,0.13991,71641,10023,333148,1248686,17.43,17.29
NRU,,0,0,0,1,862.02,2007,2011,4,2,60,5,0.01956,0.09322,61618,5744,293730,915538,14.86,14.7
NRU,,0,0,0,1,862.02,2007,2011,4,2,65,5,0.07262,0.30732,55874,17171,236442,621808,11.13,10.95
NRU,,0,0,0,1,862.02,2007,2011,4,2,70,99,0.10043,1,38703,38703,385366,385366,9.96,9.7
