Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,0,1,0.00497,0.00495,100000,495,99537,7946909,79.47,79.48
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,1,1,0.00043,0.00043,99505,43,99484,7847371,78.86,78.87
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,2,1,0.00021,0.00021,99462,21,99452,7747888,77.9,77.91
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,3,1,0.00017,0.00017,99441,17,99432,7648436,76.91,76.92
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,4,1,0.00016,0.00016,99424,16,99416,7549004,75.93,75.93
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,5,1,0.00015,0.00015,99408,15,99400,7449588,74.94,74.95
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,6,1,0.00013,0.00013,99393,13,99386,7350187,73.95,73.96
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,7,1,0.00014,0.00014,99380,14,99373,7250801,72.96,72.97
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,8,1,0.00013,0.00013,99366,13,99360,7151428,71.97,71.98
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,9,1,0.00015,0.00015,99353,15,99346,7052068,70.98,70.99
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,10,1,0.00015,0.00015,99338,15,99330,6952723,69.99,70
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,11,1,0.00016,0.00016,99323,16,99315,6853392,69,69.01
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,12,1,0.00016,0.00016,99307,16,99299,6754077,68.01,68.02
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,13,1,2e-04,2e-04,99291,20,99281,6654778,67.02,67.03
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,14,1,0.00025,0.00025,99271,25,99258,6555497,66.04,66.04
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,15,1,4e-04,4e-04,99246,40,99226,6456239,65.05,65.06
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,16,1,0.00051,0.00051,99206,51,99180,6357013,64.08,64.09
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,17,1,0.00069,0.00069,99155,68,99121,6257832,63.11,63.12
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,18,1,0.00079,0.00079,99087,78,99048,6158711,62.15,62.16
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,19,1,0.00084,0.00084,99009,83,98968,6059663,61.2,61.21
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,20,1,0.00087,0.00087,98926,86,98883,5960696,60.25,60.26
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,21,1,0.00081,0.00081,98840,80,98800,5861813,59.31,59.31
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,22,1,0.00083,0.00083,98760,82,98719,5763013,58.35,58.36
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,23,1,0.00078,0.00078,98678,77,98640,5664294,57.4,57.41
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,24,1,0.00079,0.00079,98601,78,98562,5565654,56.45,56.45
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,25,1,0.00082,0.00082,98523,81,98482,5467092,55.49,55.5
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,26,1,0.00085,0.00085,98442,84,98400,5368610,54.54,54.54
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,27,1,0.00081,0.00081,98358,80,98318,5270210,53.58,53.59
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,28,1,0.00078,0.00078,98278,77,98240,5171892,52.63,52.63
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,29,1,7e-04,7e-04,98201,69,98166,5073652,51.67,51.67
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,30,1,0.00074,0.00074,98132,73,98096,4975486,50.7,50.71
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,31,1,0.00079,0.00079,98059,77,98020,4877390,49.74,49.75
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,32,1,0.00086,0.00086,97982,84,97940,4779370,48.78,48.79
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,33,1,0.00093,0.00093,97898,91,97852,4681430,47.82,47.83
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,34,1,0.00089,0.00089,97807,87,97764,4583577,46.86,46.87
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,35,1,0.00099,0.00099,97720,97,97672,4485814,45.9,45.91
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,36,1,0.00111,0.00111,97623,108,97569,4388142,44.95,44.96
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,37,1,0.00108,0.00108,97515,105,97462,4290573,44,44.01
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,38,1,0.00117,0.00117,97410,114,97353,4193111,43.05,43.05
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,39,1,0.00124,0.00124,97296,121,97236,4095758,42.1,42.1
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,40,1,0.00139,0.00139,97175,135,97108,3998522,41.15,41.16
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,41,1,0.00141,0.00141,97040,137,96972,3901415,40.2,40.21
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,42,1,0.00154,0.00154,96903,149,96828,3804443,39.26,39.27
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,43,1,0.00159,0.00159,96754,154,96677,3707615,38.32,38.33
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,44,1,0.00169,0.00169,96600,163,96518,3610938,37.38,37.39
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,45,1,0.00192,0.00192,96437,185,96344,3514419,36.44,36.45
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,46,1,0.00207,0.00207,96252,199,96152,3418075,35.51,35.52
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,47,1,0.00228,0.00228,96053,219,95944,3321922,34.58,34.59
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,48,1,0.00262,0.00262,95834,251,95708,3225979,33.66,33.67
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,49,1,0.00271,0.00271,95583,259,95454,3130270,32.75,32.76
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,50,1,0.00291,0.00291,95324,277,95186,3034817,31.84,31.84
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,51,1,0.00318,0.00318,95047,302,94896,2939631,30.93,30.94
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,52,1,0.00332,0.00331,94745,314,94588,2844735,30.03,30.03
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,53,1,0.00393,0.00392,94431,370,94246,2750147,29.12,29.13
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,54,1,0.00443,0.00442,94061,416,93853,2655901,28.24,28.24
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,55,1,0.0045,0.00449,93645,420,93435,2562048,27.36,27.37
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,56,1,0.00489,0.00488,93225,455,92998,2468613,26.48,26.49
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,57,1,0.00519,0.00517,92770,480,92530,2375616,25.61,25.62
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,58,1,0.00572,0.0057,92290,526,92027,2283086,24.74,24.75
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,59,1,0.00631,0.00629,91764,577,91476,2191059,23.88,23.88
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,60,1,0.00692,0.0069,91187,629,90872,2099583,23.03,23.03
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,61,1,0.00764,0.00761,90558,689,90214,2008711,22.18,22.19
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,62,1,0.00806,0.00802,89869,721,89508,1918497,21.35,21.36
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,63,1,0.00904,0.009,89148,802,88747,1828989,20.52,20.52
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,64,1,0.00947,0.00943,88346,833,87930,1740242,19.7,19.71
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,65,1,0.01076,0.01071,87513,937,87044,1652312,18.88,18.89
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,66,1,0.01144,0.01138,86576,985,86084,1565268,18.08,18.09
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,67,1,0.014,0.0139,85591,1190,84996,1479184,17.28,17.29
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,68,1,0.01508,0.01496,84401,1263,83770,1394188,16.52,16.53
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,69,1,0.0163,0.01617,83138,1344,82466,1310419,15.76,15.77
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,70,1,0.01928,0.0191,81794,1562,81013,1227953,15.01,15.02
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,71,1,0.0198,0.01961,80232,1573,79446,1146940,14.3,14.3
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,72,1,0.02233,0.02208,78659,1737,77790,1067494,13.57,13.58
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,73,1,0.02516,0.02484,76922,1911,75966,989704,12.87,12.88
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,74,1,0.028,0.02761,75011,2071,73976,913737,12.18,12.19
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,75,1,0.03036,0.0299,72940,2181,71850,839762,11.51,11.52
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,76,1,0.03456,0.03397,70759,2404,69557,767912,10.85,10.86
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,77,1,0.03817,0.03745,68355,2560,67075,698355,10.22,10.23
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,78,1,0.04269,0.0418,65795,2750,64420,631280,9.59,9.61
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,79,1,0.04805,0.04692,63045,2958,61566,566860,8.99,9
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,80,1,0.05598,0.05445,60087,3272,58451,505294,8.41,8.42
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,81,1,0.06031,0.05854,56815,3326,55152,446843,7.86,7.88
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,82,1,0.06833,0.06607,53489,3534,51722,391691,7.32,7.34
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,83,1,0.08046,0.07735,49955,3864,48023,339969,6.81,6.82
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,84,1,0.08909,0.08529,46091,3931,44126,291946,6.33,6.35
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,85,1,0.09971,0.09497,42160,4004,40158,247821,5.88,5.9
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,86,1,0.11628,0.10989,38156,4193,36060,207663,5.44,5.46
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,87,1,0.13537,0.12679,33963,4306,31810,171603,5.05,5.07
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,88,1,0.15284,0.14199,29657,4211,27552,139793,4.71,4.74
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,89,1,0.15882,0.14714,25446,3744,23574,112242,4.41,4.44
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,90,1,0.18418,0.16865,21702,3660,19872,88668,4.09,4.12
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,91,1,0.20502,0.18595,18042,3355,16364,68796,3.81,3.85
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,92,1,0.21198,0.19167,14687,2815,13280,52431,3.57,3.62
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,93,1,0.22781,0.20451,11872,2428,10658,39152,3.3,3.36
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,94,1,0.2691,0.23719,9444,2240,8324,28494,3.02,3.09
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,95,1,0.29427,0.25652,7204,1848,6280,20170,2.8,2.9
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,96,1,0.33479,0.28678,5356,1536,4588,13890,2.59,2.73
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,97,1,0.34248,0.29241,3820,1117,3262,9302,2.44,2.63
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,98,1,0.33773,0.28894,2703,781,2312,6040,2.23,2.51
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,99,1,0.401,0.33403,1922,642,1601,3728,1.94,2.32
NZL,0,0,0,0,1,1846.01,2012,2014,1,1,100,99,0.6018,1,1280,1280,2127,2127,1.66,2.24
NZL,0,0,0,0,1,1846.01,2012,2014,1,2,0,1,0.00413,0.00411,100000,411,99615,8317673,83.18,83.19
NZL,0,0,0,0,1,1846.01,2012,2014,1,2,1,1,0.00038,0.00038,99589,38,99570,8218058,82.52,82.53
NZL,0,0,0,0,1,1846.01,2012,2014,1,2,2,1,0.00019,0.00019,99551,19,99542,8118488,81.55,81.56
NZL,0,0,0,0,1,1846.01,2012,2014,1,2,3,1,0.00014,0.00014,99532,14,99525,8018947,80.57,80.58
NZL,0,0,0,0,1,1846.01,2012,2014,1,2,4,1,0.00013,0.00013,99518,13,99512,7919422,79.58,79.59
NZL,0,0,0,0,1,1846.01,2012,2014,1,2,5,1,0.00012,0.00012,99505,12,99499,7819910,78.59,78.6
