Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,0,1,0.02194,0.02152,100000,2152,98095,6911324,69.11,69.16
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,1,4,0.00089,0.00354,97848,346,390558,6813229,69.63,69.68
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,5,5,0.00058,0.00288,97502,281,486808,6422672,65.87,65.92
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,10,5,0.00051,0.00256,97221,249,485482,5935864,61.06,61.1
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,15,5,0.00082,0.00407,96972,395,483872,5450382,56.21,56.25
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,20,5,0.00148,0.00735,96577,710,481110,4966509,51.43,51.47
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,25,5,0.00122,0.00608,95867,583,477878,4485399,46.79,46.83
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,30,5,0.00129,0.00643,95284,613,474888,4007522,42.06,42.11
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,35,5,0.00192,0.00954,94671,903,471098,3532634,37.31,37.36
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,40,5,0.00306,0.01518,93768,1423,465282,3061537,32.65,32.7
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,45,5,0.005,0.0247,92345,2281,456022,2596254,28.11,28.16
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,50,5,0.00828,0.04054,90064,3651,441192,2140232,23.76,23.8
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,55,5,0.01379,0.06667,86413,5761,417662,1699039,19.66,19.69
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,60,5,0.0231,0.1092,80652,8807,381242,1281377,15.89,15.91
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,65,5,0.03874,0.17659,71845,12687,327508,900134,12.53,12.53
OMN,0,0,0,0,1,3700.7,1998,1998,4,1,70,99,0.10331,1,59158,59158,572627,572627,9.68,9.66
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,0,1,0.0206,0.02023,100000,2023,98201,7224872,72.25,71.97
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,1,4,0.00072,0.00288,97977,282,391200,7126671,72.74,72.45
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,5,5,0.00038,0.00188,97695,184,488015,6735470,68.94,68.66
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,10,5,0.00031,0.00157,97511,153,487172,6247455,64.07,63.78
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,15,5,0.00037,0.00185,97358,180,486340,5760283,59.17,58.88
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,20,5,0.00047,0.00233,97178,226,485325,5273943,54.27,53.99
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,25,5,0.00058,0.00288,96952,279,484062,4788618,49.39,49.1
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,30,5,0.00079,0.00393,96673,380,482415,4304555,44.53,44.24
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,35,5,0.0012,0.00599,96293,577,480022,3822140,39.69,39.4
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,40,5,0.00198,0.00985,95716,943,476222,3342118,34.92,34.62
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,45,5,0.00339,0.01681,94773,1593,469882,2865895,30.24,29.94
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,50,5,0.00591,0.0291,93180,2712,459120,2396013,25.71,25.41
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,55,5,0.01037,0.05054,90468,4572,440910,1936893,21.41,21.09
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,60,5,0.01823,0.08716,85896,7487,410762,1495983,17.42,17.07
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,65,5,0.03194,0.14789,78409,11596,363055,1085220,13.84,13.44
OMN,0,0,0,0,1,3700.7,1998,1998,4,2,70,99,0.09252,1,66813,66813,722165,722165,10.81,10.31
