Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,0,1,0.13328,0.12265,100000,12265,92028,5648854,56.49,52.93
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,1,4,0.01539,0.05917,87735,5191,337194,5556826,63.34,59.26
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,5,5,0.0031,0.01539,82544,1270,409545,5219632,63.23,58.5
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,10,5,0.00155,0.00771,81274,627,404802,4810087,59.18,54.38
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,15,5,0.00169,0.00841,80647,678,401540,4405284,54.62,49.78
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,20,5,0.00185,0.00919,79969,735,398008,4003744,50.07,45.18
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,25,5,0.00201,0.00998,79234,791,394192,3605737,45.51,40.58
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,30,5,0.0024,0.01191,78443,934,389880,3211544,40.94,35.96
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,35,5,0.00289,0.01435,77509,1112,384765,2821664,36.4,31.37
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,40,5,0.00367,0.01818,76397,1389,378512,2436899,31.9,26.79
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,45,5,0.00498,0.02461,75008,1846,370425,2058387,27.44,22.23
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,50,5,0.00736,0.03615,73162,2645,359198,1687962,23.07,17.73
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,55,5,0.01214,0.05892,70517,4155,342198,1328764,18.84,13.3
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,60,5,0.02301,0.1088,66362,7220,313760,986567,14.87,8.98
PAK,0,0,0,0,1,1893.01,1968,1971,4,1,65,99,0.0879,1,59142,59142,672807,672807,11.38,4.77
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,0,1,0.11379,0.10595,100000,10595,93113,5600658,56.01,51.83
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,1,4,0.01799,0.06869,89405,6141,341414,5507544,61.6,56.91
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,5,5,0.0032,0.01588,83264,1322,413015,5166131,62.05,56.96
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,10,5,0.00306,0.01521,81942,1246,406595,4753116,58.01,52.84
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,15,5,0.00317,0.01571,80696,1268,400310,4346521,53.86,48.62
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,20,5,0.00331,0.0164,79428,1303,393882,3946211,49.68,44.35
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,25,5,0.0035,0.01737,78125,1357,387232,3552328,45.47,40.05
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,30,5,0.00378,0.01874,76768,1439,380242,3165096,41.23,35.72
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,35,5,0.00419,0.02072,75329,1561,372742,2784853,36.97,31.35
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,40,5,0.00479,0.02367,73768,1746,364475,2412111,32.7,26.96
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,45,5,0.00573,0.02823,72022,2033,355028,2047636,28.43,22.55
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,50,5,0.00725,0.03562,69989,2493,343712,1692608,24.18,18.14
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,55,5,0.00992,0.0484,67496,3267,329312,1348896,19.98,13.71
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,60,5,0.01403,0.06779,64229,4354,310260,1019583,15.87,9.28
PAK,0,0,0,0,1,1893.01,1968,1971,4,2,65,99,0.08441,1,59875,59875,709323,709323,11.85,4.78
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,0,1,0.14337,0.13115,100000,13115,91475,5892297,58.92,54.53
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,1,4,0.00889,0.03476,86885,3020,339543,5800822,66.76,61.71
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,5,5,0.0023,0.01144,83865,959,416928,5461279,65.12,59.87
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,10,5,0.00046,0.0023,82906,191,414052,5044351,60.84,55.53
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,15,5,0.00063,0.00316,82715,261,412922,4630299,55.98,50.65
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,20,5,0.00087,0.00435,82454,359,411372,4217376,51.15,45.81
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,25,5,0.00122,0.00609,82095,500,409225,3806004,46.36,41
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,30,5,0.00173,0.00863,81595,704,406215,3396779,41.63,36.23
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,35,5,0.00248,0.01233,80891,997,401962,2990564,36.97,31.53
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,40,5,0.0036,0.01785,79894,1426,395905,2588601,32.4,26.89
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,45,5,0.0053,0.02614,78468,2051,387212,2192696,27.94,22.33
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,50,5,0.0079,0.03875,76417,2961,374682,1805484,23.63,17.86
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,55,5,0.01196,0.05805,73456,4264,356620,1430801,19.48,13.48
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,60,5,0.01836,0.08777,69192,6073,330778,1074181,15.52,9.16
PAK,0,S010,0,0,1,1893.02,1968,1971,4,1,65,99,0.08491,1,63119,63119,743404,743404,11.78,4.8
PAK,0,S010,0,0,1,1893.02,1968,1971,4,2,0,1,0.10052,0.0942,100000,9420,93713,5837143,58.37,53.64
PAK,0,S010,0,0,1,1893.02,1968,1971,4,2,1,4,0.01567,0.0602,90580,5453,347983,5743430,63.41,58.19
PAK,0,S010,0,0,1,1893.02,1968,1971,4,2,5,5,0.0025,0.01243,85127,1058,422990,5395448,63.38,57.79
