Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,0,1,0.0189,0.01859,100000,1859,98338,7385294,73.85,73.87
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,1,4,0.00121,0.00482,98141,473,391427,7286956,74.25,74.26
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,5,5,0.00042,0.00212,97668,207,487822,6895529,70.6,70.61
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,10,5,0.00052,0.00259,97461,252,486675,6407706,65.75,65.75
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,15,5,0.00151,0.0075,97209,729,484222,5921031,60.91,60.92
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,20,5,0.00272,0.01353,96480,1305,479138,5436809,56.35,56.36
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,25,5,0.00307,0.01522,95175,1449,472252,4957671,52.09,52.1
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,30,5,0.00283,0.01407,93726,1319,465332,4485419,47.86,47.86
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,35,5,0.00273,0.01356,92407,1253,458902,4020086,43.5,43.51
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,40,5,0.00312,0.01546,91154,1409,452248,3561184,39.07,39.08
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,45,5,0.00413,0.02046,89745,1836,444135,3108936,34.64,34.65
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,50,5,0.00594,0.02927,87909,2573,433112,2664801,30.31,30.32
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,55,5,0.0088,0.04304,85336,3673,417498,2231689,26.15,26.16
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,60,5,0.01315,0.06366,81663,5199,395318,1814191,22.22,22.22
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,65,5,0.01971,0.09394,76464,7183,364362,1418874,18.56,18.56
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,70,5,0.02953,0.13748,69281,9525,322592,1054511,15.22,15.23
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,75,5,0.04409,0.19857,59756,11866,269115,731919,12.25,12.26
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,80,5,0.06547,0.28131,47890,13472,205770,462804,9.66,9.68
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,85,5,0.0962,0.38776,34418,13346,138725,257034,7.47,7.49
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,90,5,0.13874,0.51504,21072,10853,78228,118309,5.61,5.65
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,95,5,0.1943,0.65388,10219,6682,34390,40081,3.92,3.99
PAN,0,0,0,0,1,4000.105,2010,2010,4,1,100,99,0.62148,1,3537,3537,5691,5691,1.61,1.8
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,0,1,0.01342,0.01326,100000,1326,98793,7987315,79.87,79.88
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,1,4,0.00124,0.00494,98674,487,393480,7888522,79.95,79.95
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,5,5,0.00028,0.00141,98187,138,490590,7495043,76.33,76.34
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,10,5,0.00031,0.00155,98049,152,489865,7004453,71.44,71.44
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,15,5,5e-04,0.0025,97897,245,488872,6514588,66.55,66.55
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,20,5,0.00072,0.00357,97652,349,487388,6025715,61.71,61.71
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,25,5,0.00092,0.00458,97303,446,485400,5538328,56.92,56.92
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,30,5,0.00113,0.00564,96857,546,482920,5052928,52.17,52.17
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,35,5,0.0014,0.00697,96311,671,479878,4570008,47.45,47.45
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,40,5,0.0018,0.00896,95640,857,476058,4090130,42.77,42.77
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,45,5,0.00244,0.01214,94783,1151,471038,3614073,38.13,38.13
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,50,5,0.00351,0.0174,93632,1629,464088,3143035,33.57,33.57
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,55,5,0.00527,0.02599,92003,2391,454038,2678948,29.12,29.12
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,60,5,0.00815,0.03995,89612,3580,439110,2224910,24.83,24.83
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,65,5,0.01287,0.06236,86032,5365,416748,1785800,20.76,20.76
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,70,5,0.02054,0.0977,80667,7881,383632,1369053,16.97,16.97
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,75,5,0.03292,0.15209,72786,11070,336255,985420,13.54,13.54
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,80,5,0.05267,0.23271,61716,14362,272675,649165,10.52,10.52
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,85,5,0.08352,0.34546,47354,16359,195872,376490,7.95,7.95
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,90,5,0.12969,0.48969,30995,15178,117030,180618,5.83,5.83
PAN,0,0,0,0,1,4000.105,2010,2010,4,2,95,5,0.19376,0.65265,15817,10323,53278,63588,4.02,4.03
