Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
PER,0,0,0,0,1,4000.119,2010,2010,4,1,0,1,0.02327,0.0228,100000,2280,97990,7102586,71.03,71.05
PER,0,0,0,0,1,4000.119,2010,2010,4,1,1,4,0.00324,0.01284,97720,1255,387848,7004596,71.68,71.7
PER,0,0,0,0,1,4000.119,2010,2010,4,1,5,5,0.00087,0.00434,96465,419,481278,6616748,68.59,68.61
PER,0,0,0,0,1,4000.119,2010,2010,4,1,10,5,0.00059,0.00295,96046,283,479522,6135470,63.88,63.89
PER,0,0,0,0,1,4000.119,2010,2010,4,1,15,5,0.00094,0.00467,95763,447,477698,5655948,59.06,59.08
PER,0,0,0,0,1,4000.119,2010,2010,4,1,20,5,0.00148,0.0074,95316,705,474818,5178250,54.33,54.34
PER,0,0,0,0,1,4000.119,2010,2010,4,1,25,5,0.00184,0.00916,94611,867,470888,4703433,49.71,49.73
PER,0,0,0,0,1,4000.119,2010,2010,4,1,30,5,0.00214,0.01067,93744,1000,466220,4232545,45.15,45.16
PER,0,0,0,0,1,4000.119,2010,2010,4,1,35,5,0.00271,0.01345,92744,1247,460602,3766325,40.61,40.62
PER,0,0,0,0,1,4000.119,2010,2010,4,1,40,5,0.00356,0.01763,91497,1613,453452,3305723,36.13,36.14
PER,0,0,0,0,1,4000.119,2010,2010,4,1,45,5,0.00504,0.02489,89884,2237,443828,2852270,31.73,31.75
PER,0,0,0,0,1,4000.119,2010,2010,4,1,50,5,0.00724,0.03557,87647,3118,430440,2408443,27.48,27.49
PER,0,0,0,0,1,4000.119,2010,2010,4,1,55,5,0.01089,0.05301,84529,4481,411442,1978003,23.4,23.42
PER,0,0,0,0,1,4000.119,2010,2010,4,1,60,5,0.01633,0.07843,80048,6278,384545,1566560,19.57,19.59
PER,0,0,0,0,1,4000.119,2010,2010,4,1,65,5,0.02522,0.11863,73770,8751,346972,1182015,16.02,16.04
PER,0,0,0,0,1,4000.119,2010,2010,4,1,70,5,0.0386,0.17601,65019,11444,296485,835043,12.84,12.86
PER,0,0,0,0,1,4000.119,2010,2010,4,1,75,5,0.05852,0.25527,53575,13676,233685,538558,10.05,10.08
PER,0,0,0,0,1,4000.119,2010,2010,4,1,80,5,0.09653,0.38883,39899,15514,160710,304873,7.64,7.67
PER,0,0,0,0,1,4000.119,2010,2010,4,1,85,5,0.14105,0.52139,24385,12714,90140,144163,5.91,5.97
PER,0,0,0,0,1,4000.119,2010,2010,4,1,90,5,0.19109,0.64656,11671,7546,39490,54023,4.63,4.74
PER,0,0,0,0,1,4000.119,2010,2010,4,1,95,5,0.24053,0.75103,4125,3098,12880,14533,3.52,3.84
PER,0,0,0,0,1,4000.119,2010,2010,4,1,100,99,0.62148,1,1027,1027,1653,1653,1.61,2.9
PER,0,0,0,0,1,4000.119,2010,2010,4,2,0,1,0.01691,0.01666,100000,1666,98501,7634880,76.35,76.39
PER,0,0,0,0,1,4000.119,2010,2010,4,2,1,4,0.00243,0.00966,98334,950,390958,7536380,76.64,76.67
PER,0,0,0,0,1,4000.119,2010,2010,4,2,5,5,0.00063,0.00314,97384,306,486155,7145422,73.37,73.4
PER,0,0,0,0,1,4000.119,2010,2010,4,2,10,5,4e-04,0.00202,97078,196,484900,6659267,68.6,68.62
PER,0,0,0,0,1,4000.119,2010,2010,4,2,15,5,0.00059,0.00292,96882,283,483702,6174367,63.73,63.76
PER,0,0,0,0,1,4000.119,2010,2010,4,2,20,5,0.00079,0.00394,96599,381,482042,5690664,58.91,58.94
PER,0,0,0,0,1,4000.119,2010,2010,4,2,25,5,0.00097,0.00484,96218,466,479925,5208622,54.13,54.16
PER,0,0,0,0,1,4000.119,2010,2010,4,2,30,5,0.00121,0.00604,95752,578,477315,4728697,49.38,49.41
PER,0,0,0,0,1,4000.119,2010,2010,4,2,35,5,0.00161,0.00802,95174,763,473962,4251382,44.67,44.7
PER,0,0,0,0,1,4000.119,2010,2010,4,2,40,5,0.00221,0.01097,94411,1036,469465,3777419,40.01,40.04
PER,0,0,0,0,1,4000.119,2010,2010,4,2,45,5,0.00313,0.01553,93375,1450,463250,3307954,35.43,35.45
PER,0,0,0,0,1,4000.119,2010,2010,4,2,50,5,0.00445,0.02203,91925,2025,454562,2844704,30.95,30.97
PER,0,0,0,0,1,4000.119,2010,2010,4,2,55,5,0.00666,0.03277,89900,2946,442135,2390142,26.59,26.61
PER,0,0,0,0,1,4000.119,2010,2010,4,2,60,5,0.01023,0.04987,86954,4336,423930,1948007,22.4,22.43
PER,0,0,0,0,1,4000.119,2010,2010,4,2,65,5,0.01648,0.07916,82618,6540,396740,1524077,18.45,18.48
PER,0,0,0,0,1,4000.119,2010,2010,4,2,70,5,0.02653,0.12439,76078,9463,356732,1127337,14.82,14.85
PER,0,0,0,0,1,4000.119,2010,2010,4,2,75,5,0.04126,0.18701,66615,12458,301930,770604,11.57,11.61
PER,0,0,0,0,1,4000.119,2010,2010,4,2,80,5,0.07614,0.31981,54157,17320,227485,468674,8.65,8.7
PER,0,0,0,0,1,4000.119,2010,2010,4,2,85,5,0.11931,0.45948,36837,16926,141870,241189,6.55,6.62
PER,0,0,0,0,1,4000.119,2010,2010,4,2,90,5,0.1714,0.59992,19911,11945,69692,99319,4.99,5.11
PER,0,0,0,0,1,4000.119,2010,2010,4,2,95,5,0.2257,0.72144,7966,5747,25462,29627,3.72,4.03
PER,0,0,0,0,1,4000.119,2010,2010,4,2,100,99,0.53288,1,2219,2219,4164,4164,1.88,3
