Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,0,1,0.04103,0.03968,100000,3968,96703,6623465,66.23,66.27
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,1,4,0.00234,0.00932,96032,895,381920,6526762,67.96,68.01
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,5,5,0.00094,0.00467,95137,444,474575,6144842,64.59,64.63
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,10,5,0.00075,0.00374,94693,354,472580,5670267,59.88,59.92
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,15,5,0.00134,0.00668,94339,630,470120,5197687,55.1,55.14
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,20,5,0.00188,0.00934,93709,875,466358,4727567,50.45,50.49
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,25,5,0.00192,0.00957,92834,888,461950,4261209,45.9,45.94
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,30,5,0.00218,0.01082,91946,995,457242,3799259,41.32,41.36
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,35,5,0.00277,0.01378,90951,1253,451622,3342017,36.75,36.79
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,40,5,0.00398,0.01972,89698,1769,444068,2890394,32.22,32.27
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,45,5,0.00616,0.03033,87929,2667,432978,2446327,27.82,27.87
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,50,5,0.00961,0.04694,85262,4002,416305,2013349,23.61,23.66
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,55,5,0.01519,0.07318,81260,5947,391432,1597044,19.65,19.7
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,60,5,0.0237,0.11187,75313,8425,355502,1205612,16.01,16.06
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,65,5,0.037,0.16934,66888,11327,306122,850109,12.71,12.77
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,70,5,0.05859,0.25552,55561,14197,242312,543987,9.79,9.86
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,75,5,0.09269,0.37625,41364,15563,167912,301674,7.29,7.39
PLW,0,0,0,0,1,1506.01,2005,2005,4,1,80,99,0.19289,1,25801,25801,133762,133762,5.18,5.34
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,0,1,0.02449,0.02397,100000,2397,97895,7194507,71.95,72.1
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,1,4,0.00136,0.00541,97603,528,389084,7096611,72.71,72.87
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,5,5,0.00049,0.00245,97075,238,484780,6707527,69.1,69.26
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,10,5,4e-04,0.00201,96837,195,483698,6222747,64.26,64.42
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,15,5,0.00064,0.00321,96642,310,482435,5739050,59.38,59.55
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,20,5,0.00093,0.00462,96332,445,480548,5256615,54.57,54.73
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,25,5,0.00114,0.00567,95887,544,478075,4776067,49.81,49.97
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,30,5,0.00139,0.00691,95343,659,475068,4297992,45.08,45.24
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,35,5,0.00182,0.00908,94684,860,471270,3822925,40.38,40.54
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,40,5,0.00257,0.01276,93824,1197,466128,3351655,35.72,35.89
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,45,5,0.0039,0.01934,92627,1791,458658,2885527,31.15,31.32
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,50,5,0.00591,0.0291,90836,2643,447572,2426870,26.72,26.89
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,55,5,0.00903,0.04416,88193,3895,431228,1979297,22.44,22.62
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,60,5,0.01449,0.06993,84298,5895,406752,1548070,18.36,18.55
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,65,5,0.02461,0.1159,78403,9087,369298,1141317,14.56,14.76
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,70,5,0.04258,0.19242,69316,13338,313235,772020,11.14,11.36
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,75,5,0.07306,0.30889,55978,17291,236662,458785,8.2,8.48
PLW,0,0,0,0,1,1506.01,2005,2005,4,2,80,99,0.17417,1,38687,38687,222122,222122,5.74,6.15
