Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
PRI,0,0,0,0,1,358.1,2008,2010,4,1,0,1,0.00911,0.00903,100000,903,99167,7395943,73.96,74.85
PRI,0,0,0,0,1,358.1,2008,2010,4,1,1,4,2e-04,0.00082,99097,81,396196,7296777,73.63,74.53
PRI,0,0,0,0,1,358.1,2008,2010,4,1,5,5,0.00012,0.00059,99016,58,494935,6900581,69.69,70.59
PRI,0,0,0,0,1,358.1,2008,2010,4,1,10,5,0.00017,0.00085,98958,84,494580,6405646,64.73,65.63
PRI,0,0,0,0,1,358.1,2008,2010,4,1,15,5,0.00107,0.00535,98874,529,493048,5911066,59.78,60.69
PRI,0,0,0,0,1,358.1,2008,2010,4,1,20,5,0.00248,0.01232,98345,1212,488695,5418019,55.09,56
PRI,0,0,0,0,1,358.1,2008,2010,4,1,25,5,0.00288,0.01429,97133,1388,482195,4929324,50.75,51.67
PRI,0,0,0,0,1,358.1,2008,2010,4,1,30,5,0.00265,0.01315,95745,1259,475578,4447129,46.45,47.38
PRI,0,0,0,0,1,358.1,2008,2010,4,1,35,5,0.00256,0.0127,94486,1200,469430,3971551,42.03,42.98
PRI,0,0,0,0,1,358.1,2008,2010,4,1,40,5,0.00344,0.01708,93286,1593,462448,3502121,37.54,38.5
PRI,0,0,0,0,1,358.1,2008,2010,4,1,45,5,0.00483,0.02387,91693,2189,452992,3039674,33.15,34.12
PRI,0,0,0,0,1,358.1,2008,2010,4,1,50,5,0.00703,0.03455,89504,3092,439790,2586681,28.9,29.9
PRI,0,0,0,0,1,358.1,2008,2010,4,1,55,5,0.00969,0.0473,86412,4087,421842,2146891,24.84,25.88
PRI,0,0,0,0,1,358.1,2008,2010,4,1,60,5,0.01335,0.06457,82325,5316,398335,1725049,20.95,22.04
PRI,0,0,0,0,1,358.1,2008,2010,4,1,65,5,0.01943,0.09265,77009,7135,367208,1326714,17.23,18.39
PRI,0,0,0,0,1,358.1,2008,2010,4,1,70,5,0.02766,0.12938,69874,9040,326770,959506,13.73,15.01
PRI,0,0,0,0,1,358.1,2008,2010,4,1,75,5,0.04324,0.19512,60834,11870,274495,632736,10.4,11.87
PRI,0,0,0,0,1,358.1,2008,2010,4,1,80,5,0.07004,0.29804,48964,14593,208338,358241,7.32,9.14
PRI,0,0,0,0,1,358.1,2008,2010,4,1,85,99,0.22929,1,34371,34371,149904,149904,4.36,6.96
PRI,0,0,0,0,1,358.1,2008,2010,4,2,0,1,0.00703,0.00698,100000,698,99352,8086543,80.87,82.56
PRI,0,0,0,0,1,358.1,2008,2010,4,2,1,4,0.00016,0.00065,99302,65,397046,7987192,80.43,82.14
PRI,0,0,0,0,1,358.1,2008,2010,4,2,5,5,1e-04,0.00048,99237,48,496065,7590145,76.49,78.2
PRI,0,0,0,0,1,358.1,2008,2010,4,2,10,5,1e-04,0.00049,99189,49,495822,7094080,71.52,73.23
PRI,0,0,0,0,1,358.1,2008,2010,4,2,15,5,0.00023,0.00117,99140,116,495410,6598258,66.55,68.27
PRI,0,0,0,0,1,358.1,2008,2010,4,2,20,5,0.00041,0.00204,99024,202,494615,6102848,61.63,63.34
PRI,0,0,0,0,1,358.1,2008,2010,4,2,25,5,0.00049,0.00247,98822,244,493500,5608233,56.75,58.47
PRI,0,0,0,0,1,358.1,2008,2010,4,2,30,5,0.00068,0.0034,98578,335,492052,5114733,51.89,53.61
PRI,0,0,0,0,1,358.1,2008,2010,4,2,35,5,0.00109,0.00543,98243,533,489882,4622680,47.05,48.78
PRI,0,0,0,0,1,358.1,2008,2010,4,2,40,5,0.00155,0.00774,97710,756,486660,4132798,42.3,44.03
PRI,0,0,0,0,1,358.1,2008,2010,4,2,45,5,0.00218,0.01084,96954,1051,482142,3646138,37.61,39.36
PRI,0,0,0,0,1,358.1,2008,2010,4,2,50,5,0.00317,0.0157,95903,1506,475750,3163995,32.99,34.76
PRI,0,0,0,0,1,358.1,2008,2010,4,2,55,5,0.00455,0.02248,94397,2122,466680,2688245,28.48,30.28
PRI,0,0,0,0,1,358.1,2008,2010,4,2,60,5,0.00681,0.03349,92275,3090,453650,2221565,24.08,25.92
PRI,0,0,0,0,1,358.1,2008,2010,4,2,65,5,0.01078,0.05248,89185,4680,434225,1767915,19.82,21.73
PRI,0,0,0,0,1,358.1,2008,2010,4,2,70,5,0.01689,0.08104,84505,6848,405405,1333690,15.78,17.79
PRI,0,0,0,0,1,358.1,2008,2010,4,2,75,5,0.02865,0.13368,77657,10381,362332,928285,11.95,14.14
PRI,0,0,0,0,1,358.1,2008,2010,4,2,80,5,0.05087,0.22564,67276,15180,298430,565953,8.41,10.94
PRI,0,0,0,0,1,358.1,2008,2010,4,2,85,99,0.19473,1,52096,52096,267523,267523,5.14,8.39
