Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,0,1,0.00332,0.00331,100000,331,99689,7777503,77.78,77.78
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,1,1,0.00029,0.00029,99669,29,99654,7677814,77.03,77.03
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,2,1,0.00014,0.00014,99640,14,99633,7578159,76.06,76.06
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,3,1,7e-05,7e-05,99626,7,99622,7478526,75.07,75.07
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,4,1,0.00015,0.00015,99619,15,99612,7378904,74.07,74.07
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,5,1,0.00013,0.00013,99604,13,99598,7279292,73.08,73.08
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,6,1,6e-05,6e-05,99591,6,99588,7179695,72.09,72.09
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,7,1,9e-05,9e-05,99585,9,99580,7080107,71.1,71.1
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,8,1,5e-05,5e-05,99576,5,99574,6980526,70.1,70.1
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,9,1,0.00011,0.00011,99571,11,99566,6880953,69.11,69.11
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,10,1,1e-04,1e-04,99560,10,99555,6781387,68.11,68.11
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,11,1,0.00013,0.00013,99550,13,99544,6681832,67.12,67.12
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,12,1,0.00011,0.00011,99537,11,99532,6582289,66.13,66.13
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,13,1,7e-05,7e-05,99526,7,99522,6482757,65.14,65.14
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,14,1,0.00014,0.00014,99519,14,99512,6383235,64.14,64.14
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,15,1,0.00012,0.00012,99505,12,99499,6283723,63.15,63.15
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,16,1,0.00029,0.00029,99493,29,99478,6184224,62.16,62.16
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,17,1,0.00018,0.00018,99464,18,99455,6084745,61.18,61.18
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,18,1,0.00035,0.00035,99446,35,99428,5985290,60.19,60.19
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,19,1,0.00052,0.00052,99411,52,99385,5885862,59.21,59.21
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,20,1,0.00049,0.00049,99359,49,99334,5786477,58.24,58.24
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,21,1,0.00034,0.00034,99310,34,99293,5687142,57.27,57.27
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,22,1,0.00044,0.00044,99276,44,99254,5587849,56.29,56.29
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,23,1,6e-04,6e-04,99232,60,99202,5488595,55.31,55.31
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,24,1,0.00042,0.00042,99172,42,99151,5389393,54.34,54.34
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,25,1,0.00051,0.00051,99130,51,99104,5290242,53.37,53.37
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,26,1,0.00054,0.00053,99079,53,99052,5191138,52.39,52.39
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,27,1,0.00064,0.00064,99026,63,98994,5092085,51.42,51.42
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,28,1,6e-04,6e-04,98963,59,98934,4993091,50.45,50.45
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,29,1,0.00074,0.00074,98904,73,98868,4894157,49.48,49.48
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,30,1,0.00061,0.00061,98831,60,98801,4795290,48.52,48.52
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,31,1,0.00065,0.00065,98771,64,98739,4696489,47.55,47.55
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,32,1,6e-04,6e-04,98707,59,98678,4597750,46.58,46.58
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,33,1,0.00065,0.00065,98648,64,98616,4499072,45.61,45.61
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,34,1,0.00082,0.00082,98584,81,98544,4400456,44.64,44.64
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,35,1,0.00102,0.00102,98503,100,98453,4301913,43.67,43.67
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,36,1,0.00096,0.00096,98403,94,98356,4203460,42.72,42.72
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,37,1,0.00098,0.00098,98309,96,98261,4105104,41.76,41.76
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,38,1,0.00104,0.00104,98213,102,98162,4006843,40.8,40.8
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,39,1,0.00129,0.00128,98111,126,98048,3908681,39.84,39.84
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,40,1,0.00139,0.00139,97985,136,97917,3810633,38.89,38.89
PRT,0,0,0,0,1,3430.02,2016,2018,1,1,41,1,0.00163,0.00162,97849,159,97770,3712716,37.94,37.94
