Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,0,1,0.03594,0.03488,100000,3488,97051,7021512,70.22,70.24
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,1,4,0.00184,0.00734,96512,708,384312,6924460,71.75,71.76
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,5,5,0.00063,0.00314,95804,301,478268,6540149,68.27,68.28
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,10,5,0.00053,0.00267,95503,255,476878,6061881,63.47,63.48
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,15,5,0.00143,0.00713,95248,679,474542,5585004,58.64,58.65
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,20,5,0.00227,0.01129,94569,1068,470175,5110461,54.04,54.05
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,25,5,0.00274,0.01361,93501,1273,464322,4640286,49.63,49.64
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,30,5,0.00256,0.0127,92228,1171,458212,4175964,45.28,45.29
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,35,5,0.00291,0.01443,91057,1314,452000,3717751,40.83,40.84
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,40,5,0.0035,0.01736,89743,1558,444820,3265751,36.39,36.4
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,45,5,0.00524,0.02588,88185,2282,435220,2820931,31.99,32
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,50,5,0.00733,0.03599,85903,3092,421785,2385711,27.77,27.78
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,55,5,0.01,0.04877,82811,4039,403958,1963926,23.72,23.73
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,60,5,0.01667,0.08002,78772,6303,378102,1559969,19.8,19.81
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,65,5,0.0242,0.1141,72469,8269,341672,1181866,16.31,16.32
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,70,5,0.03699,0.1693,64200,10869,293828,840194,13.09,13.1
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,75,5,0.05074,0.22512,53331,12006,236640,546366,10.24,10.26
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,80,5,0.09699,0.39032,41325,16130,166300,309726,7.49,7.52
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,85,5,0.14735,0.5384,25195,13565,92062,143426,5.69,5.73
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,90,5,0.20365,0.67472,11630,7847,38532,51364,4.42,4.49
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,95,5,0.25734,0.78298,3783,2962,11510,12831,3.39,3.63
PRY,0,0,0,0,1,4000.112,2010,2010,4,1,100,99,0.62148,1,821,821,1321,1321,1.61,2.7
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,0,1,0.02629,0.0257,100000,2570,97757,7443492,74.43,74.45
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,1,4,0.00136,0.00541,97430,527,388393,7345735,75.4,75.41
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,5,5,0.00058,0.00292,96903,283,483808,6957342,71.8,71.81
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,10,5,0.00045,0.00225,96620,217,482558,6473534,67,67.01
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,15,5,0.00089,0.00442,96403,426,480950,5990977,62.15,62.16
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,20,5,0.00126,0.00628,95977,603,478378,5510027,57.41,57.42
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,25,5,0.00155,0.00772,95374,736,475030,5031649,52.76,52.77
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,30,5,0.00179,0.00889,94638,841,471088,4556619,48.15,48.16
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,35,5,0.00219,0.0109,93797,1022,466430,4085532,43.56,43.57
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,40,5,0.00268,0.01329,92775,1233,460792,3619102,39.01,39.02
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,45,5,0.00378,0.01871,91542,1713,453428,3158309,34.5,34.52
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,50,5,0.00581,0.02862,89829,2571,442718,2704882,30.11,30.13
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,55,5,0.00839,0.04107,87258,3584,427330,2262164,25.93,25.94
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,60,5,0.01214,0.05892,83674,4930,406045,1834834,21.93,21.94
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,65,5,0.01839,0.08791,78744,6922,376415,1428789,18.14,18.16
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,70,5,0.0256,0.1203,71822,8640,337510,1052374,14.65,14.67
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,75,5,0.0396,0.18016,63182,11383,287452,714864,11.31,11.34
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,80,5,0.08029,0.33433,51799,17318,215700,427412,8.25,8.28
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,85,5,0.1301,0.49085,34481,16925,130092,211712,6.14,6.18
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,90,5,0.18928,0.6424,17556,11278,59585,81619,4.65,4.72
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,95,5,0.24797,0.76537,6278,4805,19378,22034,3.51,3.72
PRY,0,0,0,0,1,4000.112,2010,2010,4,2,100,99,0.55439,1,1473,1473,2657,2657,1.8,2.7
