Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,0,1,0.03431,0.03334,100000,3334,97166,6788160,67.88,68.06
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,1,4,0.00175,0.00695,96666,672,385019,6690994,69.22,69.4
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,5,5,0.00075,0.00376,95994,361,479068,6305975,65.69,65.88
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,10,5,0.00062,0.00307,95633,294,477430,5826907,60.93,61.11
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,15,5,0.00113,0.00564,95339,538,475350,5349477,56.11,56.3
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,20,5,0.00158,0.00788,94801,747,472138,4874127,51.41,51.6
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,25,5,0.0016,0.00796,94054,749,468398,4401990,46.8,46.99
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,30,5,0.00181,0.009,93305,840,464425,3933592,42.16,42.35
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,35,5,0.00233,0.01156,92465,1069,459652,3469167,37.52,37.71
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,40,5,0.00342,0.01694,91396,1548,453110,3009515,32.93,33.12
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,45,5,0.00545,0.0269,89848,2417,443198,2556405,28.45,28.64
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,50,5,0.00871,0.04261,87431,3725,427842,2113207,24.17,24.36
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,55,5,0.01408,0.06801,83706,5693,404298,1685365,20.13,20.32
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,60,5,0.02221,0.10521,78013,8208,369545,1281067,16.42,16.61
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,65,5,0.03511,0.16138,69805,11265,320862,911522,13.06,13.26
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,70,5,0.05611,0.24605,58540,14404,256690,590660,10.09,10.3
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,75,5,0.08943,0.36546,44136,16130,180355,333970,7.57,7.82
PSE,10,0,0,0,2,3700.12,1998,1998,4,1,80,99,0.18231,1,28006,28006,153615,153615,5.49,5.88
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,0,1,0.02848,0.02779,100000,2779,97592,7084112,70.84,71.09
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,1,4,0.00163,0.00648,97221,630,387296,6986520,71.86,72.12
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,5,5,0.00058,0.00292,96591,282,482250,6599224,68.32,68.58
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,10,5,0.00047,0.00236,96309,227,480978,6116974,63.51,63.77
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,15,5,0.00076,0.0038,96082,365,479498,5635997,58.66,58.92
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,20,5,0.00106,0.00529,95717,506,477320,5156499,53.87,54.13
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,25,5,0.0013,0.00649,95211,618,474510,4679179,49.15,49.41
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,30,5,0.0016,0.00799,94593,756,471075,4204669,44.45,44.71
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,35,5,0.0021,0.01044,93837,980,466735,3733594,39.79,40.05
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,40,5,0.00292,0.01447,92857,1344,460925,3266859,35.18,35.45
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,45,5,0.00434,0.02145,91513,1963,452658,2805934,30.66,30.93
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,50,5,0.00649,0.03194,89550,2860,440600,2353277,26.28,26.55
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,55,5,0.00982,0.04794,86690,4156,423060,1912677,22.06,22.34
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,60,5,0.01566,0.07534,82534,6218,397125,1489617,18.05,18.33
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,65,5,0.0262,0.12294,76316,9382,358125,1092492,14.32,14.6
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,70,5,0.04482,0.20151,66934,13488,300950,734367,10.97,11.27
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,75,5,0.07601,0.31937,53446,17069,224558,433417,8.11,8.46
PSE,10,0,0,0,2,3700.12,1998,1998,4,2,80,99,0.17417,1,36377,36377,208859,208859,5.74,6.22
