Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,0,1,0.0156,0.01538,100000,1538,98610,6832906,68.33,68.23
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,1,4,0.00083,0.00333,98462,328,393063,6734296,68.39,68.3
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,5,5,0.00049,0.00244,98134,239,490072,6341233,64.62,64.52
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,10,5,0.00051,0.00256,97895,251,488848,5851160,59.77,59.67
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,15,5,0.00093,0.00464,97644,453,487088,5362313,54.92,54.82
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,20,5,0.00129,0.00645,97191,627,484388,4875225,50.16,50.06
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,25,5,0.00146,0.00727,96564,702,481065,4390838,45.47,45.37
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,30,5,0.00166,0.00824,95862,790,477335,3909773,40.79,40.68
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,35,5,0.00225,0.01118,95072,1063,472702,3432438,36.1,36
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,40,5,0.00349,0.01732,94009,1628,465975,2959735,31.48,31.37
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,45,5,0.00562,0.02773,92381,2562,455500,2493760,26.99,26.88
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,50,5,0.00929,0.04541,89819,4079,438898,2038260,22.69,22.57
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,55,5,0.01574,0.07572,85740,6492,412470,1599363,18.65,18.52
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,60,5,0.02643,0.12394,79248,9822,371685,1186893,14.98,14.81
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,65,5,0.04382,0.19746,69426,13709,312858,815208,11.74,11.53
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,70,5,0.07168,0.30395,55717,16935,236248,502350,9.02,8.73
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,75,5,0.1174,0.45379,38782,17599,149912,266103,6.86,6.42
QAT,0,0,0,0,1,3700.8,1998,1998,4,1,80,99,0.18231,1,21183,21183,116190,116190,5.49,4.71
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,0,1,0.01187,0.01174,100000,1174,98926,7085362,70.85,70.67
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,1,4,5e-04,0.00198,98826,196,394815,6986436,70.69,70.51
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,5,5,0.00013,0.00066,98630,65,492988,6591621,66.83,66.65
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,10,5,0.00021,0.00104,98565,103,492568,6098634,61.87,61.69
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,15,5,0.00017,0.00086,98462,85,492098,5606066,56.94,56.75
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,20,5,0.00017,0.00086,98377,85,491672,5113969,51.98,51.8
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,25,5,0.00032,0.00161,98292,158,491065,4622296,47.03,46.84
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,30,5,0.00058,0.00289,98134,284,489960,4131231,42.1,41.91
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,35,5,0.00148,0.00739,97850,723,487442,3641271,37.21,37.02
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,40,5,0.00169,0.00843,97127,819,483588,3153829,32.47,32.28
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,45,5,0.0023,0.01144,96308,1102,478785,2670241,27.73,27.53
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,50,5,0.00625,0.03078,95206,2930,468705,2191456,23.02,22.82
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,55,5,0.01287,0.06235,92276,5753,446998,1722751,18.67,18.45
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,60,5,0.03044,0.14143,86523,12237,402022,1275754,14.74,14.49
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,65,5,0.02986,0.13892,74286,10320,345630,873731,11.76,11.45
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,70,5,0.09196,0.37384,63966,23913,260048,528101,8.26,7.87
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,75,5,0.13026,0.4913,40053,19678,151070,268054,6.69,6
QAT,0,0,0,0,1,3700.8,1998,1998,4,2,80,99,0.17417,1,20375,20375,116984,116984,5.74,4.35
