Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
REU,0,0,0,0,1,682.52,1961,1961,4,1,0,1,0.13572,0.12472,100000,12472,91893,5218613,52.19,52.21
REU,0,0,0,0,1,682.52,1961,1961,4,1,1,4,0.01051,0.0409,87528,3580,340632,5126720,58.57,58.61
REU,0,0,0,0,1,682.52,1961,1961,4,1,5,5,0.00148,0.00737,83948,619,418192,4786088,57.01,57.06
REU,0,0,0,0,1,682.52,1961,1961,4,1,10,5,0.00092,0.00458,83329,382,415690,4367896,52.42,52.46
REU,0,0,0,0,1,682.52,1961,1961,4,1,15,5,0.00164,0.00816,82947,677,413042,3952206,47.65,47.69
REU,0,0,0,0,1,682.52,1961,1961,4,1,20,5,0.00311,0.01541,82270,1268,408180,3539163,43.02,43.06
REU,0,0,0,0,1,682.52,1961,1961,4,1,25,5,0.00414,0.02048,81002,1659,400862,3130983,38.65,38.69
REU,0,0,0,0,1,682.52,1961,1961,4,1,30,5,0.00577,0.02843,79343,2256,391075,2730121,34.41,34.45
REU,0,0,0,0,1,682.52,1961,1961,4,1,35,5,0.00651,0.03203,77087,2469,379262,2339046,30.34,30.38
REU,0,0,0,0,1,682.52,1961,1961,4,1,40,5,0.01116,0.05426,74618,4049,362968,1959783,26.26,26.3
REU,0,0,0,0,1,682.52,1961,1961,4,1,45,5,0.01244,0.06034,70569,4258,342200,1596816,22.63,22.66
REU,0,0,0,0,1,682.52,1961,1961,4,1,50,5,0.01943,0.09267,66311,6145,316192,1254616,18.92,18.95
REU,0,0,0,0,1,682.52,1961,1961,4,1,55,5,0.03223,0.14914,60166,8973,278398,938423,15.6,15.61
REU,0,0,0,0,1,682.52,1961,1961,4,1,60,5,0.04646,0.20813,51193,10655,229328,660026,12.89,12.89
REU,0,0,0,0,1,682.52,1961,1961,4,1,65,5,0.05931,0.25825,40538,10469,176518,430698,10.62,10.61
REU,0,0,0,0,1,682.52,1961,1961,4,1,70,5,0.08459,0.34913,30069,10498,124100,254181,8.45,8.44
REU,0,0,0,0,1,682.52,1961,1961,4,1,75,5,0.11604,0.44975,19571,8802,75850,130081,6.65,6.64
REU,0,0,0,0,1,682.52,1961,1961,4,1,80,5,0.1639,0.5813,10769,6260,38195,54231,5.04,5.11
REU,0,0,0,0,1,682.52,1961,1961,4,1,85,99,0.28119,1,4509,4509,16036,16036,3.56,3.94
REU,0,0,0,0,1,682.52,1961,1961,4,2,0,1,0.11634,0.10816,100000,10816,92970,5981824,59.82,60.01
REU,0,0,0,0,1,682.52,1961,1961,4,2,1,4,0.01086,0.04222,89184,3765,346800,5888854,66.03,66.25
REU,0,0,0,0,1,682.52,1961,1961,4,2,5,5,0.00088,0.0044,85419,376,426155,5542054,64.88,65.12
REU,0,0,0,0,1,682.52,1961,1961,4,2,10,5,0.00055,0.00274,85043,233,424632,5115899,60.16,60.4
REU,0,0,0,0,1,682.52,1961,1961,4,2,15,5,0.00135,0.00673,84810,571,422622,4691267,55.32,55.56
REU,0,0,0,0,1,682.52,1961,1961,4,2,20,5,0.00223,0.01106,84239,932,418865,4268644,50.67,50.92
REU,0,0,0,0,1,682.52,1961,1961,4,2,25,5,0.00202,0.01006,83307,838,414440,3849779,46.21,46.46
REU,0,0,0,0,1,682.52,1961,1961,4,2,30,5,0.0035,0.01735,82469,1431,408768,3435339,41.66,41.9
REU,0,0,0,0,1,682.52,1961,1961,4,2,35,5,0.0047,0.02321,81038,1881,400488,3026572,37.35,37.59
REU,0,0,0,0,1,682.52,1961,1961,4,2,40,5,0.00674,0.03314,79157,2623,389228,2626084,33.18,33.43
REU,0,0,0,0,1,682.52,1961,1961,4,2,45,5,0.00637,0.03133,76534,2398,376675,2236857,29.23,29.48
REU,0,0,0,0,1,682.52,1961,1961,4,2,50,5,0.01044,0.05085,74136,3770,361255,1860182,25.09,25.35
REU,0,0,0,0,1,682.52,1961,1961,4,2,55,5,0.01413,0.06823,70366,4801,339828,1498927,21.3,21.57
REU,0,0,0,0,1,682.52,1961,1961,4,2,60,5,0.02224,0.10535,65565,6907,310558,1159099,17.68,17.96
REU,0,0,0,0,1,682.52,1961,1961,4,2,65,5,0.02758,0.12902,58658,7568,274370,848542,14.47,14.77
REU,0,0,0,0,1,682.52,1961,1961,4,2,70,5,0.04494,0.20202,51090,10321,229648,574172,11.24,11.57
REU,0,0,0,0,1,682.52,1961,1961,4,2,75,5,0.07041,0.29937,40769,12205,173332,344524,8.45,8.84
REU,0,0,0,0,1,682.52,1961,1961,4,2,80,5,0.11695,0.45246,28564,12924,110510,171192,5.99,6.54
REU,0,0,0,0,1,682.52,1961,1961,4,2,85,99,0.25774,1,15640,15640,60682,60682,3.88,4.82
