Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ROU,0,0,0,0,1,275.1,1993,1995,1,1,0,1,0.02591,0.02534,100000,2534,97785,6568928,65.69,65.7
ROU,0,0,0,0,1,275.1,1993,1995,1,1,1,1,0.00226,0.00226,97466,220,97356,6471143,66.39,66.39
ROU,0,0,0,0,1,275.1,1993,1995,1,1,2,1,0.00152,0.00152,97246,148,97172,6373787,65.54,65.54
ROU,0,0,0,0,1,275.1,1993,1995,1,1,3,1,0.00122,0.00122,97098,118,97039,6276615,64.64,64.64
ROU,0,0,0,0,1,275.1,1993,1995,1,1,4,1,0.00117,0.00117,96980,113,96924,6179576,63.72,63.72
ROU,0,0,0,0,1,275.1,1993,1995,1,1,5,1,0.00138,0.00138,96867,134,96800,6082652,62.79,62.79
ROU,0,0,0,0,1,275.1,1993,1995,1,1,6,1,0.00099,0.00099,96733,96,96685,5985852,61.88,61.88
ROU,0,0,0,0,1,275.1,1993,1995,1,1,7,1,0.00068,0.00068,96637,66,96604,5889167,60.94,60.94
ROU,0,0,0,0,1,275.1,1993,1995,1,1,8,1,0.00056,0.00056,96571,54,96544,5792563,59.98,59.98
ROU,0,0,0,0,1,275.1,1993,1995,1,1,9,1,0.00054,0.00054,96517,52,96491,5696019,59.02,59.02
ROU,0,0,0,0,1,275.1,1993,1995,1,1,10,1,0.00054,0.00054,96465,52,96439,5599528,58.05,58.05
ROU,0,0,0,0,1,275.1,1993,1995,1,1,11,1,0.00049,0.00049,96413,47,96390,5503089,57.08,57.08
ROU,0,0,0,0,1,275.1,1993,1995,1,1,12,1,0.00058,0.00058,96366,56,96338,5406700,56.11,56.11
ROU,0,0,0,0,1,275.1,1993,1995,1,1,13,1,0.00051,0.00051,96310,49,96286,5310362,55.14,55.14
ROU,0,0,0,0,1,275.1,1993,1995,1,1,14,1,0.00063,0.00063,96261,61,96230,5214076,54.17,54.17
ROU,0,0,0,0,1,275.1,1993,1995,1,1,15,1,0.00068,0.00068,96200,65,96168,5117846,53.2,53.2
ROU,0,0,0,0,1,275.1,1993,1995,1,1,16,1,0.00075,0.00075,96135,72,96099,5021678,52.24,52.24
ROU,0,0,0,0,1,275.1,1993,1995,1,1,17,1,0.00089,0.00088,96063,85,96020,4925579,51.27,51.27
ROU,0,0,0,0,1,275.1,1993,1995,1,1,18,1,0.00094,0.00094,95978,90,95933,4829559,50.32,50.32
ROU,0,0,0,0,1,275.1,1993,1995,1,1,19,1,0.00107,0.00107,95888,103,95836,4733626,49.37,49.37
ROU,0,0,0,0,1,275.1,1993,1995,1,1,20,1,0.00102,0.00102,95785,98,95736,4637789,48.42,48.42
ROU,0,0,0,0,1,275.1,1993,1995,1,1,21,1,0.00129,0.00129,95687,123,95626,4542053,47.47,47.47
ROU,0,0,0,0,1,275.1,1993,1995,1,1,22,1,0.00147,0.00146,95564,140,95494,4446428,46.53,46.53
ROU,0,0,0,0,1,275.1,1993,1995,1,1,23,1,0.0015,0.0015,95424,143,95352,4350934,45.6,45.6
ROU,0,0,0,0,1,275.1,1993,1995,1,1,24,1,0.00147,0.00147,95281,140,95211,4255581,44.66,44.66
ROU,0,0,0,0,1,275.1,1993,1995,1,1,25,1,0.0015,0.0015,95141,143,95070,4160370,43.73,43.73
ROU,0,0,0,0,1,275.1,1993,1995,1,1,26,1,0.00156,0.00156,94998,148,94924,4065301,42.79,42.79
ROU,0,0,0,0,1,275.1,1993,1995,1,1,27,1,0.00167,0.00167,94850,158,94771,3970377,41.86,41.86
ROU,0,0,0,0,1,275.1,1993,1995,1,1,28,1,0.00172,0.00172,94692,163,94610,3875606,40.93,40.93
ROU,0,0,0,0,1,275.1,1993,1995,1,1,29,1,0.00209,0.00208,94529,197,94430,3780995,40,40
ROU,0,0,0,0,1,275.1,1993,1995,1,1,30,1,0.00224,0.00224,94332,211,94226,3686565,39.08,39.08
ROU,0,0,0,0,1,275.1,1993,1995,1,1,31,1,0.0023,0.00229,94121,216,94013,3592338,38.17,38.17
ROU,0,0,0,0,1,275.1,1993,1995,1,1,32,1,0.00272,0.00272,93905,255,93778,3498325,37.25,37.25
ROU,0,0,0,0,1,275.1,1993,1995,1,1,33,1,0.00278,0.00278,93650,260,93520,3404548,36.35,36.35
ROU,0,0,0,0,1,275.1,1993,1995,1,1,34,1,0.00335,0.00334,93390,312,93234,3311028,35.45,35.45
ROU,0,0,0,0,1,275.1,1993,1995,1,1,35,1,0.00367,0.00366,93078,341,92908,3217794,34.57,34.57
ROU,0,0,0,0,1,275.1,1993,1995,1,1,36,1,0.00401,0.004,92737,371,92552,3124886,33.7,33.7
ROU,0,0,0,0,1,275.1,1993,1995,1,1,37,1,0.00441,0.0044,92366,406,92163,3032335,32.83,32.83
ROU,0,0,0,0,1,275.1,1993,1995,1,1,38,1,0.00485,0.00484,91960,445,91738,2940172,31.97,31.97
ROU,0,0,0,0,1,275.1,1993,1995,1,1,39,1,0.00541,0.0054,91515,494,91268,2848434,31.13,31.12
ROU,0,0,0,0,1,275.1,1993,1995,1,1,40,1,0.00583,0.00581,91021,529,90756,2757166,30.29,30.29
ROU,0,0,0,0,1,275.1,1993,1995,1,1,41,1,0.00636,0.00634,90492,574,90205,2666410,29.47,29.47
ROU,0,0,0,0,1,275.1,1993,1995,1,1,42,1,0.00675,0.00673,89918,605,89616,2576205,28.65,28.65
ROU,0,0,0,0,1,275.1,1993,1995,1,1,43,1,0.00746,0.00743,89313,664,88981,2486589,27.84,27.84
ROU,0,0,0,0,1,275.1,1993,1995,1,1,44,1,0.0082,0.00817,88649,724,88287,2397608,27.05,27.05
ROU,0,0,0,0,1,275.1,1993,1995,1,1,45,1,0.00862,0.00859,87925,755,87548,2309321,26.26,26.26
ROU,0,0,0,0,1,275.1,1993,1995,1,1,46,1,0.00901,0.00897,87170,782,86779,2221774,25.49,25.49
ROU,0,0,0,0,1,275.1,1993,1995,1,1,47,1,0.00953,0.00948,86388,819,85978,2134995,24.71,24.71
ROU,0,0,0,0,1,275.1,1993,1995,1,1,48,1,0.0106,0.01054,85569,902,85118,2049016,23.95,23.95
ROU,0,0,0,0,1,275.1,1993,1995,1,1,49,1,0.01196,0.01189,84667,1007,84164,1963898,23.2,23.19
ROU,0,0,0,0,1,275.1,1993,1995,1,1,50,1,0.01297,0.01289,83660,1078,83121,1879735,22.47,22.47
ROU,0,0,0,0,1,275.1,1993,1995,1,1,51,1,0.01392,0.01383,82582,1142,82011,1796614,21.76,21.75
ROU,0,0,0,0,1,275.1,1993,1995,1,1,52,1,0.01468,0.01458,81440,1187,80846,1714603,21.05,21.05
ROU,0,0,0,0,1,275.1,1993,1995,1,1,53,1,0.01586,0.01574,80253,1263,79622,1633756,20.36,20.36
ROU,0,0,0,0,1,275.1,1993,1995,1,1,54,1,0.01707,0.01693,78990,1337,78322,1554135,19.68,19.67
ROU,0,0,0,0,1,275.1,1993,1995,1,1,55,1,0.01834,0.01817,77653,1411,76948,1475813,19.01,19
ROU,0,0,0,0,1,275.1,1993,1995,1,1,56,1,0.01899,0.01881,76242,1434,75525,1398866,18.35,18.35
ROU,0,0,0,0,1,275.1,1993,1995,1,1,57,1,0.02072,0.02051,74808,1534,74041,1323341,17.69,17.69
ROU,0,0,0,0,1,275.1,1993,1995,1,1,58,1,0.02224,0.022,73274,1612,72468,1249300,17.05,17.05
ROU,0,0,0,0,1,275.1,1993,1995,1,1,59,1,0.02365,0.02337,71662,1675,70824,1176832,16.42,16.42
ROU,0,0,0,0,1,275.1,1993,1995,1,1,60,1,0.02495,0.02465,69987,1725,69124,1106007,15.8,15.8
ROU,0,0,0,0,1,275.1,1993,1995,1,1,61,1,0.02632,0.02597,68262,1773,67376,1036883,15.19,15.19
ROU,0,0,0,0,1,275.1,1993,1995,1,1,62,1,0.02751,0.02713,66489,1804,65587,969507,14.58,14.58
ROU,0,0,0,0,1,275.1,1993,1995,1,1,63,1,0.03026,0.02981,64685,1928,63721,903920,13.97,13.97
ROU,0,0,0,0,1,275.1,1993,1995,1,1,64,1,0.03296,0.03243,62757,2035,61740,840199,13.39,13.39
ROU,0,0,0,0,1,275.1,1993,1995,1,1,65,1,0.03494,0.03434,60722,2085,59680,778460,12.82,12.82
ROU,0,0,0,0,1,275.1,1993,1995,1,1,66,1,0.03645,0.0358,58637,2099,57588,718780,12.26,12.26
ROU,0,0,0,0,1,275.1,1993,1995,1,1,67,1,0.03959,0.03882,56538,2195,55440,661193,11.69,11.69
