Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,0,1,0.00593,0.0059,100000,590,99450,6752839,67.53,67.53
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,1,1,0.00057,0.00057,99410,57,99382,6653389,66.93,66.93
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,2,1,4e-04,4e-04,99353,40,99333,6554008,65.97,65.97
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,3,1,3e-04,3e-04,99313,29,99299,6454674,64.99,64.99
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,4,1,0.00023,0.00023,99284,23,99273,6355376,64.01,64.01
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,5,1,0.00023,0.00023,99261,23,99250,6256103,63.03,63.03
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,6,1,0.00024,0.00024,99238,24,99226,6156854,62.04,62.04
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,7,1,0.00024,0.00024,99214,24,99202,6057627,61.06,61.05
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,8,1,0.00021,0.00021,99190,20,99180,5958425,60.07,60.07
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,9,1,0.00021,0.00021,99170,21,99160,5859245,59.08,59.08
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,10,1,0.00022,0.00022,99149,22,99138,5760086,58.1,58.09
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,11,1,0.00026,0.00026,99128,26,99115,5660947,57.11,57.11
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,12,1,0.00029,0.00029,99101,29,99087,5561833,56.12,56.12
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,13,1,0.00035,0.00035,99073,35,99055,5462746,55.14,55.14
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,14,1,0.00044,0.00044,99038,44,99016,5363690,54.16,54.16
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,15,1,0.00057,0.00057,98994,57,98965,5264675,53.18,53.18
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,16,1,0.00065,0.00065,98937,65,98905,5165709,52.21,52.21
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,17,1,0.00076,0.00076,98872,75,98835,5066805,51.25,51.24
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,18,1,0.00112,0.00112,98797,111,98742,4967970,50.28,50.28
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,19,1,0.00127,0.00127,98687,125,98624,4869228,49.34,49.34
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,20,1,0.00134,0.00134,98562,132,98496,4770603,48.4,48.4
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,21,1,0.00138,0.00138,98430,135,98362,4672108,47.47,47.47
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,22,1,0.00153,0.00153,98294,151,98219,4573745,46.53,46.53
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,23,1,0.00165,0.00165,98144,162,98063,4475526,45.6,45.6
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,24,1,0.00181,0.0018,97982,177,97893,4377464,44.68,44.68
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,25,1,0.00197,0.00197,97805,192,97709,4279570,43.76,43.75
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,26,1,0.00198,0.00198,97613,193,97516,4181862,42.84,42.84
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,27,1,0.00234,0.00234,97419,228,97305,4084346,41.93,41.92
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,28,1,0.00259,0.00259,97191,251,97066,3987040,41.02,41.02
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,29,1,0.00297,0.00296,96940,287,96796,3889975,40.13,40.13
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,30,1,0.00334,0.00334,96653,322,96491,3793179,39.25,39.24
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,31,1,0.00341,0.0034,96330,328,96166,3696687,38.38,38.37
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,32,1,0.00383,0.00382,96003,367,95819,3600521,37.5,37.5
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,33,1,0.00438,0.00437,95636,417,95427,3504702,36.65,36.65
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,34,1,0.00501,0.005,95218,476,94980,3409275,35.8,35.8
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,35,1,0.00553,0.00552,94742,523,94481,3314295,34.98,34.98
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,36,1,0.00569,0.00567,94219,534,93952,3219814,34.17,34.17
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,37,1,0.00604,0.00602,93685,564,93403,3125862,33.37,33.36
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,38,1,0.00667,0.00665,93121,619,92812,3032459,32.56,32.56
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,39,1,0.0069,0.00687,92502,636,92184,2939647,31.78,31.78
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,40,1,0.00733,0.00731,91866,671,91531,2847463,31,30.99
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,41,1,0.00733,0.0073,91195,666,90862,2755932,30.22,30.22
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,42,1,0.00772,0.00769,90529,696,90181,2665070,29.44,29.44
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,43,1,0.00806,0.00803,89833,721,89472,2574889,28.66,28.66
RUS,0,0,0,0,1,3451.15,2017,2017,1,1,44,1,0.00815,0.00812,89112,723,88750,2485416,27.89,27.89
