Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,0,1,0.02259,0.02215,100000,2215,98043,7087163,70.87,71.17
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,1,4,9e-04,0.00361,97785,353,390288,6989120,71.47,71.78
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,5,5,0.00046,0.00232,97432,226,486595,6598832,67.73,68.03
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,10,5,0.00039,0.00196,97206,191,485552,6112237,62.88,63.18
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,15,5,0.00077,0.00383,97015,372,484145,5626684,58,58.3
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,20,5,0.00106,0.00531,96643,513,481932,5142539,53.21,53.52
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,25,5,0.00105,0.00523,96130,503,479392,4660607,48.48,48.79
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,30,5,0.00119,0.00591,95627,565,476722,4181214,43.72,44.03
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,35,5,0.00155,0.00774,95062,736,473470,3704492,38.97,39.28
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,40,5,0.0024,0.01194,94326,1126,468815,3231022,34.25,34.57
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,45,5,0.00411,0.02035,93200,1897,461258,2762207,29.64,29.95
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,50,5,0.00691,0.03395,91303,3100,448765,2300949,25.2,25.52
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,55,5,0.01178,0.05723,88203,5048,428395,1852184,21,21.32
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,60,5,0.01907,0.09101,83155,7568,396855,1423789,17.12,17.45
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,65,5,0.03103,0.14397,75587,10882,350730,1026934,13.59,13.93
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,70,5,0.05073,0.22511,64705,14566,287110,676204,10.45,10.83
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,75,5,0.08229,0.34123,50139,17109,207922,389094,7.76,8.22
SAU,0,0,0,0,1,3700.9,1998,1998,4,1,80,99,0.18231,1,33030,33030,181172,181172,5.49,6.17
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,0,1,0.02152,0.02112,100000,2112,98127,7294493,72.94,73.11
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,1,4,0.00104,0.00414,97888,405,390535,7196366,73.52,73.69
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,5,5,4e-04,0.002,97483,195,486928,6805830,69.82,69.99
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,10,5,0.00033,0.00164,97288,160,486040,6318903,64.95,65.12
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,15,5,0.00054,0.00269,97128,261,484988,5832863,60.05,60.23
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,20,5,0.00076,0.00379,96867,367,483418,5347875,55.21,55.38
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,25,5,0.00095,0.00472,96500,455,481362,4864458,50.41,50.58
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,30,5,0.00119,0.00593,96045,570,478800,4383095,45.64,45.81
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,35,5,0.00161,0.00801,95475,765,475462,3904295,40.89,41.07
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,40,5,0.00233,0.01158,94710,1097,470808,3428833,36.2,36.38
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,45,5,0.00363,0.01801,93613,1686,463850,2958025,31.6,31.77
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,50,5,0.00556,0.02742,91927,2521,453332,2494175,27.13,27.31
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,55,5,0.0086,0.04211,89406,3765,437618,2040843,22.83,23
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,60,5,0.01387,0.06705,85641,5742,413850,1603225,18.72,18.9
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,65,5,0.02381,0.11235,79899,8977,377052,1189375,14.89,15.06
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,70,5,0.04148,0.18792,70922,13328,321290,812323,11.45,11.63
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,75,5,0.07167,0.3039,57594,17503,244212,491033,8.53,8.71
SAU,0,0,0,0,1,3700.9,1998,1998,4,2,80,99,0.16243,1,40091,40091,246820,246820,6.16,6.38
