Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SEN,0,0,0,0,1,380.3,1995,1999,4,1,0,1,0.05262,0.0505,100000,5050,95968,5960103,59.6,59.6
SEN,0,0,0,0,1,380.3,1995,1999,4,1,1,4,0.0126,0.04887,94950,4640,368204,5864135,61.76,61.8
SEN,0,0,0,0,1,380.3,1995,1999,4,1,5,5,0.0038,0.01882,90310,1700,447300,5495931,60.86,59.9
SEN,0,0,0,0,1,380.3,1995,1999,4,1,10,5,0.00154,0.00767,88610,680,441350,5048631,56.98,56
SEN,0,0,0,0,1,380.3,1995,1999,4,1,15,5,0.00233,0.0116,87930,1020,437100,4607281,52.4,51.4
SEN,0,0,0,0,1,380.3,1995,1999,4,1,20,5,0.00217,0.01082,86910,940,432200,4170181,47.98,47
SEN,0,0,0,0,1,380.3,1995,1999,4,1,25,5,0.00366,0.01815,85970,1560,425950,3737981,43.48,42.5
SEN,0,0,0,0,1,380.3,1995,1999,4,1,30,5,0.00366,0.01813,84410,1530,418225,3312031,39.24,38.2
SEN,0,0,0,0,1,380.3,1995,1999,4,1,35,5,0.00825,0.04042,82880,3350,406025,2893806,34.92,33.9
SEN,0,0,0,0,1,380.3,1995,1999,4,1,40,5,0.00636,0.03131,79530,2490,391425,2487781,31.28,30.3
SEN,0,0,0,0,1,380.3,1995,1999,4,1,45,5,0.0117,0.05685,77040,4380,374250,2096356,27.21,26.2
SEN,0,0,0,0,1,380.3,1995,1999,4,1,50,5,0.00717,0.03523,72660,2560,356900,1722106,23.7,22.7
SEN,0,0,0,0,1,380.3,1995,1999,4,1,55,5,0.01776,0.08502,70100,5960,335600,1365206,19.48,18.5
SEN,0,0,0,0,1,380.3,1995,1999,4,1,60,5,0.01444,0.06969,64140,4470,309525,1029606,16.05,15.1
SEN,0,0,0,0,1,380.3,1995,1999,4,1,65,5,0.04073,0.18485,59670,11030,270775,720081,12.07,11.2
SEN,0,0,0,0,1,380.3,1995,1999,4,1,70,5,0.06551,0.28146,48640,13690,208975,449306,9.24,8.4
SEN,0,0,0,0,1,380.3,1995,1999,4,1,75,5,0.12527,0.47697,34950,16670,133075,240331,6.88,6.1
SEN,0,0,0,0,1,380.3,1995,1999,4,1,80,5,0.13725,0.51094,18280,9340,68050,107256,5.87,5.1
SEN,0,0,0,0,1,380.3,1995,1999,4,1,85,5,0.18623,0.63535,8940,5680,30500,39206,4.39,3.6
SEN,0,0,0,0,1,380.3,1995,1999,4,1,90,99,0.37445,1,3260,3260,8706,8706,2.67,2
SEN,0,0,0,0,1,380.3,1995,1999,4,2,0,1,0.04137,0.04,100000,4000,96680,6810665,68.11,68.1
SEN,0,0,0,0,1,380.3,1995,1999,4,2,1,4,0.01097,0.04271,96000,4100,373582,6713985,69.94,69.9
SEN,0,0,0,0,1,380.3,1995,1999,4,2,5,5,0.00263,0.01306,91900,1200,456500,6340404,68.99,68.9
SEN,0,0,0,0,1,380.3,1995,1999,4,2,10,5,0.00022,0.0011,90700,100,453250,5883904,64.87,64.8
SEN,0,0,0,0,1,380.3,1995,1999,4,2,15,5,0.00088,0.00442,90600,400,452000,5430654,59.94,59.9
SEN,0,0,0,0,1,380.3,1995,1999,4,2,20,5,0.00067,0.00333,90200,300,450250,4978654,55.2,55.2
SEN,0,0,0,0,1,380.3,1995,1999,4,2,25,5,0.00179,0.0089,89900,800,447500,4528404,50.37,50.3
SEN,0,0,0,0,1,380.3,1995,1999,4,2,30,5,0.00203,0.0101,89100,900,443250,4080904,45.8,45.7
SEN,0,0,0,0,1,380.3,1995,1999,4,2,35,5,0.00297,0.01474,88200,1300,437750,3637654,41.24,41.2
SEN,0,0,0,0,1,380.3,1995,1999,4,2,40,5,0.00489,0.02417,86900,2100,429250,3199904,36.82,36.8
SEN,0,0,0,0,1,380.3,1995,1999,4,2,45,5,0.00574,0.0283,84800,2400,418000,2770654,32.67,32.6
SEN,0,0,0,0,1,380.3,1995,1999,4,2,50,5,0.00244,0.01214,82400,1000,409500,2352654,28.55,28.5
SEN,0,0,0,0,1,380.3,1995,1999,4,2,55,5,0.00776,0.03808,81400,3100,399250,1943154,23.87,23.8
SEN,0,0,0,0,1,380.3,1995,1999,4,2,60,5,0.01732,0.08301,78300,6500,375250,1543904,19.72,19.7
SEN,0,0,0,0,1,380.3,1995,1999,4,2,65,5,0.00912,0.04457,71800,3200,351000,1168654,16.28,16.2
SEN,0,0,0,0,1,380.3,1995,1999,4,2,70,5,0.03729,0.17055,68600,11700,313750,817654,11.92,11.8
SEN,0,0,0,0,1,380.3,1995,1999,4,2,75,5,0.05933,0.25835,56900,14700,247750,503904,8.86,8.8
SEN,0,0,0,0,1,380.3,1995,1999,4,2,80,5,0.13587,0.50711,42200,21400,157500,256154,6.07,6
SEN,0,0,0,0,1,380.3,1995,1999,4,2,85,5,0.16986,0.59615,20800,12400,73000,98654,4.74,4.5
SEN,0,0,0,0,1,380.3,1995,1999,4,2,90,99,0.32744,1,8400,8400,25654,25654,3.05,7.5
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,0,1,0.05019,0.04824,100000,4824,96115,6041618,60.42,60.46
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,1,4,0.01094,0.04262,95176,4056,370595,5945503,62.47,62.5
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,5,5,0.00334,0.01655,91120,1508,451830,5574908,61.18,61.23
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,10,5,0.00174,0.00867,89612,777,446118,5123078,57.17,57.21
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,15,5,0.00207,0.01029,88835,914,441890,4676960,52.65,52.69
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,20,5,0.00191,0.00949,87921,834,437520,4235070,48.17,48.21
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,25,5,0.00265,0.01318,87087,1148,432565,3797550,43.61,43.65
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,30,5,0.00253,0.01256,85939,1079,426998,3364985,39.16,39.2
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,35,5,0.00971,0.0474,84860,4022,414245,2937988,34.62,34.67
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,40,5,0.00358,0.01775,80838,1435,400602,2523743,31.22,31.27
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,45,5,0.01425,0.06881,79403,5464,383355,2123140,26.74,26.79
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,50,5,0.01033,0.05037,73939,3724,360385,1739785,23.53,23.58
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,55,5,0.01251,0.06067,70215,4260,340425,1379400,19.65,19.7
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,60,5,0.01507,0.07261,65955,4789,317802,1038975,15.75,15.81
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,65,5,0.03929,0.17889,61166,10942,278475,721173,11.79,11.86
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,70,5,0.06127,0.26565,50224,13342,217765,442698,8.81,8.89
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,75,5,0.13598,0.5074,36882,18714,137625,224933,6.1,6.21
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,80,5,0.18254,0.62671,18168,11386,62375,87308,4.81,5.03
SEN,10,0,0,0,1,3591.14,1995,1999,4,1,85,99,0.27201,1,6782,6782,24933,24933,3.68,4.27
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,0,1,0.05146,0.04942,100000,4942,96038,6479497,64.79,64.78
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,1,4,0.01338,0.05174,95058,4918,367660,6383459,67.15,67.13
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,5,5,0.00337,0.01673,90140,1508,446930,6015799,66.74,66.72
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,10,5,0.00045,0.00226,88632,200,442660,5568869,62.83,62.81
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,15,5,0,0,88432,0,442160,5126209,57.97,57.95
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,20,5,0.00206,0.01025,88432,906,439895,4684049,52.97,52.95
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,25,5,0.00209,0.01037,87526,908,435360,4244154,48.49,48.47
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,30,5,0.00102,0.00508,86618,440,431990,3808794,43.97,43.96
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,35,5,0.00317,0.01575,86178,1357,427498,3376804,39.18,39.17
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,40,5,0.00408,0.02017,84821,1711,419828,2949307,34.77,34.75
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,45,5,0.01123,0.05461,83110,4539,404202,2529479,30.44,30.42
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,50,5,0.00191,0.00949,78571,746,390990,2125277,27.05,27.03
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,55,5,0.01053,0.05131,77825,3993,379142,1734287,22.28,22.27
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,60,5,0.02096,0.09958,73832,7352,350780,1355144,18.35,18.33
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,65,5,0.00879,0.04301,66480,2859,325252,1004364,15.11,15.09
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,70,5,0.04623,0.2072,63621,13182,285150,679112,10.67,10.65
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,75,5,0.07506,0.31599,50439,15938,212350,393962,7.81,7.78
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,80,5,0.16079,0.57343,34501,19784,123045,181612,5.26,5.22
SEN,10,0,0,0,1,3591.14,1995,1999,4,2,85,99,0.25129,1,14717,14717,58567,58567,3.98,3.88
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,0,1,0.15232,0.1386,100000,13860,90991,4457017,44.57,44.74
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,1,4,0.03694,0.13459,86140,11594,313859,4366026,50.69,50.88
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,5,5,0.00363,0.01799,74546,1341,369378,4052167,54.36,54.59
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,10,5,0.00368,0.01822,73205,1334,362690,3682789,50.31,50.54
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,15,5,0.00516,0.02549,71871,1832,354775,3320099,46.2,46.44
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,20,5,0.00613,0.03017,70039,2113,344912,2965324,42.34,42.58
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,25,5,0.00422,0.02089,67926,1419,336082,2620412,38.58,38.83
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,30,5,0.00811,0.03976,66507,2644,325925,2284329,34.35,34.61
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,35,5,0.01324,0.06407,63863,4092,309085,1958404,30.67,30.94
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,40,5,0.00954,0.04661,59771,2786,291890,1649319,27.59,27.88
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,45,5,0.01005,0.04903,56985,2794,277940,1357429,23.82,24.12
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,50,5,0.01495,0.07208,54191,3906,261190,1079489,19.92,20.24
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,55,5,0.02748,0.12859,50285,6466,235260,818299,16.27,16.62
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,60,5,0.02945,0.13716,43819,6010,204070,583039,13.31,13.7
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,65,5,0.07037,0.29921,37809,11313,160762,378969,10.02,10.48
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,70,5,0.09797,0.39349,26496,10426,106415,218207,8.24,8.89
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,75,5,0.07999,0.33329,16070,5356,66960,111792,6.96,8.03
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,80,5,0.22318,0.71626,10714,7674,34385,44832,4.18,5.8
SEN,30,0,0,0,1,3591.17,1995,1999,4,1,85,99,0.291,1,3040,3040,10447,10447,3.44,9.12
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,0,1,0.12596,0.11643,100000,11643,92432,4733819,47.34,47.54
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,1,4,0.0309,0.1143,88357,10099,326777,4641387,52.53,52.76
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,5,5,0.0073,0.03586,78258,2806,384275,4314610,55.13,55.39
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,10,5,0.00507,0.02502,75452,1888,372540,3930335,52.09,52.36
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,15,5,0.00452,0.02235,73564,1644,363710,3557795,48.36,48.64
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,20,5,0.00639,0.03144,71920,2261,353948,3194085,44.41,44.69
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,25,5,0.0075,0.03682,69659,2565,341882,2840137,40.77,41.06
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,30,5,0.00965,0.0471,67094,3160,327570,2498255,37.24,37.54
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,35,5,0.00886,0.04334,63934,2771,312742,2170685,33.95,34.27
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,40,5,0.0045,0.02227,61163,1362,302410,1857942,30.38,30.71
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,45,5,0.00783,0.03838,59801,2295,293268,1555532,26.01,26.35
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,50,5,0.01539,0.07408,57506,4260,276880,1262265,21.95,22.3
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,55,5,0.02074,0.09858,53246,5249,253108,985385,18.51,18.89
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,60,5,0.02523,0.11867,47997,5696,225745,732277,15.26,15.68
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,65,5,0.0455,0.20427,42301,8641,189902,506532,11.97,12.46
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,70,5,0.0552,0.24254,33660,8164,147890,316630,9.41,10.01
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,75,5,0.1036,0.41144,25496,10490,101255,168740,6.62,7.42
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,80,5,0.20462,0.67686,15006,10157,49638,67485,4.5,5.85
SEN,30,0,0,0,1,3591.17,1995,1999,4,2,85,99,0.27169,1,4849,4849,17847,17847,3.68,7.88
