Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,0,1,0.0023,0.0023,100000,230,99783,8097233,80.97,80.98
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,1,1,0.00011,0.00011,99770,11,99764,7997450,80.16,80.17
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,2,1,1e-04,1e-04,99759,10,99754,7897685,79.17,79.18
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,3,1,9e-05,9e-05,99749,9,99744,7797931,78.18,78.18
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,4,1,8e-05,8e-05,99740,8,99736,7698187,77.18,77.19
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,5,1,7e-05,7e-05,99732,7,99728,7598451,76.19,76.2
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,6,1,6e-05,6e-05,99725,6,99722,7498722,75.19,75.2
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,7,1,6e-05,6e-05,99719,6,99716,7399000,74.2,74.21
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,8,1,6e-05,6e-05,99713,6,99710,7299284,73.2,73.21
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,9,1,6e-05,6e-05,99707,6,99704,7199574,72.21,72.22
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,10,1,7e-05,7e-05,99701,7,99698,7099870,71.21,71.22
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,11,1,7e-05,7e-05,99694,7,99690,7000173,70.22,70.23
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,12,1,9e-05,9e-05,99687,9,99682,6900482,69.22,69.23
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,13,1,0.00012,0.00012,99678,12,99672,6800800,68.23,68.24
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,14,1,0.00016,0.00016,99666,16,99658,6701128,67.24,67.24
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,15,1,0.00021,0.00021,99650,21,99640,6601470,66.25,66.26
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,16,1,0.00025,0.00025,99629,25,99616,6501830,65.26,65.27
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,17,1,0.00028,0.00028,99604,28,99590,6402214,64.28,64.29
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,18,1,3e-04,3e-04,99576,30,99561,6302624,63.29,63.3
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,19,1,0.00031,0.00031,99546,31,99530,6203063,62.31,62.32
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,20,1,0.00032,0.00032,99515,32,99499,6103532,61.33,61.34
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,21,1,0.00033,0.00033,99483,33,99466,6004033,60.35,60.36
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,22,1,0.00034,0.00034,99450,34,99433,5904567,59.37,59.38
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,23,1,0.00034,0.00034,99416,34,99399,5805134,58.39,58.4
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,24,1,0.00034,0.00034,99382,34,99365,5705735,57.41,57.42
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,25,1,0.00034,0.00034,99348,34,99331,5606370,56.43,56.44
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,26,1,0.00034,0.00034,99314,34,99297,5507039,55.45,55.46
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,27,1,0.00034,0.00034,99280,34,99263,5407742,54.47,54.48
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,28,1,0.00036,0.00036,99246,36,99228,5308479,53.49,53.5
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,29,1,0.00038,0.00038,99210,38,99191,5209251,52.51,52.52
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,30,1,0.00041,0.00041,99172,41,99152,5110060,51.53,51.54
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,31,1,0.00043,0.00043,99131,43,99110,5010908,50.55,50.56
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,32,1,0.00046,0.00046,99088,46,99065,4911799,49.57,49.58
SGP,0,0,0,0,1,3460.03,2018,2018,1,1,33,1,0.00048,0.00048,99042,48,99018,4812734,48.59,48.6
