Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,0,1,0.02103,0.02064,100000,2064,98167,6715069,67.15,67.16
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,1,4,0.00078,0.00311,97936,305,391009,6616902,67.56,67.57
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,5,5,0.00039,0.00194,97631,189,487682,6225893,63.77,63.77
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,10,5,0.00081,0.00402,97442,392,486230,5738211,58.89,58.89
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,15,5,0.00255,0.01267,97050,1230,482175,5251981,54.12,54.12
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,20,5,0.00462,0.02283,95820,2188,473630,4769806,49.78,49.78
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,25,5,0.00599,0.02953,93632,2765,461248,4296176,45.88,45.89
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,30,5,0.00628,0.03089,90867,2807,447318,3834928,42.2,42.21
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,35,5,0.00627,0.03088,88060,2719,433502,3387611,38.47,38.47
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,40,5,0.00705,0.03463,85341,2955,419318,2954108,34.62,34.62
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,45,5,0.0086,0.04209,82386,3468,403260,2534791,30.77,30.77
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,50,5,0.01087,0.05292,78918,4176,384150,2131531,27.01,27.01
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,55,5,0.0137,0.06625,74742,4952,361330,1747381,23.38,23.38
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,60,5,0.01779,0.08514,69790,5942,334095,1386051,19.86,19.86
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,65,5,0.0243,0.11454,63848,7313,300958,1051956,16.48,16.48
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,70,5,0.0343,0.15797,56535,8931,260348,750998,13.28,13.29
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,75,5,0.05261,0.23248,47604,11067,210352,490651,10.31,10.31
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,80,5,0.08832,0.36172,36537,13216,149645,280298,7.67,7.68
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,85,5,0.14531,0.53295,23321,12429,85532,130653,5.6,5.61
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,90,5,0.21926,0.70813,10892,7713,35178,45121,4.14,4.17
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,95,5,0.29278,0.84523,3179,2687,9178,9943,3.13,3.21
SLV,0,0,0,0,1,4000.63,2010,2010,4,1,100,99,0.64248,1,492,492,766,766,1.56,2.1
SLV,0,0,0,0,1,4000.63,2010,2010,4,2,0,1,0.01724,0.01698,100000,1698,98473,7636078,76.36,76.37
SLV,0,0,0,0,1,4000.63,2010,2010,4,2,1,4,0.00074,0.00295,98302,290,392482,7537604,76.68,76.69
SLV,0,0,0,0,1,4000.63,2010,2010,4,2,5,5,0.00029,0.00146,98012,143,489702,7145122,72.9,72.91
SLV,0,0,0,0,1,4000.63,2010,2010,4,2,10,5,0.00041,0.00206,97869,202,488840,6655420,68,68.01
SLV,0,0,0,0,1,4000.63,2010,2010,4,2,15,5,0.00071,0.00352,97667,344,487475,6166580,63.14,63.14
SLV,0,0,0,0,1,4000.63,2010,2010,4,2,20,5,0.00089,0.00445,97323,433,485532,5679105,58.35,58.36
SLV,0,0,0,0,1,4000.63,2010,2010,4,2,25,5,0.00107,0.00535,96890,518,483155,5193572,53.6,53.61
SLV,0,0,0,0,1,4000.63,2010,2010,4,2,30,5,0.00133,0.00661,96372,637,480268,4710417,48.88,48.88
