Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,0,1,0.00703,0.00698,100000,698,99352,7196043,71.96,71.96
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,1,1,0.00054,0.00054,99302,54,99275,7096691,71.47,71.46
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,2,1,3e-04,3e-04,99248,30,99233,6997416,70.5,70.5
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,3,1,0.00019,0.00019,99218,19,99208,6898183,69.53,69.52
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,4,1,7e-05,7e-05,99199,7,99196,6798975,68.54,68.54
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,5,1,1e-04,1e-04,99192,10,99187,6699779,67.54,67.54
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,6,1,9e-05,9e-05,99182,9,99178,6600592,66.55,66.55
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,7,1,9e-05,9e-05,99173,9,99168,6501415,65.56,65.56
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,8,1,9e-05,9e-05,99164,9,99160,6402246,64.56,64.56
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,9,1,0.00011,0.00011,99155,11,99150,6303087,63.57,63.57
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,10,1,0.00012,0.00012,99144,12,99138,6203937,62.58,62.57
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,11,1,0.00013,0.00013,99132,13,99126,6104799,61.58,61.58
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,12,1,0.00018,0.00018,99119,18,99110,6005674,60.59,60.59
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,13,1,0.00021,0.00021,99101,21,99090,5906564,59.6,59.6
SRB,0,0,0,0,1,3403.01,2010,2012,1,1,14,1,0.00028,0.00028,99080,28,99066,5807473,58.61,58.61
