Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,0,1,0.02919,0.02847,100000,2847,97539,6504247,65.04,65.04
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,1,1,0.00599,0.00597,97153,580,96863,6406708,65.94,65.94
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,2,1,0.00204,0.00204,96573,197,96474,6309845,65.34,65.34
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,3,1,0.00119,0.00119,96376,115,96318,6213371,64.47,64.47
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,4,1,0.00091,0.00091,96261,88,96217,6117052,63.55,63.54
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,5,1,0.00077,0.00077,96173,74,96136,6020835,62.6,62.6
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,6,1,0.00071,0.00071,96099,68,96065,5924699,61.65,61.65
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,7,1,0.00068,0.00068,96031,65,95998,5828634,60.7,60.69
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,8,1,0.00066,0.00066,95966,63,95934,5732636,59.74,59.73
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,9,1,0.00063,0.00063,95903,60,95873,5636701,58.78,58.77
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,10,1,0.00058,0.00058,95843,56,95815,5540828,57.81,57.81
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,11,1,0.00055,0.00055,95787,53,95760,5445013,56.85,56.84
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,12,1,0.00054,0.00054,95734,52,95708,5349253,55.88,55.87
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,13,1,0.00057,0.00057,95682,55,95654,5253545,54.91,54.9
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,14,1,0.00065,0.00065,95627,62,95596,5157890,53.94,53.94
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,15,1,0.00077,0.00077,95565,74,95528,5062294,52.97,52.97
SUN,0,0,0,0,1,1228.1,1986,1987,1,1,16,1,0.00092,0.00092,95491,88,95447,4966766,52.01,52.01
