Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SUR,0,0,0,0,1,1536.02,1970,1970,4,1,0,15,0.00436,0.06335,100000,6335,1452488,6280420,62.8,60.5
SUR,0,0,0,0,1,1536.02,1970,1970,4,1,15,15,0.00234,0.03445,93665,3227,1380772,4827932,51.54,48.05
SUR,0,0,0,0,1,1536.02,1970,1970,4,1,30,15,0.00467,0.06762,90438,6115,1310708,3447160,38.12,34.5
SUR,0,0,0,0,1,1536.02,1970,1970,4,1,45,15,0.01487,0.20072,84323,16925,1137908,2136452,25.34,21.5
SUR,0,0,0,0,1,1536.02,1970,1970,4,1,60,99,0.0675,1,67398,67398,998545,998545,14.82,10.02
SUR,0,0,0,0,1,1536.02,1970,1970,4,2,0,15,0.00368,0.05369,100000,5369,1459732,6596587,65.97,64.5
SUR,0,0,0,0,1,1536.02,1970,1970,4,2,15,15,0.00123,0.01823,94631,1725,1406528,5136855,54.28,51.5
SUR,0,0,0,0,1,1536.02,1970,1970,4,2,30,15,0.00326,0.04774,92906,4435,1360328,3730327,40.15,36.5
SUR,0,0,0,0,1,1536.02,1970,1970,4,2,45,15,0.0121,0.16644,88471,14725,1216628,2370000,26.79,23.5
SUR,0,0,0,0,1,1536.02,1970,1970,4,2,60,99,0.06394,1,73746,73746,1153372,1153372,15.64,12.89
