Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SVK,0,0,0,0,1,855.69,2018,2018,1,1,0,1,0.00529,0.00527,100000,527,99508,7371436,73.71,73.71
SVK,0,0,0,0,1,855.69,2018,2018,1,1,1,1,0.00046,0.00046,99473,46,99450,7271928,73.1,73.1
SVK,0,0,0,0,1,855.69,2018,2018,1,1,2,1,4e-04,4e-04,99427,40,99407,7172478,72.14,72.14
SVK,0,0,0,0,1,855.69,2018,2018,1,1,3,1,0.00014,0.00014,99388,14,99381,7073070,71.17,71.17
SVK,0,0,0,0,1,855.69,2018,2018,1,1,4,1,0.00014,0.00014,99374,14,99367,6973689,70.18,70.18
SVK,0,0,0,0,1,855.69,2018,2018,1,1,5,1,9e-05,9e-05,99360,9,99356,6874322,69.19,69.19
SVK,0,0,0,0,1,855.69,2018,2018,1,1,6,1,0.00011,0.00011,99352,11,99346,6774967,68.19,68.19
SVK,0,0,0,0,1,855.69,2018,2018,1,1,7,1,0.00012,0.00012,99340,12,99334,6675621,67.2,67.2
SVK,0,0,0,0,1,855.69,2018,2018,1,1,8,1,0.00012,0.00012,99329,12,99323,6576286,66.21,66.21
SVK,0,0,0,0,1,855.69,2018,2018,1,1,9,1,0.00015,0.00015,99316,14,99309,6476964,65.22,65.22
SVK,0,0,0,0,1,855.69,2018,2018,1,1,10,1,0.00015,0.00015,99302,15,99294,6377655,64.22,64.22
SVK,0,0,0,0,1,855.69,2018,2018,1,1,11,1,0.00012,0.00012,99287,12,99281,6278360,63.23,63.23
SVK,0,0,0,0,1,855.69,2018,2018,1,1,12,1,0.00012,0.00012,99275,12,99269,6179079,62.24,62.24
SVK,0,0,0,0,1,855.69,2018,2018,1,1,13,1,0.00016,0.00016,99263,16,99255,6079811,61.25,61.25
SVK,0,0,0,0,1,855.69,2018,2018,1,1,14,1,2e-04,2e-04,99247,20,99237,5980556,60.26,60.26
SVK,0,0,0,0,1,855.69,2018,2018,1,1,15,1,0.00026,0.00026,99227,26,99214,5881320,59.27,59.27
SVK,0,0,0,0,1,855.69,2018,2018,1,1,16,1,0.00032,0.00032,99201,32,99185,5782106,58.29,58.29
SVK,0,0,0,0,1,855.69,2018,2018,1,1,17,1,0.00047,0.00047,99169,46,99146,5682921,57.31,57.31
SVK,0,0,0,0,1,855.69,2018,2018,1,1,18,1,0.00055,0.00055,99123,54,99096,5583775,56.33,56.33
SVK,0,0,0,0,1,855.69,2018,2018,1,1,19,1,0.00072,0.00072,99068,71,99033,5484679,55.36,55.36
SVK,0,0,0,0,1,855.69,2018,2018,1,1,20,1,7e-04,7e-04,98997,70,98962,5385647,54.4,54.4
SVK,0,0,0,0,1,855.69,2018,2018,1,1,21,1,0.00076,0.00076,98928,75,98890,5286684,53.44,53.44
SVK,0,0,0,0,1,855.69,2018,2018,1,1,22,1,0.00072,0.00072,98853,71,98817,5187794,52.48,52.48
SVK,0,0,0,0,1,855.69,2018,2018,1,1,23,1,8e-04,8e-04,98782,79,98742,5088977,51.52,51.52
SVK,0,0,0,0,1,855.69,2018,2018,1,1,24,1,0.00074,0.00074,98703,73,98667,4990234,50.56,50.56
SVK,0,0,0,0,1,855.69,2018,2018,1,1,25,1,0.00075,0.00075,98630,74,98593,4891568,49.6,49.6
SVK,0,0,0,0,1,855.69,2018,2018,1,1,26,1,8e-04,8e-04,98556,79,98517,4792974,48.63,48.63
SVK,0,0,0,0,1,855.69,2018,2018,1,1,27,1,0.00081,0.00081,98478,80,98438,4694457,47.67,47.67
SVK,0,0,0,0,1,855.69,2018,2018,1,1,28,1,0.00082,0.00082,98398,81,98357,4596020,46.71,46.71
SVK,0,0,0,0,1,855.69,2018,2018,1,1,29,1,0.00083,0.00083,98317,82,98276,4497662,45.75,45.75
SVK,0,0,0,0,1,855.69,2018,2018,1,1,30,1,0.00096,0.00096,98235,94,98188,4399386,44.78,44.78
SVK,0,0,0,0,1,855.69,2018,2018,1,1,31,1,0.00106,0.00106,98141,104,98089,4301198,43.83,43.83
SVK,0,0,0,0,1,855.69,2018,2018,1,1,32,1,0.00114,0.00114,98037,112,97981,4203109,42.87,42.87
SVK,0,0,0,0,1,855.69,2018,2018,1,1,33,1,0.0012,0.0012,97926,117,97867,4105128,41.92,41.92
SVK,0,0,0,0,1,855.69,2018,2018,1,1,34,1,0.00136,0.00136,97808,133,97742,4007261,40.97,40.97
SVK,0,0,0,0,1,855.69,2018,2018,1,1,35,1,0.00149,0.00149,97675,145,97603,3909519,40.03,40.03
SVK,0,0,0,0,1,855.69,2018,2018,1,1,36,1,0.00159,0.00159,97530,155,97453,3811916,39.08,39.08
SVK,0,0,0,0,1,855.69,2018,2018,1,1,37,1,0.0016,0.0016,97375,156,97297,3714464,38.15,38.15
SVK,0,0,0,0,1,855.69,2018,2018,1,1,38,1,0.00182,0.00182,97220,177,97131,3617166,37.21,37.21
SVK,0,0,0,0,1,855.69,2018,2018,1,1,39,1,0.00186,0.00186,97043,180,96953,3520035,36.27,36.27
SVK,0,0,0,0,1,855.69,2018,2018,1,1,40,1,0.00201,0.00201,96863,195,96765,3423082,35.34,35.34
SVK,0,0,0,0,1,855.69,2018,2018,1,1,41,1,0.00219,0.00219,96668,211,96563,3326317,34.41,34.41
SVK,0,0,0,0,1,855.69,2018,2018,1,1,42,1,0.00255,0.00255,96457,246,96334,3229754,33.48,33.48
SVK,0,0,0,0,1,855.69,2018,2018,1,1,43,1,0.00279,0.00279,96211,268,96077,3133420,32.57,32.57
SVK,0,0,0,0,1,855.69,2018,2018,1,1,44,1,0.00299,0.00299,95943,287,95799,3037343,31.66,31.66
SVK,0,0,0,0,1,855.69,2018,2018,1,1,45,1,0.00336,0.00335,95656,321,95496,2941544,30.75,30.75
SVK,0,0,0,0,1,855.69,2018,2018,1,1,46,1,0.00385,0.00385,95335,367,95152,2846048,29.85,29.85
SVK,0,0,0,0,1,855.69,2018,2018,1,1,47,1,0.00433,0.00432,94969,411,94763,2750896,28.97,28.97
SVK,0,0,0,0,1,855.69,2018,2018,1,1,48,1,0.00486,0.00485,94558,458,94329,2656133,28.09,28.09
SVK,0,0,0,0,1,855.69,2018,2018,1,1,49,1,0.00555,0.00554,94100,521,93840,2561804,27.22,27.22
SVK,0,0,0,0,1,855.69,2018,2018,1,1,50,1,0.00631,0.00629,93579,589,93285,2467964,26.37,26.37
SVK,0,0,0,0,1,855.69,2018,2018,1,1,51,1,0.00701,0.00699,92990,650,92665,2374679,25.54,25.54
SVK,0,0,0,0,1,855.69,2018,2018,1,1,52,1,0.00768,0.00765,92340,706,91987,2282014,24.71,24.71
SVK,0,0,0,0,1,855.69,2018,2018,1,1,53,1,0.00867,0.00864,91634,791,91238,2190027,23.9,23.9
SVK,0,0,0,0,1,855.69,2018,2018,1,1,54,1,0.00971,0.00966,90843,878,90404,2098789,23.1,23.1
SVK,0,0,0,0,1,855.69,2018,2018,1,1,55,1,0.01065,0.0106,89965,953,89489,2008385,22.32,22.32
SVK,0,0,0,0,1,855.69,2018,2018,1,1,56,1,0.0115,0.01143,89012,1018,88503,1918896,21.56,21.56
SVK,0,0,0,0,1,855.69,2018,2018,1,1,57,1,0.01212,0.01205,87994,1060,87464,1830393,20.8,20.8
SVK,0,0,0,0,1,855.69,2018,2018,1,1,58,1,0.01327,0.01318,86934,1146,86361,1742929,20.05,20.05
SVK,0,0,0,0,1,855.69,2018,2018,1,1,59,1,0.01468,0.01457,85788,1250,85163,1656568,19.31,19.31
SVK,0,0,0,0,1,855.69,2018,2018,1,1,60,1,0.0163,0.01617,84538,1367,83854,1571406,18.59,18.59
SVK,0,0,0,0,1,855.69,2018,2018,1,1,61,1,0.01772,0.01756,83171,1461,82440,1487551,17.89,17.89
SVK,0,0,0,0,1,855.69,2018,2018,1,1,62,1,0.01885,0.01867,81710,1525,80947,1405111,17.2,17.2
SVK,0,0,0,0,1,855.69,2018,2018,1,1,63,1,0.02062,0.02041,80185,1636,79366,1324163,16.51,16.51
SVK,0,0,0,0,1,855.69,2018,2018,1,1,64,1,0.02246,0.02221,78548,1745,77676,1244797,15.85,15.85
SVK,0,0,0,0,1,855.69,2018,2018,1,1,65,1,0.02473,0.02443,76803,1876,75865,1167121,15.2,15.2
SVK,0,0,0,0,1,855.69,2018,2018,1,1,66,1,0.02682,0.02646,74927,1983,73936,1091256,14.56,14.56
SVK,0,0,0,0,1,855.69,2018,2018,1,1,67,1,0.02889,0.02848,72944,2077,71906,1017320,13.95,13.95
SVK,0,0,0,0,1,855.69,2018,2018,1,1,68,1,0.03078,0.03031,70867,2148,69793,945415,13.34,13.34
SVK,0,0,0,0,1,855.69,2018,2018,1,1,69,1,0.03273,0.03221,68719,2213,67612,875622,12.74,12.74
SVK,0,0,0,0,1,855.69,2018,2018,1,1,70,1,0.03451,0.03393,66506,2256,65377,808010,12.15,12.15
SVK,0,0,0,0,1,855.69,2018,2018,1,1,71,1,0.03669,0.03603,64249,2315,63092,742632,11.56,11.56
SVK,0,0,0,0,1,855.69,2018,2018,1,1,72,1,0.03949,0.03873,61934,2399,60735,679541,10.97,10.97
