Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,0,1,0.0027,0.0027,100000,270,99746,7461121,74.61,74.61
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,1,1,0.00032,0.00032,99730,31,99715,7361375,73.81,73.81
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,2,1,0.00027,0.00027,99699,27,99685,7261660,72.84,72.84
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,3,1,0.00023,0.00023,99672,23,99660,7161975,71.86,71.86
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,4,1,2e-04,2e-04,99649,20,99639,7062315,70.87,70.87
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,5,1,0.00016,0.00016,99629,16,99621,6962676,69.89,69.89
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,6,1,0.00012,0.00012,99613,12,99608,6863055,68.9,68.9
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,7,1,9e-05,9e-05,99602,9,99597,6763447,67.9,67.91
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,8,1,6e-05,6e-05,99593,6,99590,6663850,66.91,66.91
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,9,1,4e-05,4e-05,99587,4,99585,6564260,65.91,65.92
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,10,1,4e-05,4e-05,99583,4,99581,6464674,64.92,64.92
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,11,1,6e-05,6e-05,99579,6,99576,6365093,63.92,63.92
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,12,1,1e-04,1e-04,99573,10,99568,6265517,62.92,62.92
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,13,1,0.00014,0.00014,99563,14,99556,6165948,61.93,61.93
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,14,1,2e-04,2e-04,99549,20,99539,6066392,60.94,60.94
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,15,1,0.00029,0.00029,99529,29,99515,5966853,59.95,59.95
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,16,1,0.00041,0.00041,99501,41,99480,5867338,58.97,58.97
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,17,1,0.00057,0.00057,99460,57,99431,5767857,57.99,57.99
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,18,1,0.00077,0.00077,99403,76,99365,5668426,57.02,57.03
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,19,1,0.00098,0.00098,99327,98,99278,5569061,56.07,56.07
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,20,1,0.00116,0.00116,99229,115,99172,5469783,55.12,55.12
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,21,1,0.00124,0.00124,99114,123,99053,5370611,54.19,54.19
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,22,1,0.00123,0.00123,98991,122,98930,5271559,53.25,53.25
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,23,1,0.00117,0.00117,98869,116,98811,5172629,52.32,52.32
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,24,1,0.00109,0.00109,98753,108,98700,5073817,51.38,51.38
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,25,1,0.00106,0.00106,98646,104,98594,4975118,50.43,50.44
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,26,1,0.00109,0.00109,98542,107,98488,4876524,49.49,49.49
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,27,1,0.00116,0.00116,98434,114,98377,4778036,48.54,48.54
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,28,1,0.00123,0.00123,98320,121,98259,4679659,47.6,47.6
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,29,1,0.00126,0.00126,98199,124,98137,4581400,46.65,46.66
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,30,1,0.00124,0.00124,98075,121,98014,4483263,45.71,45.71
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,31,1,0.0012,0.0012,97954,118,97895,4385248,44.77,44.77
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,32,1,0.0012,0.00119,97836,117,97777,4287354,43.82,43.82
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,33,1,0.00122,0.00122,97719,119,97659,4189576,42.87,42.87
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,34,1,0.00127,0.00127,97600,124,97538,4091917,41.93,41.93
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,35,1,0.00133,0.00133,97476,129,97411,3994379,40.98,40.98
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,36,1,0.0014,0.00139,97346,136,97279,3896968,40.03,40.03
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,37,1,0.00152,0.00151,97211,147,97137,3799690,39.09,39.09
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,38,1,0.00171,0.00171,97063,166,96981,3702553,38.15,38.15
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,39,1,0.00193,0.00193,96898,187,96805,3605572,37.21,37.21
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,40,1,0.00213,0.00213,96711,206,96608,3508767,36.28,36.28
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,41,1,0.0023,0.0023,96505,222,96394,3412159,35.36,35.36
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,42,1,0.00245,0.00244,96283,235,96166,3315765,34.44,34.44
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,43,1,0.00268,0.00268,96048,257,95920,3219599,33.52,33.52
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,44,1,0.00302,0.00302,95791,289,95647,3123679,32.61,32.61
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,45,1,0.00341,0.00341,95502,325,95339,3028033,31.71,31.71
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,46,1,0.00384,0.00383,95177,364,94995,2932693,30.81,30.81
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,47,1,0.0043,0.00429,94812,407,94609,2837699,29.93,29.93
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,48,1,0.00477,0.00476,94405,449,94181,2743090,29.06,29.06
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,49,1,0.00525,0.00524,93956,492,93710,2648909,28.19,28.19
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,50,1,0.00575,0.00574,93464,536,93196,2555199,27.34,27.34
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,51,1,0.00629,0.00627,92928,583,92637,2462003,26.49,26.49
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,52,1,0.00693,0.00691,92345,638,92026,2369366,25.66,25.66
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,53,1,0.00766,0.00763,91707,700,91357,2277340,24.83,24.83
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,54,1,0.00841,0.00838,91007,762,90626,2185983,24.02,24.02
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,55,1,0.00916,0.00912,90245,823,89833,2095357,23.22,23.22
SVN,0,0,0,0,2,1751.1,2007,2007,1,1,56,1,0.00987,0.00982,89422,878,88983,2005524,22.43,22.43
