Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,0,1,0.00222,0.00222,100000,222,99791,8078145,80.78,80.78
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,1,1,0.00019,0.00019,99778,19,99768,7978354,79.96,79.96
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,2,1,0.00019,0.00019,99759,19,99750,7878586,78.98,78.98
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,3,1,8e-05,8e-05,99740,8,99736,7778836,77.99,77.99
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,4,1,0.00013,0.00013,99732,13,99726,7679100,77,77
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,5,1,5e-05,5e-05,99719,5,99716,7579374,76.01,76.01
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,6,1,5e-05,5e-05,99714,5,99712,7479658,75.01,75.01
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,7,1,5e-05,5e-05,99709,5,99706,7379946,74.01,74.01
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,8,1,5e-05,5e-05,99704,5,99702,7280240,73.02,73.02
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,9,1,0,0,99699,0,99699,7180538,72.02,72.02
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,10,1,6e-05,6e-05,99699,6,99696,7080840,71.02,71.02
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,11,1,1e-04,1e-04,99693,10,99688,6981144,70.03,70.03
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,12,1,0.00013,0.00013,99683,13,99676,6881456,69.03,69.03
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,13,1,1e-04,1e-04,99670,10,99665,6781779,68.04,68.04
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,14,1,2e-04,2e-04,99660,20,99650,6682114,67.05,67.05
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,15,1,0.00014,0.00014,99640,14,99633,6582464,66.06,66.06
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,16,1,9e-05,9e-05,99626,9,99622,6482831,65.07,65.07
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,17,1,0.00044,0.00044,99617,44,99595,6383210,64.08,64.08
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,18,1,0.00043,0.00043,99573,43,99552,6283614,63.11,63.11
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,19,1,0.00044,0.00044,99530,44,99508,6184063,62.13,62.13
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,20,1,0.00038,0.00038,99486,38,99467,6084555,61.16,61.16
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,21,1,0.00082,0.00082,99448,82,99407,5985088,60.18,60.18
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,22,1,0.00054,0.00054,99366,54,99339,5885681,59.23,59.23
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,23,1,0.00065,0.00065,99312,65,99280,5786342,58.26,58.26
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,24,1,0.00077,0.00077,99247,76,99209,5687062,57.3,57.3
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,25,1,0.00062,0.00062,99171,61,99140,5587854,56.35,56.35
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,26,1,0.00066,0.00066,99110,65,99078,5488713,55.38,55.38
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,27,1,0.00079,0.00079,99045,78,99006,5389636,54.42,54.42
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,28,1,0.00083,0.00083,98967,82,98926,5290630,53.46,53.46
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,29,1,0.00065,0.00065,98885,64,98853,5191704,52.5,52.5
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,30,1,0.00069,0.00069,98821,68,98787,5092850,51.54,51.54
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,31,1,0.00057,0.00057,98753,56,98725,4994064,50.57,50.57
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,32,1,0.00063,0.00063,98697,62,98666,4895338,49.6,49.6
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,33,1,0.00079,0.00079,98635,78,98596,4796672,48.63,48.63
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,34,1,0.00089,0.00089,98557,88,98513,4698076,47.67,47.67
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,35,1,0.00084,0.00084,98469,83,98428,4599564,46.71,46.71
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,36,1,0.00077,0.00077,98386,76,98348,4501136,45.75,45.75
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,37,1,0.00082,0.00082,98310,81,98270,4402788,44.78,44.78
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,38,1,0.00079,0.00079,98229,78,98190,4304518,43.82,43.82
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,39,1,9e-04,9e-04,98151,88,98107,4206328,42.86,42.86
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,40,1,0.00111,0.00111,98063,109,98008,4108222,41.89,41.89
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,41,1,0.00092,0.00092,97954,90,97909,4010213,40.94,40.94
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,42,1,0.00105,0.00105,97864,103,97812,3912304,39.98,39.98
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,43,1,0.00103,0.00103,97761,101,97710,3814492,39.02,39.02
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,44,1,0.00131,0.00131,97660,128,97596,3716781,38.06,38.06
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,45,1,0.00114,0.00114,97532,111,97476,3619185,37.11,37.11
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,46,1,0.00152,0.00152,97421,148,97347,3521708,36.15,36.15
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,47,1,0.00147,0.00147,97273,143,97202,3424362,35.2,35.2
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,48,1,0.00151,0.00151,97130,147,97056,3327160,34.25,34.25
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,49,1,0.00191,0.00191,96983,185,96890,3230104,33.31,33.31
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,50,1,0.00223,0.00223,96798,216,96690,3133213,32.37,32.37
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,51,1,0.00208,0.00208,96582,201,96482,3036523,31.44,31.44
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,52,1,0.0029,0.00289,96381,279,96242,2940042,30.5,30.5
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,53,1,0.00317,0.00316,96102,304,95950,2843800,29.59,29.59
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,54,1,0.00309,0.00309,95798,296,95650,2747850,28.68,28.68
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,55,1,0.00338,0.00337,95502,322,95341,2652200,27.77,27.77
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,56,1,0.00389,0.00389,95180,370,94995,2556859,26.86,26.86
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,57,1,0.00422,0.00421,94810,399,94610,2461864,25.97,25.97
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,58,1,0.00458,0.00457,94411,431,94196,2367254,25.07,25.07
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,59,1,0.00563,0.00562,93980,528,93716,2273058,24.19,24.19
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,60,1,0.00632,0.0063,93452,589,93158,2179342,23.32,23.32
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,61,1,0.0067,0.00668,92863,620,92553,2086184,22.47,22.47
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,62,1,0.00768,0.00765,92243,706,91890,1993632,21.61,21.61
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,63,1,0.00817,0.00814,91537,745,91164,1901742,20.78,20.78
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,64,1,0.00951,0.00946,90792,859,90362,1810577,19.94,19.94
SWE,0,0,0,0,1,3510.05,2018,2018,1,1,65,1,0.01073,0.01067,89933,960,89453,1720214,19.13,19.13
