Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,0,1,0.02962,0.02888,100000,2888,97507,6912240,69.12,69.35
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,1,4,0.00139,0.00554,97112,538,387138,6814734,70.17,70.41
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,5,5,0.00063,0.00313,96574,302,482115,6427595,66.56,66.79
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,10,5,0.00052,0.00261,96272,251,480732,5945480,61.76,61.99
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,15,5,0.00097,0.00484,96021,465,478942,5464748,56.91,57.15
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,20,5,0.00136,0.00676,95556,646,476165,4985805,52.18,52.41
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,25,5,0.00137,0.00682,94910,647,472932,4509640,47.51,47.75
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,30,5,0.00154,0.00768,94263,724,469505,4036708,42.82,43.06
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,35,5,0.002,0.00997,93539,933,465362,3567203,38.14,38.38
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,40,5,0.00299,0.01485,92606,1375,459592,3101840,33.5,33.74
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,45,5,0.00488,0.02413,91231,2201,450652,2642248,28.96,29.2
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,50,5,0.00794,0.03894,89030,3467,436482,2191595,24.62,24.86
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,55,5,0.01308,0.06333,85563,5419,414268,1755113,20.51,20.76
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,60,5,0.02085,0.0991,80144,7942,380865,1340845,16.73,16.98
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,65,5,0.03328,0.15361,72202,11091,333282,959980,13.3,13.56
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,70,5,0.05361,0.23637,61111,14445,269442,626698,10.26,10.54
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,75,5,0.08613,0.35435,46666,16536,191990,357255,7.66,8
SYR,0,0,0,0,1,3700.1,1998,1998,4,1,80,99,0.18231,1,30130,30130,165265,165265,5.49,6.01
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,0,1,0.02683,0.02622,100000,2622,97715,7135626,71.36,71.64
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,1,4,0.00148,0.00592,97378,576,388061,7037910,72.27,72.56
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,5,5,0.00054,0.0027,96802,261,483358,6649849,68.7,68.99
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,10,5,0.00044,0.00219,96541,211,482178,6166492,63.87,64.17
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,15,5,0.00071,0.00353,96330,340,480800,5684314,59.01,59.3
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,20,5,0.00099,0.00493,95990,473,478768,5203514,54.21,54.5
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,25,5,0.00121,0.00604,95517,577,476142,4724747,49.46,49.76
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,30,5,0.0015,0.00746,94940,708,472930,4248604,44.75,45.05
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,35,5,0.00197,0.00978,94232,922,468855,3775674,40.07,40.36
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,40,5,0.00275,0.01364,93310,1273,463368,3306819,35.44,35.74
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,45,5,0.00412,0.02038,92037,1876,455495,2843452,30.89,31.2
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,50,5,0.00621,0.03058,90161,2757,443912,2387957,26.49,26.79
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,55,5,0.00946,0.04622,87404,4040,426920,1944044,22.24,22.55
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,60,5,0.01516,0.07304,83364,6089,401598,1517124,18.2,18.51
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,65,5,0.02545,0.11965,77275,9246,363260,1115527,14.44,14.76
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,70,5,0.04368,0.1969,68029,13395,306658,752267,11.06,11.41
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,75,5,0.07441,0.31369,54634,17138,230325,445609,8.16,8.56
SYR,0,0,0,0,1,3700.1,1998,1998,4,2,80,99,0.17417,1,37496,37496,215284,215284,5.74,6.29
