Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
TGO,0,0,0,0,1,682.63,1961,1961,4,1,0,1,0.16083,0.14561,100000,14561,90535,3332700,33.33,33.35
TGO,0,0,0,0,1,682.63,1961,1961,4,1,1,4,0.04748,0.16871,85439,14414,303588,3242165,37.95,37.97
TGO,0,0,0,0,1,682.63,1961,1961,4,1,5,5,0.01161,0.05643,71025,4008,345105,2938577,41.37,41.39
TGO,0,0,0,0,1,682.63,1961,1961,4,1,10,5,0.00676,0.03326,67017,2229,329512,2593472,38.7,38.71
TGO,0,0,0,0,1,682.63,1961,1961,4,1,15,5,0.00958,0.04677,64788,3030,316365,2263960,34.94,34.96
TGO,0,0,0,0,1,682.63,1961,1961,4,1,20,5,0.02058,0.09785,61758,6043,293682,1947595,31.54,31.54
TGO,0,0,0,0,1,682.63,1961,1961,4,1,25,5,0.01503,0.07242,55715,4035,268488,1653912,29.69,29.69
TGO,0,0,0,0,1,682.63,1961,1961,4,1,30,5,0.01531,0.07374,51680,3811,248872,1385425,26.81,26.82
TGO,0,0,0,0,1,682.63,1961,1961,4,1,35,5,0.02013,0.09582,47869,4587,227878,1136552,23.74,23.75
TGO,0,0,0,0,1,682.63,1961,1961,4,1,40,5,0.02543,0.11954,43282,5174,203475,908675,20.99,21
TGO,0,0,0,0,1,682.63,1961,1961,4,1,45,5,0.02616,0.12278,38108,4679,178842,705200,18.51,18.51
TGO,0,0,0,0,1,682.63,1961,1961,4,1,50,5,0.03493,0.16064,33429,5370,153720,526357,15.75,15.75
TGO,0,0,0,0,1,682.63,1961,1961,4,1,55,5,0.03685,0.16872,28059,4734,128460,372637,13.28,13.29
TGO,0,0,0,0,1,682.63,1961,1961,4,1,60,5,0.06794,0.29038,23325,6773,99692,244177,10.47,10.46
TGO,0,0,0,0,1,682.63,1961,1961,4,1,65,5,0.11258,0.43928,16552,7271,64582,144485,8.73,8.69
TGO,0,0,0,0,1,682.63,1961,1961,4,1,70,5,0.08713,0.35772,9281,3320,38105,79902,8.61,8.61
TGO,0,0,0,0,1,682.63,1961,1961,4,1,75,5,0.10528,0.41671,5961,2484,23595,41797,7.01,7.18
TGO,0,0,0,0,1,682.63,1961,1961,4,1,80,5,0.14413,0.52977,3477,1842,12780,18202,5.24,5.62
TGO,0,0,0,0,1,682.63,1961,1961,4,1,85,99,0.30153,1,1635,1635,5422,5422,3.32,4.31
TGO,0,0,0,0,1,682.63,1961,1961,4,2,0,1,0.12649,0.11688,100000,11688,92403,4013303,40.13,40.18
TGO,0,0,0,0,1,682.63,1961,1961,4,2,1,4,0.04373,0.15682,88312,13849,316700,3920900,44.4,44.44
TGO,0,0,0,0,1,682.63,1961,1961,4,2,5,5,0.00847,0.04148,74463,3089,364592,3604200,48.4,48.43
TGO,0,0,0,0,1,682.63,1961,1961,4,2,10,5,0.0052,0.02568,71374,1833,352288,3239607,45.39,45.42
TGO,0,0,0,0,1,682.63,1961,1961,4,2,15,5,0.01191,0.05781,69541,4020,337655,2887320,41.52,41.55
TGO,0,0,0,0,1,682.63,1961,1961,4,2,20,5,0.00748,0.03672,65521,2406,321590,2549665,38.91,38.94
TGO,0,0,0,0,1,682.63,1961,1961,4,2,25,5,0.01283,0.06214,63115,3922,305770,2228075,35.3,35.33
TGO,0,0,0,0,1,682.63,1961,1961,4,2,30,5,0.01227,0.05952,59193,3523,287158,1922305,32.48,32.5
TGO,0,0,0,0,1,682.63,1961,1961,4,2,35,5,0.01229,0.0596,55670,3318,270055,1635147,29.37,29.41
TGO,0,0,0,0,1,682.63,1961,1961,4,2,40,5,0.01384,0.06687,52352,3501,253008,1365092,26.08,26.11
TGO,0,0,0,0,1,682.63,1961,1961,4,2,45,5,0.0198,0.09435,48851,4609,232732,1112085,22.76,22.8
TGO,0,0,0,0,1,682.63,1961,1961,4,2,50,5,0.02104,0.09995,44242,4422,210155,879352,19.88,19.91
TGO,0,0,0,0,1,682.63,1961,1961,4,2,55,5,0.02109,0.10015,39820,3988,189130,669197,16.81,16.84
TGO,0,0,0,0,1,682.63,1961,1961,4,2,60,5,0.05212,0.23055,35832,8261,158508,480067,13.4,13.42
TGO,0,0,0,0,1,682.63,1961,1961,4,2,65,5,0.04574,0.20522,27571,5658,123710,321560,11.66,11.68
TGO,0,0,0,0,1,682.63,1961,1961,4,2,70,5,0.07234,0.3063,21913,6712,92785,197850,9.03,9.06
TGO,0,0,0,0,1,682.63,1961,1961,4,2,75,5,0.1078,0.42458,15201,6454,59870,105065,6.91,6.95
TGO,0,0,0,0,1,682.63,1961,1961,4,2,80,5,0.1533,0.55413,8747,4847,31618,45195,5.17,5.27
TGO,0,0,0,0,1,682.63,1961,1961,4,2,85,99,0.28724,1,3900,3900,13577,13577,3.48,3.92
