Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
THA,0,0,0,0,1,1879.01,2005,2006,4,1,0,1,0.01866,0.01835,100000,1835,98358,6885788,68.86,69.93
THA,0,0,0,0,1,1879.01,2005,2006,4,1,1,4,0.00151,0.006,98165,589,391245,6787430,69.14,70.23
THA,0,0,0,0,1,1879.01,2005,2006,4,1,5,5,0.00098,0.0049,97576,478,486685,6396185,65.55,66.64
THA,0,0,0,0,1,1879.01,2005,2006,4,1,10,5,0.00088,0.00441,97098,428,484420,5909500,60.86,61.96
THA,0,0,0,0,1,1879.01,2005,2006,4,1,15,5,0.00235,0.01169,96670,1130,480525,5425080,56.12,57.22
THA,0,0,0,0,1,1879.01,2005,2006,4,1,20,5,0.00151,0.00754,95540,720,475900,4944555,51.75,52.87
THA,0,0,0,0,1,1879.01,2005,2006,4,1,25,5,0.00336,0.01664,94820,1578,470155,4468655,47.13,48.25
THA,0,0,0,0,1,1879.01,2005,2006,4,1,30,5,0.00133,0.00661,93242,616,464670,3998500,42.88,44.03
THA,0,0,0,0,1,1879.01,2005,2006,4,1,35,5,0.00498,0.02458,92626,2277,457438,3533830,38.15,39.3
THA,0,0,0,0,1,1879.01,2005,2006,4,1,40,5,0.00493,0.02433,90349,2198,446250,3076393,34.05,35.23
THA,0,0,0,0,1,1879.01,2005,2006,4,1,45,5,0.0047,0.02323,88151,2048,435635,2630143,29.84,31.05
THA,0,0,0,0,1,1879.01,2005,2006,4,1,50,5,0.00963,0.04701,86103,4048,420395,2194508,25.49,26.73
THA,0,0,0,0,1,1879.01,2005,2006,4,1,55,5,0.01344,0.06503,82055,5336,396935,1774113,21.62,22.92
THA,0,0,0,0,1,1879.01,2005,2006,4,1,60,5,0.0211,0.10022,76719,7689,364372,1377178,17.95,19.34
THA,0,0,0,0,1,1879.01,2005,2006,4,1,65,5,0.01761,0.08433,69030,5821,330598,1012805,14.67,16.22
THA,0,0,0,0,1,1879.01,2005,2006,4,1,70,5,0.04967,0.22092,63209,13964,281135,682208,10.79,12.48
THA,0,0,0,0,1,1879.01,2005,2006,4,1,75,5,0.06869,0.29313,49245,14435,210138,401073,8.14,10.31
THA,0,0,0,0,1,1879.01,2005,2006,4,1,80,99,0.18231,1,34810,34810,190935,190935,5.49,8.55
THA,0,0,0,0,1,1879.01,2005,2006,4,2,0,1,0.00191,0.00191,100000,191,99820,7630377,76.3,77.74
THA,0,0,0,0,1,1879.01,2005,2006,4,2,1,4,0.00036,0.00144,99809,144,398879,7530557,75.45,76.89
THA,0,0,0,0,1,1879.01,2005,2006,4,2,5,5,0.00029,0.00143,99665,143,497968,7131678,71.56,73
THA,0,0,0,0,1,1879.01,2005,2006,4,2,10,5,6e-05,0.00031,99522,31,497532,6633711,66.66,68.1
THA,0,0,0,0,1,1879.01,2005,2006,4,2,15,5,7e-05,0.00035,99491,35,497368,6136178,61.68,63.12
THA,0,0,0,0,1,1879.01,2005,2006,4,2,20,5,0.00022,0.0011,99456,109,497008,5638811,56.7,58.14
THA,0,0,0,0,1,1879.01,2005,2006,4,2,25,5,0.00111,0.00554,99347,550,495360,5141803,51.76,53.2
THA,0,0,0,0,1,1879.01,2005,2006,4,2,30,5,0.00116,0.00579,98797,572,492555,4646443,47.03,48.48
THA,0,0,0,0,1,1879.01,2005,2006,4,2,35,5,0.00279,0.01384,98225,1359,487728,4153888,42.29,43.75
THA,0,0,0,0,1,1879.01,2005,2006,4,2,40,5,0.00279,0.01386,96866,1343,480972,3666161,37.85,39.33
THA,0,0,0,0,1,1879.01,2005,2006,4,2,45,5,0.00282,0.014,95523,1337,474272,3185188,33.34,34.85
THA,0,0,0,0,1,1879.01,2005,2006,4,2,50,5,0.00245,0.0122,94186,1149,468058,2710916,28.78,30.31
THA,0,0,0,0,1,1879.01,2005,2006,4,2,55,5,0.00853,0.04178,93037,3887,455468,2242858,24.11,25.65
THA,0,0,0,0,1,1879.01,2005,2006,4,2,60,5,0.01261,0.06114,89150,5451,432122,1787391,20.05,21.66
THA,0,0,0,0,1,1879.01,2005,2006,4,2,65,5,0.02065,0.09816,83699,8216,397955,1355268,16.19,17.91
THA,0,0,0,0,1,1879.01,2005,2006,4,2,70,5,0.03037,0.14112,75483,10652,350785,957313,12.68,14.59
THA,0,0,0,0,1,1879.01,2005,2006,4,2,75,5,0.04644,0.20805,64831,13488,290435,606528,9.36,11.57
THA,0,0,0,0,1,1879.01,2005,2006,4,2,80,99,0.16243,1,51343,51343,316093,316093,6.16,8.95
