Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,0,1,0.01183,0.0117,10000,117,9893,728182,72.82,73.03
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,1,4,0.00071,0.00283,9883,28,39465,718289,72.68,72.88
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,5,5,0.00022,0.00112,9855,11,49248,678824,68.88,69.09
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,10,5,0.00028,0.00142,9844,14,49185,629576,63.96,64.16
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,15,5,0.00037,0.00183,9830,18,49105,580391,59.04,59.25
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,20,5,0.00053,0.00265,9812,26,48995,531286,54.15,54.35
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,25,5,8e-04,0.00399,9786,39,48832,482291,49.28,49.49
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,30,5,0.00115,0.00575,9747,56,48595,433459,44.47,44.68
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,35,5,0.00162,0.00805,9691,78,48260,384864,39.71,39.92
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,40,5,0.0027,0.01342,9613,129,47742,336604,35.02,35.23
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,45,5,0.00338,0.01677,9484,159,47022,288861,30.46,30.67
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,50,5,0.00566,0.02788,9325,260,45975,241839,25.93,26.15
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,55,5,0.01034,0.05041,9065,457,44182,195864,21.61,21.83
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,60,5,0.01726,0.08271,8608,712,41260,151681,17.62,17.86
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,65,5,0.03045,0.14146,7896,1117,36688,110421,13.98,14.24
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,70,5,0.04861,0.2167,6779,1469,30222,73734,10.88,11.18
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,75,5,0.08196,0.34011,5310,1806,22035,43511,8.19,8.58
TJK,0,0,0,0,1,1330.15,2017,2017,4,1,80,99,0.16316,1,3504,3504,21476,21476,6.13,6.71
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,0,1,0.00969,0.0096,10000,96,9912,758717,75.87,76.87
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,1,4,0.00066,0.00263,9904,26,39551,748805,75.61,76.61
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,5,5,2e-04,0.00101,9878,10,49365,709254,71.8,72.8
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,10,5,0.00014,0.00071,9868,7,49322,659889,66.87,67.87
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,15,5,0.00026,0.00132,9861,13,49272,610567,61.92,62.92
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,20,5,0.00033,0.00162,9848,16,49200,561294,57,58
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,25,5,0.00053,0.00264,9832,26,49095,512094,52.08,53.09
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,30,5,0.00072,0.00357,9806,35,48942,462999,47.22,48.22
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,35,5,0.00103,0.00512,9771,50,48730,414057,42.38,43.39
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,40,5,0.00155,0.00772,9721,75,48418,365327,37.58,38.6
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,45,5,0.00267,0.01327,9646,128,47910,316909,32.85,33.88
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,50,5,0.0039,0.01933,9518,184,47130,268999,28.26,29.3
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,55,5,0.00673,0.0331,9334,309,45898,221869,23.77,24.83
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,60,5,0.01271,0.06161,9025,556,43735,175972,19.5,20.59
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,65,5,0.02119,0.1006,8469,852,40215,132237,15.61,16.78
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,70,5,0.03516,0.16161,7617,1231,35008,92022,12.08,13.38
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,75,5,0.05909,0.25744,6386,1644,27820,57014,8.93,10.48
TJK,0,0,0,0,1,1330.15,2017,2017,4,2,80,99,0.16243,1,4742,4742,29194,29194,6.16,8.24
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,0,1,0.03079,0.03,10000,300,9742,705327,70.53,70.62
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,1,4,0.00065,0.00258,9700,25,38739,695585,71.71,71.79
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,5,5,0.00019,0.00093,9675,9,48352,656846,67.89,67.98
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,10,5,0.00033,0.00166,9666,16,48290,608493,62.95,63.04
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,15,5,0.00031,0.00155,9650,15,48212,560203,58.05,58.14
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,20,5,5e-04,0.00249,9635,24,48115,511991,53.14,53.23
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,25,5,0.00077,0.00385,9611,37,47962,463876,48.27,48.35
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,30,5,0.00132,0.00658,9574,63,47712,415913,43.44,43.53
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,35,5,0.0018,0.00894,9511,85,47342,368201,38.71,38.8
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,40,5,0.00358,0.01772,9426,167,46712,320858,34.04,34.13
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,45,5,0.00395,0.01955,9259,181,45842,274146,29.61,29.7
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,50,5,0.0062,0.03051,9078,277,44698,228303,25.15,25.24
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,55,5,0.01136,0.05522,8801,486,42790,183606,20.86,20.96
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,60,5,0.01889,0.0902,8315,750,39700,140816,16.94,17.03
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,65,5,0.03436,0.15823,7565,1197,34832,101116,13.37,13.47
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,70,5,0.05039,0.22378,6368,1425,28278,66283,10.41,10.54
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,75,5,0.0849,0.35019,4943,1731,20388,38006,7.69,7.86
TJK,S010,0,0,0,1,1330.3,2017,2017,4,1,80,99,0.18231,1,3212,3212,17618,17618,5.49,5.74
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,0,1,0.02462,0.0241,10000,241,9788,749076,74.91,75.43
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,1,4,0.00059,0.00236,9759,23,38978,739288,75.75,76.28
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,5,5,0.00016,0.00082,9736,8,48660,700310,71.93,72.46
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,10,5,0.00016,0.00082,9728,8,48620,651650,66.99,67.52
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,15,5,0.00016,0.00082,9720,8,48580,603030,62.04,62.57
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,20,5,0.00027,0.00134,9712,13,48528,554450,57.09,57.62
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,25,5,0.00054,0.00268,9699,26,48430,505922,52.16,52.69
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,30,5,0.00081,0.00403,9673,39,48268,457492,47.3,47.82
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,35,5,0.00098,0.00488,9634,47,48052,409225,42.48,43.01
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,40,5,0.00144,0.0072,9587,69,47762,361172,37.67,38.21
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,45,5,0.0026,0.01292,9518,123,47282,313410,32.93,33.46
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,50,5,0.00454,0.02246,9395,211,46448,266127,28.33,28.87
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,55,5,0.00675,0.03321,9184,305,45158,219680,23.92,24.48
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,60,5,0.01238,0.06003,8879,533,43062,174522,19.66,20.23
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,65,5,0.0199,0.09478,8346,791,39752,131460,15.75,16.37
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,70,5,0.0327,0.15116,7555,1142,34920,91707,12.14,12.82
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,75,5,0.06133,0.26587,6413,1705,27802,56787,8.86,9.65
TJK,S010,0,0,0,1,1330.3,2017,2017,4,2,80,99,0.16243,1,4708,4708,28985,28985,6.16,7.24
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,0,1,0.00644,0.0064,10000,64,9940,735002,73.5,73.81
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,1,4,0.00073,0.00292,9936,29,39675,725061,72.97,73.28
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,5,5,0.00024,0.00121,9907,12,49505,685386,69.18,69.49
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,10,5,0.00026,0.00131,9895,13,49442,635881,64.26,64.58
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,15,5,0.00038,0.00192,9882,19,49362,586438,59.34,59.66
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,20,5,0.00055,0.00274,9863,27,49248,537076,54.45,54.77
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,25,5,0.00081,0.00407,9836,40,49080,487828,49.6,49.91
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,30,5,0.00109,0.00541,9796,53,48848,438748,44.79,45.1
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,35,5,0.00157,0.0078,9743,76,48525,389901,40.02,40.33
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,40,5,0.00237,0.01179,9667,114,48050,341376,35.31,35.63
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,45,5,0.00314,0.0156,9553,149,47392,293326,30.71,31.03
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,50,5,0.00543,0.0268,9404,252,46390,245933,26.15,26.48
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,55,5,0.00994,0.04851,9152,444,44650,199543,21.8,22.14
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,60,5,0.01663,0.07981,8708,695,41802,154893,17.79,18.14
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,65,5,0.02896,0.13503,8013,1082,37360,113091,14.11,14.5
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,70,5,0.04796,0.21411,6931,1484,30945,75731,10.93,11.37
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,75,5,0.08102,0.33688,5447,1835,22648,44786,8.22,8.79
TJK,S020,0,0,0,1,1330.45,2017,2017,4,1,80,99,0.16316,1,3612,3612,22138,22138,6.13,6.98
TJK,S020,0,0,0,1,1330.45,2017,2017,4,2,0,1,0.00553,0.0055,10000,55,9949,761288,76.13,77.27
TJK,S020,0,0,0,1,1330.45,2017,2017,4,2,1,4,0.00065,0.00261,9945,26,39715,751339,75.55,76.7
TJK,S020,0,0,0,1,1330.45,2017,2017,4,2,5,5,0.00022,0.00111,9919,11,49568,711624,71.74,72.9
TJK,S020,0,0,0,1,1330.45,2017,2017,4,2,10,5,0.00016,0.00081,9908,8,49520,662056,66.82,67.97
TJK,S020,0,0,0,1,1330.45,2017,2017,4,2,15,5,0.00028,0.00141,9900,14,49465,612536,61.87,63.02
TJK,S020,0,0,0,1,1330.45,2017,2017,4,2,20,5,0.00032,0.00162,9886,16,49390,563071,56.96,58.11
TJK,S020,0,0,0,1,1330.45,2017,2017,4,2,25,5,0.00055,0.00274,9870,27,49282,513681,52.04,53.2
