Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
TON,0,0,0,0,1,1485.1,2006,2006,4,1,0,1,0.02244,0.022,100000,2200,98055,6761734,67.62,67.32
TON,0,0,0,0,1,1485.1,2006,2006,4,1,1,4,0.001,0.004,97800,391,390256,6663679,68.14,67.84
TON,0,0,0,0,1,1485.1,2006,2006,4,1,5,5,8e-04,0.00399,97409,389,486072,6273422,64.4,64.1
TON,0,0,0,0,1,1485.1,2006,2006,4,1,10,5,6e-04,0.003,97020,291,484372,5787350,59.65,59.35
TON,0,0,0,0,1,1485.1,2006,2006,4,1,15,5,0.0015,0.00747,96729,723,481838,5302977,54.82,54.52
TON,0,0,0,0,1,1485.1,2006,2006,4,1,20,5,0.002,0.00995,96006,955,477642,4821140,50.22,49.91
TON,0,0,0,0,1,1485.1,2006,2006,4,1,25,5,0.0015,0.00747,95051,710,473480,4343497,45.7,45.39
TON,0,0,0,0,1,1485.1,2006,2006,4,1,30,5,0.0028,0.01391,94341,1312,468425,3870017,41.02,40.71
TON,0,0,0,0,1,1485.1,2006,2006,4,1,35,5,0.0023,0.01144,93029,1064,462485,3401592,36.56,36.25
TON,0,0,0,0,1,1485.1,2006,2006,4,1,40,5,0.0041,0.02031,91965,1868,455155,2939107,31.96,31.64
TON,0,0,0,0,1,1485.1,2006,2006,4,1,45,5,0.00942,0.04599,90097,4144,440125,2483952,27.57,27.23
TON,0,0,0,0,1,1485.1,2006,2006,4,1,50,5,0.00961,0.04692,85953,4033,419682,2043827,23.78,23.42
TON,0,0,0,0,1,1485.1,2006,2006,4,1,55,5,0.01675,0.0804,81920,6586,393135,1624145,19.83,19.44
TON,0,0,0,0,1,1485.1,2006,2006,4,1,60,5,0.02862,0.13357,75334,10062,351515,1231010,16.34,15.91
TON,0,0,0,0,1,1485.1,2006,2006,4,1,65,5,0.02574,0.12092,65272,7893,306628,879495,13.47,12.97
TON,0,0,0,0,1,1485.1,2006,2006,4,1,70,5,0.04987,0.22172,57379,12722,255090,572867,9.98,9.4
TON,0,0,0,0,1,1485.1,2006,2006,4,1,75,5,0.10695,0.42193,44657,18842,176180,317777,7.12,6.31
TON,0,0,0,0,1,1485.1,2006,2006,4,1,80,99,0.18231,1,25815,25815,141597,141597,5.49,4.04
TON,0,0,0,0,1,1485.1,2006,2006,4,2,0,1,0.01623,0.016,100000,1600,98557,7293932,72.94,73.01
TON,0,0,0,0,1,1485.1,2006,2006,4,2,1,4,5e-04,0.002,98400,197,393107,7195376,73.12,73.19
TON,0,0,0,0,1,1485.1,2006,2006,4,2,5,5,7e-04,0.00349,98203,343,490158,6802268,69.27,69.34
TON,0,0,0,0,1,1485.1,2006,2006,4,2,10,5,6e-04,0.00299,97860,293,488568,6312111,64.5,64.57
TON,0,0,0,0,1,1485.1,2006,2006,4,2,15,5,7e-04,0.0035,97567,341,486982,5823543,59.69,59.76
TON,0,0,0,0,1,1485.1,2006,2006,4,2,20,5,4e-04,0.002,97226,194,485645,5336561,54.89,54.96
TON,0,0,0,0,1,1485.1,2006,2006,4,2,25,5,5e-04,0.00249,97032,242,484555,4850916,49.99,50.06
TON,0,0,0,0,1,1485.1,2006,2006,4,2,30,5,0.0011,0.0055,96790,532,482620,4366361,45.11,45.18
TON,0,0,0,0,1,1485.1,2006,2006,4,2,35,5,0.0017,0.00847,96258,815,479252,3883741,40.35,40.42
TON,0,0,0,0,1,1485.1,2006,2006,4,2,40,5,0.0033,0.01638,95443,1563,473308,3404488,35.67,35.74
TON,0,0,0,0,1,1485.1,2006,2006,4,2,45,5,0.0055,0.02714,93880,2548,463030,2931181,31.22,31.29
TON,0,0,0,0,1,1485.1,2006,2006,4,2,50,5,0.00721,0.0354,91332,3233,448578,2468151,27.02,27.09
TON,0,0,0,0,1,1485.1,2006,2006,4,2,55,5,0.00981,0.04789,88099,4219,429948,2019573,22.92,22.98
TON,0,0,0,0,1,1485.1,2006,2006,4,2,60,5,0.01533,0.07381,83880,6191,403922,1589626,18.95,19.01
TON,0,0,0,0,1,1485.1,2006,2006,4,2,65,5,0.01966,0.09369,77689,7279,370248,1185703,15.26,15.31
TON,0,0,0,0,1,1485.1,2006,2006,4,2,70,5,0.03968,0.1805,70410,12709,320278,815456,11.58,11.62
TON,0,0,0,0,1,1485.1,2006,2006,4,2,75,5,0.06988,0.29743,57701,17162,245600,495178,8.58,8.59
TON,0,0,0,0,1,1485.1,2006,2006,4,2,80,99,0.16243,1,40539,40539,249578,249578,6.16,6.12
