Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,0,1,0.01529,0.01508,100000,1508,98636,7088337,70.88,71.41
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,1,4,0.00046,0.00184,98492,181,393535,6989701,70.97,71.5
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,5,5,0.00024,0.00118,98311,116,491265,6596166,67.09,67.63
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,10,5,4e-04,0.00201,98195,197,490482,6104901,62.17,62.7
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,15,5,0.00129,0.00642,97998,629,488418,5614418,57.29,57.82
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,20,5,0.00307,0.01523,97369,1483,483138,5126001,52.65,53.18
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,25,5,0.0031,0.0154,95886,1477,475738,4642863,48.42,48.97
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,30,5,0.00327,0.01622,94409,1531,468218,4167126,44.14,44.69
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,35,5,0.00335,0.01662,92878,1544,460530,3698908,39.83,40.39
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,40,5,0.00396,0.0196,91334,1790,452195,3238378,35.46,36.03
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,45,5,0.00551,0.02717,89544,2433,441638,2786183,31.12,31.7
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,50,5,0.00733,0.03598,87111,3134,427720,2344546,26.91,27.51
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,55,5,0.01082,0.05268,83977,4424,408825,1916826,22.83,23.45
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,60,5,0.01762,0.0844,79553,6714,380980,1508001,18.96,19.61
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,65,5,0.02388,0.11269,72839,8208,343675,1127021,15.47,16.19
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,70,5,0.03846,0.17543,64631,11338,294810,783346,12.12,12.93
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,75,5,0.06154,0.26668,53293,14212,230935,488536,9.17,10.15
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,80,5,0.08746,0.35884,39081,14024,160345,257601,6.59,7.93
TTO,0,0,0,0,1,1615.01,2011,2011,4,1,85,99,0.25764,1,25057,25057,97256,97256,3.88,5.97
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,0,1,0.01414,0.01396,100000,1396,98732,7651070,76.51,77.81
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,1,4,0.00047,0.00189,98604,186,393951,7552338,76.59,77.91
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,5,5,0.00027,0.00133,98418,131,491762,7158386,72.73,74.05
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,10,5,0.00014,7e-04,98287,69,491262,6666624,67.83,69.15
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,15,5,0.00062,0.00307,98218,302,490335,6175361,62.87,64.19
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,20,5,0.00086,0.0043,97916,421,488528,5685026,58.06,59.38
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,25,5,0.00099,0.00495,97495,483,486268,5196499,53.3,54.63
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,30,5,0.00153,0.00761,97012,738,483215,4710231,48.55,49.89
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,35,5,0.00182,0.00905,96274,871,479192,4227016,43.91,45.25
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,40,5,0.00262,0.01304,95403,1244,473905,3747824,39.28,40.64
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,45,5,0.00335,0.01663,94159,1566,466880,3273919,34.77,36.15
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,50,5,0.005,0.02469,92593,2286,457250,2807039,30.32,31.72
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,55,5,0.00658,0.03236,90307,2922,444230,2349789,26.02,27.46
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,60,5,0.01055,0.0514,87385,4492,425695,1905559,21.81,23.29
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,65,5,0.0167,0.08016,82893,6645,397852,1479864,17.85,19.42
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,70,5,0.02426,0.11435,76248,8719,359442,1082011,14.19,15.89
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,75,5,0.03725,0.1704,67529,11507,308878,722569,10.7,12.62
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,80,5,0.06703,0.28707,56022,16082,239905,413691,7.38,9.7
TTO,0,0,0,0,1,1615.01,2011,2011,4,2,85,99,0.22982,1,39940,39940,173786,173786,4.35,7.6
