Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,0,1,0.01031,0.01021,100000,1021,99061,7558606,75.59,81
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,1,1,0.00093,0.00093,98979,92,98933,7459545,75.36,80.8
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,2,1,0.00056,0.00056,98887,55,98860,7360612,74.43,79.8
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,3,1,0.00038,0.00038,98832,38,98813,7261752,73.48,78.9
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,4,1,3e-04,3e-04,98794,30,98779,7162939,72.5,77.9
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,5,1,0.00026,0.00026,98764,26,98751,7064160,71.53,76.9
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,6,1,0.00023,0.00023,98738,23,98726,6965409,70.54,75.9
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,7,1,0.00023,0.00023,98715,23,98704,6866683,69.56,75
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,8,1,0.00023,0.00023,98692,23,98680,6767979,68.58,74
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,9,1,0.00022,0.00022,98669,22,98658,6669299,67.59,73
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,10,1,0.00021,0.00021,98647,21,98636,6570641,66.61,72
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,11,1,0.00024,0.00024,98626,24,98614,6472004,65.62,71
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,12,1,0.00025,0.00025,98602,25,98590,6373390,64.64,70
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,13,1,3e-04,3e-04,98577,30,98562,6274801,63.65,69
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,14,1,0.00037,0.00037,98547,36,98529,6176239,62.67,68
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,15,1,0.00048,0.00048,98511,47,98488,6077710,61.7,67.1
TUR,0,0,0,0,1,3540.03,2016,2018,1,1,16,1,0.00056,0.00056,98464,55,98436,5979222,60.72,66.1
