Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,0,1,0.00441,0.00439,100000,439,99589,7695640,76.96,77.55
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,1,1,0.00036,0.00036,99561,36,99543,7596051,76.3,76.89
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,2,1,0.00022,0.00022,99525,22,99514,7496508,75.32,75.92
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,3,1,0.00016,0.00016,99503,16,99495,7396994,74.34,74.93
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,4,1,0.00011,0.00011,99487,11,99482,7297499,73.35,73.94
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,5,1,1e-04,1e-04,99476,10,99471,7198017,72.36,72.95
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,6,1,1e-04,1e-04,99466,10,99461,7098546,71.37,71.96
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,7,1,0.00011,0.00011,99456,11,99450,6999085,70.37,70.97
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,8,1,1e-04,1e-04,99445,10,99440,6899635,69.38,69.97
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,9,1,0.00011,0.00011,99435,11,99430,6800195,68.39,68.98
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,10,1,0.00012,0.00012,99424,12,99418,6700765,67.4,67.99
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,11,1,0.00014,0.00014,99412,14,99405,6601347,66.4,67
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,12,1,0.00017,0.00017,99398,17,99390,6501942,65.41,66.01
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,13,1,0.00021,0.00021,99381,21,99370,6402553,64.42,65.02
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,14,1,0.00026,0.00026,99360,26,99347,6303182,63.44,64.03
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,15,1,0.00032,0.00032,99334,32,99318,6203835,62.45,63.05
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,16,1,0.00037,0.00037,99302,37,99284,6104517,61.47,62.07
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,17,1,0.00042,0.00042,99265,42,99244,6005234,60.5,61.09
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,18,1,0.00047,0.00047,99223,47,99200,5905990,59.52,60.12
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,19,1,0.00051,0.00051,99176,51,99150,5806790,58.55,59.15
TWN,0,0,0,0,1,1312.21,2018,2018,1,1,20,1,0.00054,0.00054,99125,54,99098,5707640,57.58,58.18
