Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,0,4,0.03982,0.14754,100000,14754,370492,5582304,55.82,53.4
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,4,5,0.00765,0.03755,85246,3201,418228,5211812,61.14,61.58
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,9,5,0.00298,0.01477,82045,1212,407195,4793584,58.43,59.93
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,14,5,0.00123,0.00615,80833,497,402922,4386389,54.26,55.79
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,19,5,0.00194,0.00963,80336,774,399745,3983467,49.59,51.12
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,24,5,0.00085,0.00426,79562,339,396962,3583722,45.04,46.6
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,29,5,0.003,0.01489,79223,1180,393165,3186759,40.23,41.78
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,34,5,0.00966,0.04715,78043,3680,381015,2793594,35.8,37.38
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,39,5,0.01201,0.05832,74363,4337,360972,2412579,32.44,34.1
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,44,5,0.01096,0.05335,70026,3736,340790,2051607,29.3,31.06
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,49,5,0.0174,0.08339,66290,5528,317630,1710817,25.81,27.67
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,54,5,0.01574,0.07571,60762,4600,292310,1393187,22.93,24.96
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,59,5,0.02153,0.10217,56162,5738,266465,1100877,19.6,21.8
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,64,5,0.02828,0.13206,50424,6659,235472,834412,16.55,19
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,69,5,0.02332,0.11018,43765,4822,206770,598939,13.69,16.51
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,74,5,0.03541,0.16265,38943,6334,178880,392169,10.07,13.24
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,79,5,0.06705,0.28713,32609,9363,139638,213289,6.54,10.33
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,84,1,0.42683,0.35176,23246,8177,19158,73652,3.17,8.48
TZA,50,0,0,0,1,3591.09,1999,1999,4,1,85,99,0.27653,1,15069,15069,54494,54494,3.62,6.73
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,0,4,0.04813,0.1756,100000,17560,364880,5403221,54.03,52.18
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,4,5,0.00673,0.03309,82440,2728,405380,5038341,61.12,62.22
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,9,5,0.00213,0.0106,79712,845,396448,4632961,58.12,60.3
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,14,5,0.00276,0.01371,78867,1081,391632,4236513,53.72,55.92
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,19,5,0.00203,0.01009,77786,785,386968,3844881,49.43,51.66
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,24,5,0.00642,0.0316,77001,2433,378922,3457913,44.91,47.16
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,29,5,0.00971,0.04742,74568,3536,364000,3078991,41.29,43.62
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,34,5,0.01128,0.05485,71032,3896,345420,2714991,38.22,40.67
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,39,5,0.01379,0.06667,67136,4476,324490,2369571,35.3,37.88
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,44,5,0.01074,0.0523,62660,3277,305108,2045081,32.64,35.41
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,49,5,0.00816,0.03998,59383,2374,290980,1739973,29.3,32.23
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,54,5,0.01052,0.05127,57009,2923,277738,1448993,25.42,28.46
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,59,5,0.01501,0.07233,54086,3912,260650,1171256,21.66,24.87
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,64,5,0.01206,0.05852,50174,2936,243530,910606,18.15,21.61
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,69,5,0.02718,0.12727,47238,6012,221160,667076,14.12,17.8
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,74,5,0.03109,0.14423,41226,5946,191265,445916,10.82,15.03
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,79,5,0.04555,0.20445,35280,7213,158368,254651,7.22,12.14
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,84,1,0.37438,0.31535,28067,8851,23642,96283,3.43,9.62
TZA,50,0,0,0,1,3591.09,1999,1999,4,2,85,99,0.26453,1,19216,19216,72642,72642,3.78,7.9
