Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
URY,0,0,0,0,1,468.1,2004,2004,1,1,0,1,0.01685,0.01659,100000,1659,98506,7166723,71.67,71.67
URY,0,0,0,0,1,468.1,2004,2004,1,1,1,1,0.00181,0.0018,98341,177,98252,7068217,71.87,71.88
URY,0,0,0,0,1,468.1,2004,2004,1,1,2,1,0.00085,0.00085,98163,84,98121,6969965,71,71
URY,0,0,0,0,1,468.1,2004,2004,1,1,3,1,5e-04,0.00049,98080,49,98055,6871843,70.06,70.06
URY,0,0,0,0,1,468.1,2004,2004,1,1,4,1,0.00034,0.00034,98031,33,98015,6773788,69.1,69.1
URY,0,0,0,0,1,468.1,2004,2004,1,1,5,1,0.00031,0.00031,97998,30,97983,6675773,68.12,68.12
URY,0,0,0,0,1,468.1,2004,2004,1,1,6,1,0.00028,0.00028,97968,27,97954,6577790,67.14,67.14
URY,0,0,0,0,1,468.1,2004,2004,1,1,7,1,0.00028,0.00028,97940,27,97927,6479836,66.16,66.16
URY,0,0,0,0,1,468.1,2004,2004,1,1,8,1,0.00026,0.00026,97913,25,97901,6381909,65.18,65.18
URY,0,0,0,0,1,468.1,2004,2004,1,1,9,1,0.00022,0.00022,97888,22,97877,6284008,64.2,64.2
URY,0,0,0,0,1,468.1,2004,2004,1,1,10,1,2e-04,2e-04,97866,20,97856,6186131,63.21,63.21
URY,0,0,0,0,1,468.1,2004,2004,1,1,11,1,2e-04,2e-04,97846,19,97837,6088274,62.22,62.22
URY,0,0,0,0,1,468.1,2004,2004,1,1,12,1,0.00024,0.00024,97827,23,97816,5990437,61.23,61.24
URY,0,0,0,0,1,468.1,2004,2004,1,1,13,1,3e-04,3e-04,97804,30,97789,5892622,60.25,60.25
URY,0,0,0,0,1,468.1,2004,2004,1,1,14,1,0.00039,0.00039,97774,38,97755,5794833,59.27,59.27
URY,0,0,0,0,1,468.1,2004,2004,1,1,15,1,0.00047,0.00047,97737,46,97714,5697077,58.29,58.29
URY,0,0,0,0,1,468.1,2004,2004,1,1,16,1,0.00057,0.00057,97691,56,97663,5599363,57.32,57.32
URY,0,0,0,0,1,468.1,2004,2004,1,1,17,1,7e-04,7e-04,97636,68,97602,5501700,56.35,56.35
URY,0,0,0,0,1,468.1,2004,2004,1,1,18,1,0.00082,0.00082,97568,80,97528,5404098,55.39,55.39
URY,0,0,0,0,1,468.1,2004,2004,1,1,19,1,0.00094,0.00094,97487,91,97442,5306571,54.43,54.43
URY,0,0,0,0,1,468.1,2004,2004,1,1,20,1,0.00103,0.00103,97396,101,97346,5209129,53.48,53.48
URY,0,0,0,0,1,468.1,2004,2004,1,1,21,1,0.0011,0.0011,97295,107,97242,5111783,52.54,52.54
URY,0,0,0,0,1,468.1,2004,2004,1,1,22,1,0.00116,0.00116,97188,113,97132,5014542,51.6,51.6
URY,0,0,0,0,1,468.1,2004,2004,1,1,23,1,0.00122,0.00122,97075,118,97016,4917410,50.66,50.66
URY,0,0,0,0,1,468.1,2004,2004,1,1,24,1,0.00129,0.00129,96957,125,96895,4820393,49.72,49.72
