Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
USA,0,0,0,0,1,3562.01,2017,2017,1,1,0,1,0.00634,0.0063,100000,630,99413,7609728,76.1,76.1
USA,0,0,0,0,1,3562.01,2017,2017,1,1,1,1,0.00042,0.00042,99370,42,99349,7510315,75.58,75.58
USA,0,0,0,0,1,3562.01,2017,2017,1,1,2,1,0.00029,0.00029,99328,29,99313,7410966,74.61,74.61
USA,0,0,0,0,1,3562.01,2017,2017,1,1,3,1,0.00022,0.00022,99299,22,99288,7311653,73.63,73.64
USA,0,0,0,0,1,3562.01,2017,2017,1,1,4,1,0.00016,0.00016,99277,16,99269,7212365,72.65,72.65
USA,0,0,0,0,1,3562.01,2017,2017,1,1,5,1,0.00016,0.00016,99261,15,99253,7113096,71.66,71.66
USA,0,0,0,0,1,3562.01,2017,2017,1,1,6,1,0.00014,0.00014,99246,14,99239,7013842,70.67,70.67
USA,0,0,0,0,1,3562.01,2017,2017,1,1,7,1,0.00012,0.00012,99232,12,99226,6914603,69.68,69.68
USA,0,0,0,0,1,3562.01,2017,2017,1,1,8,1,0.00011,0.00011,99220,11,99214,6815378,68.69,68.69
USA,0,0,0,0,1,3562.01,2017,2017,1,1,9,1,1e-04,1e-04,99209,10,99204,6716163,67.7,67.7
USA,0,0,0,0,1,3562.01,2017,2017,1,1,10,1,9e-05,9e-05,99199,9,99194,6616960,66.7,66.71
USA,0,0,0,0,1,3562.01,2017,2017,1,1,11,1,0.00011,0.00011,99190,11,99184,6517765,65.71,65.71
USA,0,0,0,0,1,3562.01,2017,2017,1,1,12,1,0.00015,0.00015,99179,15,99171,6418581,64.72,64.72
USA,0,0,0,0,1,3562.01,2017,2017,1,1,13,1,0.00023,0.00023,99164,23,99152,6319409,63.73,63.73
USA,0,0,0,0,1,3562.01,2017,2017,1,1,14,1,0.00034,0.00034,99141,34,99124,6220257,62.74,62.74
USA,0,0,0,0,1,3562.01,2017,2017,1,1,15,1,0.00046,0.00046,99107,46,99084,6121133,61.76,61.77
USA,0,0,0,0,1,3562.01,2017,2017,1,1,16,1,0.00058,0.00058,99061,58,99032,6022049,60.79,60.79
USA,0,0,0,0,1,3562.01,2017,2017,1,1,17,1,0.00072,0.00072,99003,71,98968,5923016,59.83,59.83
USA,0,0,0,0,1,3562.01,2017,2017,1,1,18,1,0.00086,0.00086,98932,85,98890,5824048,58.87,58.87
USA,0,0,0,0,1,3562.01,2017,2017,1,1,19,1,0.001,0.001,98848,99,98798,5725158,57.92,57.92
