Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
VEN,0,0,0,0,1,946.1,1950,1951,1,1,0,1,0.09047,0.08512,100000,8512,94087,5632574,56.33,56.34
VEN,0,0,0,0,1,946.1,1950,1951,1,1,1,1,0.0212,0.02098,91488,1919,90528,5538487,60.54,60.54
VEN,0,0,0,0,1,946.1,1950,1951,1,1,2,1,0.01192,0.01185,89569,1061,89038,5447959,60.82,60.82
VEN,0,0,0,0,1,946.1,1950,1951,1,1,3,1,0.00763,0.0076,88508,673,88172,5358920,60.55,60.55
VEN,0,0,0,0,1,946.1,1950,1951,1,1,4,1,0.00531,0.00529,87835,465,87602,5270749,60.01,60.01
VEN,0,0,0,0,1,946.1,1950,1951,1,1,5,1,0.00391,0.0039,87370,341,87200,5183146,59.32,59.32
VEN,0,0,0,0,1,946.1,1950,1951,1,1,6,1,0.00299,0.00299,87029,260,86899,5095947,58.55,58.55
VEN,0,0,0,0,1,946.1,1950,1951,1,1,7,1,0.00258,0.00258,86769,224,86657,5009048,57.73,57.73
VEN,0,0,0,0,1,946.1,1950,1951,1,1,8,1,0.00224,0.00224,86545,194,86448,4922391,56.88,56.87
VEN,0,0,0,0,1,946.1,1950,1951,1,1,9,1,0.00202,0.00202,86351,174,86264,4835943,56,56.00
VEN,0,0,0,0,1,946.1,1950,1951,1,1,10,1,0.00192,0.00191,86177,165,86094,4749679,55.12,55.11
VEN,0,0,0,0,1,946.1,1950,1951,1,1,11,1,0.0017,0.0017,86012,146,85939,4663584,54.22,54.21
VEN,0,0,0,0,1,946.1,1950,1951,1,1,12,1,0.00176,0.00176,85866,151,85790,4577645,53.31,53.31
VEN,0,0,0,0,1,946.1,1950,1951,1,1,13,1,0.00181,0.00181,85715,155,85638,4491855,52.4,52.40
VEN,0,0,0,0,1,946.1,1950,1951,1,1,14,1,0.00191,0.00191,85560,163,85478,4406217,51.5,51.50
VEN,0,0,0,0,1,946.1,1950,1951,1,1,15,1,0.00205,0.00205,85397,175,85310,4320739,50.6,50.59
VEN,0,0,0,0,1,946.1,1950,1951,1,1,16,1,0.00222,0.00222,85222,189,85128,4235429,49.7,49.70
VEN,0,0,0,0,1,946.1,1950,1951,1,1,17,1,0.00245,0.00245,85033,208,84929,4150302,48.81,48.81
VEN,0,0,0,0,1,946.1,1950,1951,1,1,18,1,0.00266,0.00265,84825,225,84712,4065373,47.93,47.92
VEN,0,0,0,0,1,946.1,1950,1951,1,1,19,1,0.00289,0.00288,84600,244,84478,3980660,47.05,47.05
VEN,0,0,0,0,1,946.1,1950,1951,1,1,20,1,0.00313,0.00313,84356,264,84224,3896182,46.19,46.18
VEN,0,0,0,0,1,946.1,1950,1951,1,1,21,1,0.00336,0.00335,84092,282,83951,3811958,45.33,45.33
VEN,0,0,0,0,1,946.1,1950,1951,1,1,22,1,0.00357,0.00357,83810,299,83660,3728007,44.48,44.48
VEN,0,0,0,0,1,946.1,1950,1951,1,1,23,1,0.00374,0.00374,83511,312,83355,3644347,43.64,43.64
VEN,0,0,0,0,1,946.1,1950,1951,1,1,24,1,0.00393,0.00392,83199,326,83036,3560992,42.8,42.80
VEN,0,0,0,0,1,946.1,1950,1951,1,1,25,1,0.00406,0.00405,82873,336,82705,3477956,41.97,41.96
VEN,0,0,0,0,1,946.1,1950,1951,1,1,26,1,0.00421,0.0042,82537,347,82364,3395251,41.14,41.13
VEN,0,0,0,0,1,946.1,1950,1951,1,1,27,1,0.00314,0.00314,82190,258,82061,3312887,40.31,40.31
VEN,0,0,0,0,1,946.1,1950,1951,1,1,28,1,0.00574,0.00572,81932,469,81698,3230826,39.43,39.48
VEN,0,0,0,0,1,946.1,1950,1951,1,1,29,1,0.00469,0.00468,81463,381,81272,3149129,38.66,38.66
VEN,0,0,0,0,1,946.1,1950,1951,1,1,30,1,0.00487,0.00486,81082,394,80885,3067856,37.84,37.84
VEN,0,0,0,0,1,946.1,1950,1951,1,1,31,1,0.00506,0.00504,80688,407,80484,2986971,37.02,37.02
VEN,0,0,0,0,1,946.1,1950,1951,1,1,32,1,0.00527,0.00526,80281,422,80070,2906487,36.2,36.20
VEN,0,0,0,0,1,946.1,1950,1951,1,1,33,1,0.00549,0.00547,79859,437,79640,2826417,35.39,35.39
VEN,0,0,0,0,1,946.1,1950,1951,1,1,34,1,0.00575,0.00573,79422,455,79194,2746776,34.58,34.58
VEN,0,0,0,0,1,946.1,1950,1951,1,1,35,1,0.00602,0.006,78967,474,78730,2667582,33.78,33.78
VEN,0,0,0,0,1,946.1,1950,1951,1,1,36,1,0.00631,0.00629,78493,494,78246,2588852,32.98,32.98
VEN,0,0,0,0,1,946.1,1950,1951,1,1,37,1,0.00665,0.00663,77999,517,77740,2510606,32.19,32.19
VEN,0,0,0,0,1,946.1,1950,1951,1,1,38,1,0.00702,0.007,77482,542,77211,2432865,31.4,31.40
VEN,0,0,0,0,1,946.1,1950,1951,1,1,39,1,0.00744,0.00741,76940,570,76655,2355654,30.62,30.62
VEN,0,0,0,0,1,946.1,1950,1951,1,1,40,1,0.00786,0.00783,76370,598,76071,2278999,29.84,29.84
VEN,0,0,0,0,1,946.1,1950,1951,1,1,41,1,0.00832,0.00829,75772,628,75458,2202928,29.07,29.07
VEN,0,0,0,0,1,946.1,1950,1951,1,1,42,1,0.00881,0.00877,75144,659,74814,2127470,28.31,28.31
VEN,0,0,0,0,1,946.1,1950,1951,1,1,43,1,0.00931,0.00926,74485,690,74140,2052656,27.56,27.56
VEN,0,0,0,0,1,946.1,1950,1951,1,1,44,1,0.0098,0.00976,73795,720,73435,1978516,26.81,26.81
VEN,0,0,0,0,1,946.1,1950,1951,1,1,45,1,0.01034,0.01029,73075,752,72699,1905081,26.07,26.07
VEN,0,0,0,0,1,946.1,1950,1951,1,1,46,1,0.01087,0.01081,72323,782,71932,1832382,25.34,25.33
VEN,0,0,0,0,1,946.1,1950,1951,1,1,47,1,0.01143,0.01136,71541,813,71134,1760450,24.61,24.61
VEN,0,0,0,0,1,946.1,1950,1951,1,1,48,1,0.012,0.01193,70728,844,70306,1689315,23.88,23.88
VEN,0,0,0,0,1,946.1,1950,1951,1,1,49,1,0.0126,0.01252,69884,875,69446,1619009,23.17,23.17
VEN,0,0,0,0,1,946.1,1950,1951,1,1,50,1,0.01323,0.01314,69009,907,68556,1549563,22.45,22.45
VEN,0,0,0,0,1,946.1,1950,1951,1,1,51,1,0.01391,0.01382,68102,941,67632,1481007,21.75,21.75
VEN,0,0,0,0,1,946.1,1950,1951,1,1,52,1,0.01464,0.01453,67161,976,66673,1413376,21.04,21.04
VEN,0,0,0,0,1,946.1,1950,1951,1,1,53,1,0.01545,0.01534,66185,1015,65678,1346703,20.35,20.35
VEN,0,0,0,0,1,946.1,1950,1951,1,1,54,1,0.01635,0.01622,65170,1057,64642,1281025,19.66,19.66
VEN,0,0,0,0,1,946.1,1950,1951,1,1,55,1,0.01737,0.01722,64113,1104,63561,1216384,18.97,18.97
VEN,0,0,0,0,1,946.1,1950,1951,1,1,56,1,0.01855,0.01838,63009,1158,62430,1152823,18.3,18.29
VEN,0,0,0,0,1,946.1,1950,1951,1,1,57,1,0.01987,0.01968,61851,1217,61242,1090393,17.63,17.63
VEN,0,0,0,0,1,946.1,1950,1951,1,1,58,1,0.0214,0.02118,60634,1284,59992,1029150,16.97,16.97
VEN,0,0,0,0,1,946.1,1950,1951,1,1,59,1,0.02309,0.02283,59350,1355,58672,969158,16.33,16.33
VEN,0,0,0,0,1,946.1,1950,1951,1,1,60,1,0.02495,0.02464,57995,1429,57280,910486,15.7,15.70
VEN,0,0,0,0,1,946.1,1950,1951,1,1,61,1,0.02696,0.02661,56566,1505,55814,853205,15.08,15.08
VEN,0,0,0,0,1,946.1,1950,1951,1,1,62,1,0.02913,0.02871,55061,1581,54270,797392,14.48,14.48
VEN,0,0,0,0,1,946.1,1950,1951,1,1,63,1,0.02949,0.02906,53480,1554,52703,743121,13.9,13.89
VEN,0,0,0,0,1,946.1,1950,1951,1,1,64,1,0.0357,0.03507,51926,1821,51016,690418,13.3,13.32
VEN,0,0,0,0,1,946.1,1950,1951,1,1,65,1,0.03621,0.03557,50105,1782,49214,639403,12.76,12.76
VEN,0,0,0,0,1,946.1,1950,1951,1,1,66,1,0.03867,0.03793,48323,1833,47406,590189,12.21,12.21
VEN,0,0,0,0,1,946.1,1950,1951,1,1,67,1,0.04114,0.04031,46490,1874,45553,542782,11.68,11.68
VEN,0,0,0,0,1,946.1,1950,1951,1,1,68,1,0.04361,0.04268,44616,1904,43664,497229,11.14,11.14
VEN,0,0,0,0,1,946.1,1950,1951,1,1,69,1,0.04618,0.04514,42712,1928,41748,453565,10.62,10.62
VEN,0,0,0,0,1,946.1,1950,1951,1,1,70,1,0.04888,0.04771,40784,1946,39811,411817,10.1,10.10
VEN,0,0,0,0,1,946.1,1950,1951,1,1,71,1,0.05185,0.05054,38838,1963,37856,372006,9.58,9.58
VEN,0,0,0,0,1,946.1,1950,1951,1,1,72,1,0.0552,0.05372,36875,1981,35884,334150,9.06,9.06
VEN,0,0,0,0,1,946.1,1950,1951,1,1,73,1,0.05907,0.05737,34894,2002,33893,298265,8.55,8.55
VEN,0,0,0,0,1,946.1,1950,1951,1,1,74,1,0.06365,0.06169,32892,2029,31878,264372,8.04,8.04
VEN,0,0,0,0,1,946.1,1950,1951,1,1,75,1,0.06898,0.06668,30863,2058,29834,232495,7.53,7.53
VEN,0,0,0,0,1,946.1,1950,1951,1,1,76,1,0.0754,0.07266,28805,2093,27758,202661,7.04,7.04
VEN,0,0,0,0,1,946.1,1950,1951,1,1,77,1,0.08301,0.0797,26712,2129,25648,174902,6.55,6.55
VEN,0,0,0,0,1,946.1,1950,1951,1,1,78,1,0.09208,0.08803,24583,2164,23501,149255,6.07,6.07
VEN,0,0,0,0,1,946.1,1950,1951,1,1,79,1,0.1028,0.09777,22419,2192,21323,125754,5.61,5.61
VEN,0,0,0,0,1,946.1,1950,1951,1,1,80,1,0.11552,0.10921,20227,2209,19122,104431,5.16,5.16
VEN,0,0,0,0,1,946.1,1950,1951,1,1,81,1,0.13054,0.12254,18018,2208,16914,85308,4.73,4.73
VEN,0,0,0,0,1,946.1,1950,1951,1,1,82,1,0.14817,0.13795,15810,2181,14720,68394,4.33,4.33
VEN,0,0,0,0,1,946.1,1950,1951,1,1,83,1,0.16893,0.15577,13629,2123,12568,53675,3.94,3.94
VEN,0,0,0,0,1,946.1,1950,1951,1,1,84,1,0.19308,0.17608,11506,2026,10493,41107,3.57,3.57
VEN,0,0,0,0,1,946.1,1950,1951,1,1,85,1,0.22144,0.19937,9480,1890,8535,30614,3.23,3.23
VEN,0,0,0,0,1,946.1,1950,1951,1,1,86,1,0.2544,0.22569,7590,1713,6734,22079,2.91,2.91
VEN,0,0,0,0,1,946.1,1950,1951,1,1,87,1,0.29302,0.25557,5877,1502,5126,15346,2.61,2.61
VEN,0,0,0,0,1,946.1,1950,1951,1,1,88,1,0.3377,0.28891,4375,1264,3743,10220,2.34,2.34
VEN,0,0,0,0,1,946.1,1950,1951,1,1,89,1,0.39032,0.32658,3111,1016,2603,6477,2.08,2.08
VEN,0,0,0,0,1,946.1,1950,1951,1,1,90,1,0.45173,0.3685,2095,772,1709,3874,1.85,1.85
VEN,0,0,0,0,1,946.1,1950,1951,1,1,91,1,0.52361,0.41497,1323,549,1048,2165,1.64,1.64
