Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,0,1,0.0847,0.07989,100000,7989,94325,5810962,58.11,58.21
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,1,4,0.00784,0.03074,92011,2828,360726,5716637,62.13,62.24
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,5,5,0.00207,0.01028,89183,917,443622,5355911,60.06,60.17
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,10,5,0.00156,0.00778,88266,687,439612,4912289,55.65,55.77
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,15,5,0.00246,0.01221,87579,1069,435222,4472676,51.07,51.19
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,20,5,0.00349,0.01732,86510,1498,428805,4037454,46.67,46.78
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,25,5,0.00377,0.01869,85012,1589,421088,3608649,42.45,42.56
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,30,5,0.0043,0.02129,83423,1776,412675,3187561,38.21,38.33
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,35,5,0.0053,0.02616,81647,2136,402895,2774886,33.99,34.1
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,40,5,0.00697,0.03425,79511,2723,390748,2371991,29.83,29.95
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,45,5,0.00947,0.04623,76788,3550,375065,1981244,25.8,25.92
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,50,5,0.0136,0.06577,73238,4817,354148,1606179,21.93,22.05
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,55,5,0.01967,0.09374,68421,6414,326070,1252031,18.3,18.42
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,60,5,0.02952,0.13744,62007,8522,288730,925961,14.93,15.05
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,65,5,0.04392,0.19789,53485,10584,240965,637231,11.91,12.03
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,70,5,0.06704,0.2871,42901,12317,183712,396266,9.24,9.37
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,75,5,0.10371,0.41178,30584,12594,121435,212554,6.95,7.12
YEM,0,0,0,0,1,3700.14,1998,1998,4,1,80,99,0.19743,1,17990,17990,91119,91119,5.06,5.37
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,0,1,0.07752,0.07337,100000,7337,94645,6020186,60.2,60.35
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,1,4,0.00861,0.03367,92663,3120,362554,5925541,63.95,64.11
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,5,5,0.00215,0.01071,89543,959,445318,5562986,62.13,62.3
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,10,5,0.00168,0.00835,88584,740,441070,5117669,57.77,57.94
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,15,5,0.0024,0.01192,87844,1047,436602,4676599,53.24,53.41
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,20,5,0.00315,0.01561,86797,1355,430598,4239996,48.85,49.02
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,25,5,0.00366,0.01815,85442,1551,423332,3809399,44.58,44.76
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,30,5,0.00425,0.02102,83891,1763,415048,3386066,40.36,40.54
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,35,5,0.00499,0.02466,82128,2025,405578,2971019,36.18,36.36
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,40,5,0.00599,0.02949,80103,2362,394610,2565441,32.03,32.21
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,45,5,0.0075,0.03679,77741,2860,381555,2170831,27.92,28.11
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,50,5,0.01047,0.05103,74881,3821,364852,1789276,23.89,24.09
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,55,5,0.01468,0.07081,71060,5032,342720,1424424,20.05,20.24
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,60,5,0.02265,0.1072,66028,7078,312445,1081704,16.38,16.58
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,65,5,0.03476,0.15992,58950,9427,271182,769259,13.05,13.26
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,70,5,0.05602,0.24568,49523,12167,217198,498076,10.06,10.28
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,75,5,0.08923,0.36479,37356,13627,152712,280879,7.52,7.79
YEM,0,0,0,0,1,3700.14,1998,1998,4,2,80,99,0.18514,1,23729,23729,128166,128166,5.4,5.82
