Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,0,1,0.05083,0.04884,100000,4884,96076,5134595,51.35,51.38
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,1,1,0.01691,0.01677,95116,1595,94318,5038519,52.97,52.98
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,2,1,0.00648,0.00646,93521,604,93219,4944200,52.87,52.88
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,3,1,0.00372,0.00371,92917,345,92744,4850981,52.21,52.22
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,4,1,0.00239,0.00239,92572,221,92462,4758237,51.4,51.41
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,5,1,0.00186,0.00186,92351,172,92265,4665775,50.52,50.53
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,6,1,0.00175,0.00175,92179,161,92098,4573510,49.62,49.63
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,7,1,0.0016,0.0016,92018,147,91944,4481412,48.7,48.71
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,8,1,0.00146,0.00146,91871,134,91804,4389467,47.78,47.79
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,9,1,0.00133,0.00133,91737,122,91676,4297663,46.85,46.86
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,10,1,0.00117,0.00117,91615,107,91562,4205987,45.91,45.92
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,11,1,0.00105,0.00105,91508,96,91460,4114426,44.96,44.97
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,12,1,0.00102,0.00102,91412,93,91366,4022966,44.01,44.02
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,13,1,0.00111,0.00111,91319,101,91268,3931600,43.05,43.07
ZAF,0,0,0,0,1,1342.01,2006,2008,1,1,14,1,0.00124,0.00124,91218,113,91162,3840332,42.1,42.11
