Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,0,4,0.02789,0.10567,100000,10567,378866,5021712,50.22,47.32
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,4,5,0.02522,0.1186,89433,10607,420648,4642846,51.91,51.87
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,9,5,0.0045,0.02226,78826,1755,389742,4222199,53.56,54.67
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,14,5,0.00511,0.02522,77071,1944,380495,3832456,49.73,50.86
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,19,5,0.0027,0.01343,75127,1009,373112,3451961,45.95,47.11
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,24,5,0.00166,0.00824,74118,611,369062,3078849,41.54,42.72
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,29,5,0.00815,0.03996,73507,2937,360192,2709786,36.86,38.05
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,34,5,0.01734,0.08308,70570,5863,338192,2349594,33.29,34.53
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,39,5,0.01997,0.09512,64707,6155,308148,2011401,31.08,32.43
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,44,5,0.01706,0.08182,58552,4791,280782,1703254,29.09,30.58
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,49,5,0.01085,0.05281,53761,2839,261708,1422471,26.46,28.08
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,54,5,0.02073,0.09852,50922,5017,242068,1160764,22.79,24.51
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,59,5,0.02651,0.12432,45905,5707,215258,918696,20.01,21.92
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,64,5,0.03557,0.16334,40198,6566,184575,703439,17.5,19.67
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,69,5,0.00709,0.03485,33632,1172,165230,518864,15.43,18.02
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,74,5,0.03409,0.15705,32460,5098,149555,353634,10.89,13.58
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,79,5,0.06819,0.29128,27362,7970,116885,204079,7.46,10.65
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,84,1,0,0,19392,0,19392,87194,4.5,9
ZMB,10,0,0,0,1,3591.06,1991,1995,4,1,85,99,0.28601,1,19392,19392,67802,67802,3.5,4
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,0,4,0.01727,0.06678,100000,6678,386644,5904408,59.04,56.26
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,4,5,0.00542,0.02674,93322,2495,460372,5517764,59.13,59.26
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,9,5,0.00297,0.01473,90827,1338,450790,5057392,55.68,56.86
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,14,5,0.00162,0.00809,89489,724,445635,4606602,51.48,52.67
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,19,5,0.00256,0.01272,88765,1129,441002,4160967,46.88,48.08
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,24,5,0.00428,0.02118,87636,1856,433540,3719964,42.45,43.67
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,29,5,0.00743,0.03648,85780,3129,421078,3286424,38.31,39.56
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,34,5,0.01228,0.05958,82651,4924,400945,2865347,34.67,35.96
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,39,5,0.01505,0.07254,77727,5638,374540,2464402,31.71,33.08
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,44,5,0.01603,0.07706,72089,5555,346558,2089862,28.99,30.47
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,49,5,0.01759,0.08426,66534,5606,318655,1743304,26.2,27.81
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,54,5,0.01811,0.08664,60928,5279,291442,1424649,23.38,25.13
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,59,5,0.01527,0.07355,55649,4093,268012,1133207,20.36,22.28
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,64,5,0.02199,0.10424,51556,5374,244345,865194,16.78,18.85
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,69,5,0.02936,0.13676,46182,6316,215120,620849,13.44,15.75
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,74,5,0.04175,0.18901,39866,7535,180492,405729,10.18,12.85
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,79,5,0.05818,0.25397,32331,8211,141128,225237,6.97,10.27
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,84,1,0.37811,0.31799,24120,7670,20285,84109,3.49,7.91
ZMB,10,0,0,0,1,3591.06,1991,1995,4,2,85,99,0.25774,1,16450,16450,63824,63824,3.88,5.43
